Date,Species,Tank,temp,salinity,location,sensortype
6/21/19,Chum,N/A,11.9,29.78,salmonShed,wallUDA
6/21/19,Chinook,1,12.3,29.77,chumHouse,wallUDA
6/21/19,Chinook,2,12,30.01,chumHouse,wallUDA
6/21/19,Chinook,3,12,30.01,chumHouse,wallUDA
6/21/19,Chinook,4,12,30.01,chumHouse,wallUDA
6/21/19,Chinook,5,12,30,chumHouse,wallUDA
6/21/19,Chinook,6,12,29.98,chumHouse,wallUDA
6/21/19,Coho,28,12,29.91,salmonShed,wallUDA
6/21/19,Coho,29,11.8,29.91,salmonShed,wallUDA
6/21/19,Sable,N/A,11.9,30.01,salmonShed,wallUDA
6/21/19,Pink,N/A,11.9,29.92,salmonShed,wallUDA
6/24/19,Chum,N/A,11.7,29.98,salmonShed,wallUDA
6/24/19,Chinook,1,11.6,30.1,chumHouse,wallUDA
6/24/19,Chinook,2,11.6,30.13,chumHouse,wallUDA
6/24/19,Chinook,3,11.6,30.14,chumHouse,wallUDA
6/24/19,Chinook,4,11.6,30.13,chumHouse,wallUDA
6/24/19,Chinook,5,11.6,30.1,chumHouse,wallUDA
6/24/19,Chinook,6,11.6,30.13,chumHouse,wallUDA
6/24/19,Coho,28,11.5,30.13,salmonShed,wallUDA
6/24/19,Coho,29,11.6,30.04,salmonShed,wallUDA
6/24/19,Sable,N/A,11.5,30.15,salmonShed,wallUDA
6/24/19,Pink,N/A,11.6,30.09,salmonShed,wallUDA
6/26/19,Coho,28,12.3,29.63,salmonShed,wallUDA
6/26/19,Coho,29,11.9,30.06,salmonShed,wallUDA
6/26/19,Chum,N/A,11.8,30.12,salmonShed,wallUDA
6/26/19,Sable,N/A,11.8,30.1,salmonShed,wallUDA
6/26/19,Pink,N/A,11.8,30.06,salmonShed,wallUDA
6/26/19,Chinook,1,12,30.02,chumHouse,wallUDA
6/26/19,Chinook,2,11.9,30.11,chumHouse,wallUDA
6/26/19,Chinook,3,11.9,30.12,chumHouse,wallUDA
6/26/19,Chinook,4,11.9,30.13,chumHouse,wallUDA
6/26/19,Chinook,5,11.9,30.12,chumHouse,wallUDA
6/26/19,Chinook,6,11.9,30.08,chumHouse,wallUDA
6/28/19,Coho,28,12.3,29.93,salmonShed,wallUDA
6/28/19,Coho,29,12.2,29.93,salmonShed,wallUDA
6/28/19,Sable,N/A,12.2,29.99,salmonShed,wallUDA
6/28/19,Pink,N/A,12.2,29.98,salmonShed,wallUDA
6/28/19,Chum,N/A,12.2,29.95,salmonShed,wallUDA
6/28/19,Chinook,1,12.3,29.98,chumHouse,wallUDA
6/28/19,Chinook,2,12.2,30.01,chumHouse,wallUDA
