"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","ObservationDate"
1,0004-02-19,10.9,10.06,0,"0",""
2,0004-02-19,11.46,8.98,0,"0",""
3,0004-02-19,11.52,8.84,0,"0",""
4,0004-02-19,11.53,8.82,0,"0",""
5,0004-02-19,11.53,8.84,0,"0",""
6,0004-02-19,11.53,8.84,0,"0",""
7,0004-02-19,11.53,8.86,0,"0",""
8,0004-02-19,11.53,8.86,0,"0",""
9,0004-02-19,11.53,8.88,0,"0",""
10,0004-02-19,11.52,8.9,0,"0",""
11,0004-02-19,11.52,8.92,0,"0",""
12,0004-02-19,11.52,8.94,0,"0",""
13,0004-02-19,11.51,8.96,0,"0",""
14,0004-02-19,11.51,8.98,0,"0",""
15,0004-02-19,11.5,9,0,"0",""
16,0004-02-19,11.5,9,0,"0",""
17,0004-02-19,11.49,9,0,"0",""
18,0004-02-19,11.49,9,0,"0",""
19,0004-02-19,11.49,9,0,"0",""
20,0004-02-19,11.49,9,0,"0",""
21,0004-02-19,11.49,9.02,0,"0",""
22,0004-02-19,11.49,9.02,0,"0",""
23,0004-02-19,11.48,9.04,0,"0",""
24,0004-02-19,11.49,9.04,0,"0",""
25,0004-02-19,11.47,9.06,0,"0",""
26,0004-02-19,11.47,9.06,0,"0",""
27,0004-02-19,11.47,9.08,0,"0",""
28,0004-02-19,11.47,9.08,0,"0",""
29,0004-02-19,11.47,9.08,0,"0",""
30,0004-02-19,11.47,9.06,0,"0",""
31,0004-02-19,11.48,9.06,0,"0",""
32,0004-02-19,11.47,9.06,0,"0",""
33,0004-02-19,11.46,9.04,0,"0",""
34,0004-02-19,11.47,9.04,0,"0",""
35,0004-02-19,11.47,9.02,0,"0",""
36,0004-02-19,11.47,9,0,"0",""
37,0004-02-19,11.48,8.98,0,"0",""
38,0004-02-19,11.48,8.96,0,"0",""
39,0004-02-19,11.48,8.94,0,"0",""
40,0004-02-19,11.48,8.92,0,"0",""
41,0004-02-19,11.48,8.9,0,"0",""
42,0004-02-19,11.49,8.88,0,"0",""
43,0004-02-19,11.49,8.88,0,"0",""
44,0004-02-19,11.49,8.88,0,"0",""
45,0004-02-19,11.5,8.88,0,"0",""
46,0004-02-19,11.5,8.86,0,"0",""
47,0004-02-19,11.49,8.86,0,"0",""
48,0004-02-19,11.5,8.86,0,"0",""
49,0004-02-19,11.5,8.86,0,"0",""
