"Plot Title: 19-25FEB19_20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,02/19/19 10:15:49 AM,11.45,9.00,0.00,0.0,,,,
2,02/19/19 10:25:49 AM,11.61,8.70,0.00,0.0,,,,
3,02/19/19 10:35:49 AM,11.66,8.62,0.00,0.0,,,,
4,02/19/19 10:45:49 AM,11.67,8.60,0.00,0.0,,,,
5,02/19/19 10:55:49 AM,11.65,8.58,0.00,0.0,,,,
6,02/19/19 11:05:49 AM,11.66,8.58,0.00,0.0,,,,
7,02/19/19 11:15:49 AM,11.65,8.58,0.00,0.0,,,,
8,02/19/19 11:25:49 AM,11.67,8.58,0.00,0.0,,,,
9,02/19/19 11:35:49 AM,11.66,8.60,0.00,0.0,,,,
10,02/19/19 11:45:49 AM,11.65,8.62,0.00,0.0,,,,
11,02/19/19 11:55:49 AM,11.65,8.62,0.00,0.0,,,,
12,02/19/19 12:05:49 PM,11.63,8.64,0.00,0.0,,,,
13,02/19/19 12:15:49 PM,11.65,8.64,0.00,0.0,,,,
14,02/19/19 12:25:49 PM,11.65,8.66,0.00,0.0,,,,
15,02/19/19 12:35:49 PM,11.66,8.66,0.00,0.0,,,,
16,02/19/19 12:45:49 PM,11.65,8.66,0.00,0.0,,,,
17,02/19/19 12:55:49 PM,11.65,8.66,0.00,0.0,,,,
18,02/19/19 01:05:49 PM,11.64,8.66,0.00,0.0,,,,
19,02/19/19 01:15:49 PM,11.65,8.66,0.00,0.0,,,,
20,02/19/19 01:25:49 PM,11.65,8.68,0.00,0.0,,,,
21,02/19/19 01:35:49 PM,11.65,8.68,0.00,0.0,,,,
22,02/19/19 01:45:49 PM,11.65,8.68,0.00,0.0,,,,
23,02/19/19 01:55:49 PM,11.64,8.66,0.00,0.0,,,,
24,02/19/19 02:05:49 PM,11.65,8.66,0.00,0.0,,,,
25,02/19/19 02:15:49 PM,11.65,8.66,0.00,0.0,,,,
26,02/19/19 02:25:49 PM,11.64,8.64,0.00,0.0,,,,
27,02/19/19 02:35:49 PM,11.65,8.64,0.00,0.0,,,,
28,02/19/19 02:45:49 PM,11.64,8.62,0.00,0.0,,,,
29,02/19/19 02:55:49 PM,11.64,8.60,0.00,0.0,,,,
30,02/19/19 03:05:49 PM,11.65,8.58,0.00,0.0,,,,
31,02/19/19 03:15:49 PM,11.64,8.58,0.00,0.0,,,,
32,02/19/19 03:25:49 PM,11.64,8.58,0.00,0.0,,,,
33,02/19/19 03:35:49 PM,11.62,8.58,0.00,0.0,,,,
34,02/19/19 03:45:49 PM,11.62,8.58,0.00,0.0,,,,
35,02/19/19 03:55:49 PM,11.63,8.58,0.00,0.0,,,,
36,02/19/19 04:05:49 PM,11.63,8.58,0.00,0.0,,,,
37,02/19/19 04:15:49 PM,11.62,8.58,0.00,0.0,,,,
38,02/19/19 04:25:49 PM,11.62,8.58,0.00,0.0,,,,
39,02/19/19 04:35:49 PM,11.63,8.56,0.00,0.0,,,,
40,02/19/19 04:45:49 PM,11.61,8.56,0.00,0.0,,,,
41,02/19/19 04:55:49 PM,11.61,8.56,0.00,0.0,,,,
42,02/19/19 05:05:49 PM,11.60,8.56,0.00,0.0,,,,
43,02/19/19 05:15:49 PM,11.59,8.56,0.00,0.0,,,,
44,02/19/19 05:25:49 PM,11.59,8.56,0.00,0.0,,,,
45,02/19/19 05:35:49 PM,11.59,8.58,0.00,0.0,,,,
46,02/19/19 05:45:49 PM,11.57,8.60,0.00,0.0,,,,
47,02/19/19 05:55:49 PM,11.55,8.62,0.00,0.0,,,,
48,02/19/19 06:05:49 PM,11.54,8.64,0.00,0.0,,,,
49,02/19/19 06:15:49 PM,11.54,8.66,0.00,0.0,,,,
50,02/19/19 06:25:49 PM,11.51,8.70,0.00,0.0,,,,
51,02/19/19 06:35:49 PM,11.50,8.72,0.00,0.0,,,,
52,02/19/19 06:45:49 PM,11.49,8.74,0.00,0.0,,,,
53,02/19/19 06:55:49 PM,11.50,8.76,0.00,0.0,,,,
54,02/19/19 07:05:49 PM,11.48,8.76,0.00,0.0,,,,
55,02/19/19 07:15:49 PM,11.46,8.78,0.00,0.0,,,,
