"Plot Title: 25FEB19-04MAR19_20449374"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,02/25/19 10:11:30 AM,33041.7,28051.5,8.48,40699.6,26.0186,Logged,,,
2,02/25/19 10:21:30 AM,33041.7,28062.5,8.50,40694.7,26.0151,,,,
3,02/25/19 10:31:30 AM,33041.7,28046.0,8.50,40671.0,25.9982,,,,
4,02/25/19 10:41:30 AM,33041.7,28073.6,8.51,40700.3,26.0191,,,,
5,02/25/19 10:51:30 AM,33041.7,28068.1,8.52,40682.0,26.0061,,,,
6,02/25/19 11:01:30 AM,33041.7,28095.7,8.52,40721.7,26.0343,,,,
7,02/25/19 11:11:30 AM,33041.7,28095.7,8.53,40711.3,26.0269,,,,
8,02/25/19 11:21:30 AM,33041.7,28112.3,8.55,40714.5,26.0291,,,,
9,02/25/19 11:31:30 AM,33041.7,28112.3,8.53,40735.2,26.0438,,,,
10,02/25/19 11:41:30 AM,33041.7,28112.3,8.55,40714.5,26.0291,,,,
11,02/25/19 11:51:30 AM,33041.7,28126.2,8.53,40755.1,26.0580,,,,
12,02/25/19 12:01:30 PM,33041.7,28095.7,8.55,40690.6,26.0122,,,,
13,02/25/19 12:11:30 PM,33041.7,28120.6,8.56,40716.0,26.0303,,,,
14,02/25/19 12:21:30 PM,33041.7,28117.9,8.56,40712.1,26.0275,,,,
15,02/25/19 12:31:30 PM,33041.7,28126.2,8.55,40734.4,26.0433,,,,
16,02/25/19 12:41:30 PM,33041.7,28112.3,8.55,40714.5,26.0291,,,,
17,02/25/19 12:51:30 PM,33041.7,28126.2,8.56,40724.1,26.0360,,,,
18,02/25/19 01:01:30 PM,33041.7,28109.6,8.56,40700.2,26.0190,,,,
19,02/25/19 01:11:30 PM,33041.7,28134.5,8.55,40746.3,26.0518,,,,
20,02/25/19 01:21:30 PM,33041.7,28117.9,8.56,40712.1,26.0275,,,,
21,02/25/19 01:31:30 PM,33041.7,28129.0,8.56,40728.1,26.0388,,,,
22,02/25/19 01:41:30 PM,33041.7,28076.4,8.55,40662.9,25.9925,,,,
23,02/25/19 01:51:30 PM,33041.7,28001.9,8.52,40586.9,25.9386,,,,
24,02/25/19 02:01:30 PM,33041.7,28023.9,8.52,40618.5,25.9610,,,,
25,02/25/19 02:11:30 PM,33041.7,27996.4,8.51,40589.3,25.9403,,,,
26,02/25/19 02:21:30 PM,33041.7,27949.7,8.49,40542.9,25.9073,,,,
27,02/25/19 02:31:30 PM,33041.7,27756.1,8.43,40326.1,25.7534,,,,
28,02/25/19 02:41:30 PM,32711.7,27538.0,8.34,40103.9,25.5959,,,,
29,02/25/19 02:51:30 PM,32371.5,27378.4,8.28,39934.7,25.4760,,,,
30,02/25/19 03:01:30 PM,32126.5,27222.9,8.22,39770.9,25.3600,,,,
31,02/25/19 03:11:30 PM,31938.3,27100.2,8.17,39643.9,25.2701,,,,
32,02/25/19 03:21:30 PM,31749.2,27019.8,8.14,39557.7,25.2091,,,,
33,02/25/19 03:31:30 PM,31655.2,27001.6,8.12,39551.6,25.2048,,,,
34,02/25/19 03:41:30 PM,31563.8,26932.0,8.10,39470.8,25.1476,,,,
35,02/25/19 03:51:30 PM,31563.8,26926.9,8.09,39473.5,25.1495,,,,
36,02/25/19 04:01:30 PM,31563.8,26919.1,8.09,39462.1,25.1415,,,,
