"Plot Title: UA-002-64Temp/LightLogger2_CrabWAll"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20454915, SEN S/N: 20454915)","Intensity, lum/ft² (LGR S/N: 20454915, SEN S/N: 20454915)","Coupler Attached (LGR S/N: 20454915)","Stopped (LGR S/N: 20454915)","End Of File (LGR S/N: 20454915)"
1,03/04/19 09:27:52 AM,5.244,2.0,,,
2,03/04/19 09:37:52 AM,4.934,3.0,,,
3,03/04/19 09:47:52 AM,5.037,2.0,,,
4,03/04/19 09:57:52 AM,5.141,3.0,,,
5,03/04/19 10:07:52 AM,5.450,3.0,,,
6,03/04/19 10:17:52 AM,5.860,3.0,,,
7,03/04/19 10:27:52 AM,6.268,3.0,,,
8,03/04/19 10:37:52 AM,6.573,3.0,,,
9,03/04/19 10:47:52 AM,6.978,3.0,,,
10,03/04/19 10:57:52 AM,7.280,3.0,,,
11,03/04/19 11:07:52 AM,7.582,2.0,,,
12,03/04/19 11:17:52 AM,7.682,2.0,,,
13,03/04/19 11:27:52 AM,7.882,3.0,,,
14,03/04/19 11:37:52 AM,7.983,3.0,,,
15,03/04/19 11:47:52 AM,8.082,3.0,,,
16,03/04/19 11:57:52 AM,8.182,3.0,,,
17,03/04/19 12:07:52 PM,8.382,3.0,,,
18,03/04/19 12:17:52 PM,8.481,3.0,,,
19,03/04/19 12:27:52 PM,8.481,3.0,,,
20,03/04/19 12:37:52 PM,8.680,3.0,,,
21,03/04/19 12:47:52 PM,8.779,2.0,,,
22,03/04/19 12:57:52 PM,8.978,3.0,,,
23,03/04/19 01:07:52 PM,9.077,3.0,,,
24,03/04/19 01:17:52 PM,9.176,3.0,,,
25,03/04/19 01:27:52 PM,9.373,3.0,,,
26,03/04/19 01:37:52 PM,9.571,3.0,,,
27,03/04/19 01:47:52 PM,9.571,3.0,,,
28,03/04/19 01:57:52 PM,9.768,3.0,,,
29,03/04/19 02:07:52 PM,9.866,3.0,,,
30,03/04/19 02:17:52 PM,9.768,3.0,,,
31,03/04/19 02:27:52 PM,9.768,3.0,,,
32,03/04/19 02:37:52 PM,9.669,3.0,,,
33,03/04/19 02:47:52 PM,9.571,3.0,,,
34,03/04/19 02:57:52 PM,9.472,3.0,,,
35,03/04/19 03:07:52 PM,9.373,3.0,,,
36,03/04/19 03:17:52 PM,9.176,3.0,,,
37,03/04/19 03:27:52 PM,8.978,3.0,,,
38,03/04/19 03:37:52 PM,8.978,2.0,,,
39,03/04/19 03:47:52 PM,8.879,3.0,,,
40,03/04/19 03:57:52 PM,8.779,3.0,,,
41,03/04/19 04:07:52 PM,8.680,3.0,,,
42,03/04/19 04:17:52 PM,8.581,3.0,,,
