"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,04/02/19 10:15:49 AM,10.90,10.06,0.00,0.0,,,,
2,04/02/19 10:25:49 AM,11.46,8.98,0.00,0.0,,,,
3,04/02/19 10:35:49 AM,11.52,8.84,0.00,0.0,,,,
4,04/02/19 10:45:49 AM,11.53,8.82,0.00,0.0,,,,
5,04/02/19 10:55:49 AM,11.53,8.84,0.00,0.0,,,,
6,04/02/19 11:05:49 AM,11.53,8.84,0.00,0.0,,,,
7,04/02/19 11:15:49 AM,11.53,8.86,0.00,0.0,,,,
8,04/02/19 11:25:49 AM,11.53,8.86,0.00,0.0,,,,
9,04/02/19 11:35:49 AM,11.53,8.88,0.00,0.0,,,,
10,04/02/19 11:45:49 AM,11.52,8.90,0.00,0.0,,,,
11,04/02/19 11:55:49 AM,11.52,8.92,0.00,0.0,,,,
12,04/02/19 12:05:49 PM,11.52,8.94,0.00,0.0,,,,
13,04/02/19 12:15:49 PM,11.51,8.96,0.00,0.0,,,,
14,04/02/19 12:25:49 PM,11.51,8.98,0.00,0.0,,,,
15,04/02/19 12:35:49 PM,11.50,9.00,0.00,0.0,,,,
16,04/02/19 12:45:49 PM,11.50,9.00,0.00,0.0,,,,
17,04/02/19 12:55:49 PM,11.49,9.00,0.00,0.0,,,,
18,04/02/19 01:05:49 PM,11.49,9.00,0.00,0.0,,,,
19,04/02/19 01:15:49 PM,11.49,9.00,0.00,0.0,,,,
20,04/02/19 01:25:49 PM,11.49,9.00,0.00,0.0,,,,
21,04/02/19 01:35:49 PM,11.49,9.02,0.00,0.0,,,,
22,04/02/19 01:45:49 PM,11.49,9.02,0.00,0.0,,,,
23,04/02/19 01:55:49 PM,11.48,9.04,0.00,0.0,,,,
24,04/02/19 02:05:49 PM,11.49,9.04,0.00,0.0,,,,
25,04/02/19 02:15:49 PM,11.47,9.06,0.00,0.0,,,,
26,04/02/19 02:25:49 PM,11.47,9.06,0.00,0.0,,,,
27,04/02/19 02:35:49 PM,11.47,9.08,0.00,0.0,,,,
28,04/02/19 02:45:49 PM,11.47,9.08,0.00,0.0,,,,
29,04/02/19 02:55:49 PM,11.47,9.08,0.00,0.0,,,,
30,04/02/19 03:05:49 PM,11.47,9.06,0.00,0.0,,,,
31,04/02/19 03:15:49 PM,11.48,9.06,0.00,0.0,,,,
32,04/02/19 03:25:49 PM,11.47,9.06,0.00,0.0,,,,
33,04/02/19 03:35:49 PM,11.46,9.04,0.00,0.0,,,,
34,04/02/19 03:45:49 PM,11.47,9.04,0.00,0.0,,,,
35,04/02/19 03:55:49 PM,11.47,9.02,0.00,0.0,,,,
36,04/02/19 04:05:49 PM,11.47,9.00,0.00,0.0,,,,
37,04/02/19 04:15:49 PM,11.48,8.98,0.00,0.0,,,,
38,04/02/19 04:25:49 PM,11.48,8.96,0.00,0.0,,,,
39,04/02/19 04:35:49 PM,11.48,8.94,0.00,0.0,,,,
40,04/02/19 04:45:49 PM,11.48,8.92,0.00,0.0,,,,
41,04/02/19 04:55:49 PM,11.48,8.90,0.00,0.0,,,,
42,04/02/19 05:05:49 PM,11.49,8.88,0.00,0.0,,,,
43,04/02/19 05:15:49 PM,11.49,8.88,0.00,0.0,,,,
44,04/02/19 05:25:49 PM,11.49,8.88,0.00,0.0,,,,
45,04/02/19 05:35:49 PM,11.50,8.88,0.00,0.0,,,,
46,04/02/19 05:45:49 PM,11.50,8.86,0.00,0.0,,,,
47,04/02/19 05:55:49 PM,11.49,8.86,0.00,0.0,,,,
48,04/02/19 06:05:49 PM,11.50,8.86,0.00,0.0,,,,
49,04/02/19 06:15:49 PM,11.50,8.86,0.00,0.0,,,,
50,04/02/19 06:25:49 PM,11.49,8.86,0.00,0.0,,,,
51,04/02/19 06:35:49 PM,11.50,8.84,0.00,0.0,,,,
52,04/02/19 06:45:49 PM,11.49,8.84,0.00,0.0,,,,
53,04/02/19 06:55:49 PM,11.49,8.84,0.00,0.0,,,,
54,04/02/19 07:05:49 PM,11.49,8.84,0.00,0.0,,,,
55,04/02/19 07:15:49 PM,11.48,8.84,0.00,0.0,,,,
56,04/02/19 07:25:49 PM,11.48,8.82,0.00,0.0,,,,
57,04/02/19 07:35:49 PM,11.49,8.82,0.00,0.0,,,,
58,04/02/19 07:45:49 PM,11.49,8.82,0.00,0.0,,,,
