"Plot Title: 22-30APR19_20449374_Conductivity"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,04/22/19 10:41:30 AM,33041.7,28507.6,9.60,40204.1,25.6669,Logged,,,
2,04/22/19 10:51:30 AM,33041.7,28490.6,9.56,40220.6,25.6786,,,,
3,04/22/19 11:01:30 AM,33041.7,28476.4,9.57,40190.6,25.6574,,,,
4,04/22/19 11:11:30 AM,33041.7,28482.1,9.57,40198.6,25.6630,,,,
5,04/22/19 11:21:30 AM,33041.7,28527.4,9.58,40251.9,25.7008,,,,
6,04/22/19 11:31:30 AM,33041.7,28513.2,9.58,40232.1,25.6868,,,,
7,04/22/19 11:41:30 AM,33041.7,28513.2,9.58,40232.1,25.6868,,,,
8,04/22/19 11:51:30 AM,33041.7,28504.7,9.59,40210.1,25.6712,,,,
9,04/22/19 12:01:30 PM,33041.7,28527.4,9.59,40241.9,25.6937,,,,
10,04/22/19 12:11:30 PM,33041.7,28507.6,9.58,40224.2,25.6812,,,,
11,04/22/19 12:21:30 PM,33041.7,28513.2,9.59,40222.0,25.6796,,,,
12,04/22/19 12:31:30 PM,33041.7,28490.6,9.59,40190.4,25.6572,,,,
13,04/22/19 12:41:30 PM,33041.7,28527.4,9.58,40251.9,25.7008,,,,
14,04/22/19 12:51:30 PM,33041.7,28504.7,9.58,40220.2,25.6783,,,,
15,04/22/19 01:01:30 PM,33041.7,28484.9,9.58,40192.5,25.6587,,,,
16,04/22/19 01:11:30 PM,33041.7,28507.6,9.58,40224.2,25.6812,,,,
17,04/22/19 01:21:30 PM,33041.7,28476.4,9.59,40170.5,25.6431,,,,
18,04/22/19 01:31:30 PM,33041.7,28484.9,9.59,40182.4,25.6515,,,,
19,04/22/19 01:41:30 PM,33041.7,28482.1,9.60,40168.5,25.6417,,,,
20,04/22/19 01:51:30 PM,33041.7,28436.8,9.60,40105.1,25.5967,,,,
21,04/22/19 02:01:30 PM,33041.7,28386.0,9.60,40034.0,25.5464,,,,
22,04/22/19 02:11:30 PM,33041.7,28386.0,9.61,40024.0,25.5393,,,,
23,04/22/19 02:21:30 PM,33041.7,28357.9,9.63,39964.8,25.4973,,,,
24,04/22/19 02:31:30 PM,33041.7,28324.2,9.63,39917.7,25.4639,,,,
25,04/22/19 02:41:30 PM,33041.7,28332.6,9.64,39919.4,25.4652,,,,
26,04/22/19 02:51:30 PM,33041.7,28315.8,9.64,39896.0,25.4485,,,,
27,04/22/19 03:01:30 PM,33041.7,28324.2,9.64,39907.7,25.4569,,,,
28,04/22/19 03:11:30 PM,33041.7,28318.6,9.65,39889.9,25.4443,,,,
29,04/22/19 03:21:30 PM,33041.7,28310.2,9.65,39878.2,25.4359,,,,
30,04/22/19 03:31:30 PM,33041.7,28327.0,9.65,39901.6,25.4526,,,,
31,04/22/19 03:41:30 PM,33041.7,28310.2,9.63,39898.1,25.4501,,,,
32,04/22/19 03:51:30 PM,33041.7,28363.5,9.61,39992.6,25.5170,,,,
33,04/22/19 04:01:30 PM,33041.7,28363.5,9.59,40012.6,25.5312,,,,
34,04/22/19 04:11:30 PM,33041.7,28369.2,9.59,40020.5,25.5368,,,,
35,04/22/19 04:21:30 PM,33041.7,28394.5,9.57,40076.0,25.5761,,,,
36,04/22/19 04:31:30 PM,33041.7,28402.9,9.57,40087.7,25.5844,,,,
37,04/22/19 04:41:30 PM,33041.7,28394.5,9.54,40106.1,25.5974,,,,
38,04/22/19 04:51:30 PM,33041.7,28377.6,9.54,40082.4,25.5806,,,,
39,04/22/19 05:01:30 PM,33041.7,28408.6,9.53,40135.8,25.6185,,,,
40,04/22/19 05:11:30 PM,33041.7,28417.0,9.53,40147.6,25.6269,,,,
41,04/22/19 05:21:30 PM,33041.7,28422.7,9.53,40155.6,25.6325,,,,
42,04/22/19 05:31:30 PM,33041.7,28402.9,9.52,40137.9,25.6200,,,,
43,04/22/19 05:41:30 PM,33041.7,28431.2,9.51,40187.6,25.6552,,,,
44,04/22/19 05:51:30 PM,33041.7,28408.6,9.50,40166.0,25.6399,,,,
45,04/22/19 06:01:30 PM,33041.7,28431.2,9.49,40207.7,25.6695,,,,
46,04/22/19 06:11:30 PM,33041.7,28425.5,9.49,40199.7,25.6638,,,,
47,04/22/19 06:21:30 PM,33041.7,28425.5,9.48,40209.8,25.6710,,,,
48,04/22/19 06:31:30 PM,33041.7,28439.6,9.48,40229.6,25.6850,,,,
49,04/22/19 06:41:30 PM,33041.7,28411.4,9.48,40190.0,25.6569,,,,
50,04/22/19 06:51:30 PM,33041.7,28394.5,9.48,40166.3,25.6401,,,,
51,04/22/19 07:01:30 PM,33041.7,28417.0,9.48,40197.9,25.6625,,,,
52,04/22/19 07:11:30 PM,33041.7,28391.7,9.50,40142.3,25.6231,,,,
53,04/22/19 07:21:30 PM,33041.7,28380.4,9.49,40136.5,25.6190,,,,
54,04/22/19 07:31:30 PM,33041.7,28394.5,9.49,40156.3,25.6330,,,,
55,04/22/19 07:41:30 PM,33041.7,28394.5,9.50,40146.2,25.6259,,,,
56,04/22/19 07:51:30 PM,33041.7,28372.0,9.49,40124.7,25.6106,,,,
57,04/22/19 08:01:30 PM,33041.7,28402.9,9.49,40168.0,25.6414,,,,
58,04/22/19 08:11:30 PM,33041.7,28377.6,9.49,40132.6,25.6162,,,,
59,04/22/19 08:21:30 PM,33041.7,28400.1,9.49,40164.1,25.6386,,,,
60,04/22/19 08:31:30 PM,33041.7,28377.6,9.50,40122.5,25.6091,,,,
61,04/22/19 08:41:30 PM,33041.7,28363.5,9.50,40102.7,25.5951,,,,
62,04/22/19 08:51:30 PM,33041.7,28377.6,9.51,40112.5,25.6020,,,,
63,04/22/19 09:01:30 PM,33041.7,28341.0,9.51,40061.2,25.5656,,,,
64,04/22/19 09:11:30 PM,33041.7,28355.1,9.51,40080.9,25.5796,,,,
65,04/22/19 09:21:30 PM,33041.7,28349.5,9.51,40073.1,25.5740,,,,
66,04/22/19 09:31:30 PM,33041.7,28355.1,9.52,40070.9,25.5725,,,,
67,04/22/19 09:41:30 PM,33041.7,28327.0,9.52,40031.5,25.5446,,,,
68,04/22/19 09:51:30 PM,33041.7,28357.9,9.53,40064.8,25.5682,,,,
69,04/22/19 10:01:30 PM,33041.7,28341.0,9.53,40041.1,25.5514,,,,
70,04/22/19 10:11:30 PM,33041.7,28349.5,9.53,40053.0,25.5598,,,,
71,04/22/19 10:21:30 PM,33041.7,28335.4,9.53,40033.3,25.5458,,,,
72,04/22/19 10:31:30 PM,33041.7,28332.6,9.53,40029.4,25.5430,,,,
73,04/22/19 10:41:30 PM,33041.7,28357.9,9.53,40064.8,25.5682,,,,
74,04/22/19 10:51:30 PM,33041.7,28363.5,9.53,40072.7,25.5737,,,,
75,04/22/19 11:01:30 PM,33041.7,28357.9,9.53,40064.8,25.5682,,,,
76,04/22/19 11:11:30 PM,33041.7,28386.0,9.52,40114.2,25.6032,,,,
77,04/22/19 11:21:30 PM,33041.7,28377.6,9.52,40102.4,25.5948,,,,
78,04/22/19 11:31:30 PM,33041.7,28363.5,9.52,40082.7,25.5808,,,,
79,04/22/19 11:41:30 PM,33041.7,28372.0,9.51,40104.6,25.5964,,,,
80,04/22/19 11:51:30 PM,33041.7,28425.5,9.52,40169.6,25.6424,,,,
81,04/23/19 12:01:30 AM,33041.7,28408.6,9.52,40145.9,25.6256,,,,
82,04/23/19 12:11:30 AM,33041.7,28383.2,9.52,40110.3,25.6004,,,,
83,04/23/19 12:21:30 AM,33041.7,28386.0,9.51,40124.3,25.6103,,,,
84,04/23/19 12:31:30 AM,33041.7,28408.6,9.51,40155.9,25.6328,,,,
85,04/23/19 12:41:30 AM,33041.7,28431.2,9.51,40187.6,25.6552,,,,
86,04/23/19 12:51:30 AM,33041.7,28462.2,9.52,40221.0,25.6789,,,,
87,04/23/19 01:01:30 AM,33041.7,28422.7,9.53,40155.6,25.6325,,,,
88,04/23/19 01:11:30 AM,33041.7,28431.2,9.52,40177.6,25.6481,,,,
89,04/23/19 01:21:30 AM,33041.7,28422.7,9.53,40155.6,25.6325,,,,
90,04/23/19 01:31:30 AM,33041.7,28391.7,9.54,40102.1,25.5946,,,,
