"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,04/22/19 10:45:49 AM,11.42,9.64,11.42,99.4,,,
2,04/22/19 10:55:49 AM,11.50,9.44,11.50,99.6,,,
3,04/22/19 11:05:49 AM,11.53,9.38,11.53,99.7,,,
4,04/22/19 11:15:49 AM,11.53,9.38,11.53,99.7,,,
5,04/22/19 11:25:49 AM,11.54,9.38,11.54,99.8,,,
6,04/22/19 11:35:49 AM,11.53,9.38,11.53,99.7,,,
7,04/22/19 11:45:49 AM,11.54,9.38,11.54,99.8,,,
8,04/22/19 11:55:49 AM,11.54,9.38,11.54,99.8,,,
9,04/22/19 12:05:49 PM,11.53,9.38,11.53,99.7,,,
10,04/22/19 12:15:49 PM,11.54,9.38,11.54,99.8,,,
11,04/22/19 12:25:49 PM,11.53,9.38,11.53,99.7,,,
12,04/22/19 12:35:49 PM,11.54,9.38,11.54,99.8,,,
13,04/22/19 12:45:49 PM,11.55,9.38,11.55,99.9,,,
14,04/22/19 12:55:49 PM,11.55,9.38,11.55,99.9,,,
15,04/22/19 01:05:49 PM,11.55,9.38,11.55,99.9,,,
16,04/22/19 01:15:49 PM,11.53,9.38,11.53,99.7,,,
17,04/22/19 01:25:49 PM,11.54,9.38,11.54,99.8,,,
18,04/22/19 01:35:49 PM,11.54,9.38,11.54,99.8,,,
19,04/22/19 01:45:49 PM,11.53,9.38,11.53,99.7,,,
20,04/22/19 01:55:49 PM,11.54,9.40,11.54,99.9,,,
21,04/22/19 02:05:49 PM,11.54,9.40,11.54,99.9,,,
22,04/22/19 02:15:49 PM,11.55,9.42,11.55,100.0,,,
23,04/22/19 02:25:49 PM,11.53,9.42,11.53,99.8,,,
24,04/22/19 02:35:49 PM,11.53,9.42,11.53,99.8,,,
25,04/22/19 02:45:49 PM,11.55,9.44,11.55,100.0,,,
26,04/22/19 02:55:49 PM,11.54,9.44,11.54,100.0,,,
27,04/22/19 03:05:49 PM,11.53,9.44,11.53,99.9,,,
28,04/22/19 03:15:49 PM,11.53,9.44,11.53,99.9,,,
29,04/22/19 03:25:49 PM,11.52,9.44,11.52,99.8,,,
30,04/22/19 03:35:49 PM,11.53,9.44,11.53,99.9,,,
31,04/22/19 03:45:49 PM,11.53,9.42,11.53,99.8,,,
32,04/22/19 03:55:49 PM,11.52,9.42,11.52,99.7,,,
33,04/22/19 04:05:49 PM,11.52,9.40,11.52,99.7,,,
34,04/22/19 04:15:49 PM,11.54,9.38,11.54,99.8,,,
35,04/22/19 04:25:49 PM,11.53,9.38,11.53,99.7,,,
36,04/22/19 04:35:49 PM,11.53,9.36,11.53,99.7,,,
37,04/22/19 04:45:49 PM,11.53,9.34,11.53,99.6,,,
38,04/22/19 04:55:49 PM,11.53,9.34,11.53,99.6,,,
39,04/22/19 05:05:49 PM,11.53,9.34,11.53,99.6,,,
40,04/22/19 05:15:49 PM,11.54,9.32,11.54,99.7,,,
41,04/22/19 05:25:49 PM,11.54,9.32,11.54,99.7,,,
42,04/22/19 05:35:49 PM,11.54,9.32,11.54,99.7,,,
43,04/22/19 05:45:49 PM,11.53,9.30,11.53,99.5,,,
44,04/22/19 05:55:49 PM,11.53,9.30,11.53,99.5,,,
45,04/22/19 06:05:49 PM,11.55,9.28,11.55,99.7,,,
46,04/22/19 06:15:49 PM,11.54,9.28,11.54,99.6,,,
47,04/22/19 06:25:49 PM,11.54,9.28,11.54,99.6,,,
