"Plot Title: 20449374"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,03/11/19 07:21:30 AM,33041.7,28087.4,8.37,Logged,,,
2,03/11/19 07:31:30 AM,33041.7,28068.1,8.36,,,,
3,03/11/19 07:41:30 AM,33041.7,28073.6,8.37,,,,
4,03/11/19 07:51:30 AM,33041.7,28090.2,8.37,,,,
5,03/11/19 08:01:30 AM,33041.7,28087.4,8.37,,,,
6,03/11/19 08:11:30 AM,33041.7,28087.4,8.37,,,,
7,03/11/19 08:21:30 AM,33041.7,28073.6,8.37,,,,
8,03/11/19 08:31:30 AM,33041.7,28070.8,8.37,,,,
9,03/11/19 08:41:30 AM,33041.7,28070.8,8.39,,,,
10,03/11/19 08:51:30 AM,33041.7,28087.4,8.39,,,,
11,03/11/19 09:01:30 AM,33041.7,28065.3,8.40,,,,
12,03/11/19 09:11:30 AM,33041.7,28117.9,8.41,,,,
13,03/11/19 09:21:30 AM,33041.7,28092.9,8.41,,,,
14,03/11/19 09:31:30 AM,33041.7,28115.1,8.43,,,,
15,03/11/19 09:41:30 AM,33041.7,28098.5,8.43,,,,
16,03/11/19 09:51:30 AM,33041.7,28109.6,8.44,,,,
17,03/11/19 10:01:30 AM,33041.7,28120.6,8.45,,,,
18,03/11/19 10:11:30 AM,33041.7,28115.1,8.45,,,,
19,03/11/19 10:21:30 AM,33041.7,28137.3,8.47,,,,
20,03/11/19 10:31:30 AM,33041.7,28151.2,8.47,,,,
21,03/11/19 10:41:30 AM,33041.7,28173.4,8.49,,,,
22,03/11/19 10:51:30 AM,33041.7,28181.7,8.49,,,,
23,03/11/19 11:01:30 AM,33041.7,28173.4,8.49,,,,
24,03/11/19 11:11:30 AM,33041.7,28159.5,8.51,,,,
25,03/11/19 11:21:30 AM,33041.7,28148.4,8.50,,,,
26,03/11/19 11:31:30 AM,33041.7,28142.8,8.50,,,,
27,03/11/19 11:41:30 AM,33041.7,28167.8,8.50,,,,
28,03/11/19 11:51:30 AM,33041.7,28159.5,8.50,,,,
29,03/11/19 12:01:30 PM,33041.7,28156.7,8.50,,,,
30,03/11/19 12:11:30 PM,33041.7,28167.8,8.51,,,,
31,03/11/19 12:21:30 PM,33041.7,28156.7,8.51,,,,
32,03/11/19 12:31:30 PM,33041.7,28165.0,8.51,,,,
33,03/11/19 12:41:30 PM,33041.7,28165.0,8.52,,,,
34,03/11/19 12:51:30 PM,33041.7,28187.3,8.52,,,,
35,03/11/19 01:01:30 PM,33041.7,28187.3,8.53,,,,
36,03/11/19 01:11:30 PM,33041.7,28173.4,8.53,,,,
37,03/11/19 01:21:30 PM,33041.7,28151.2,8.55,,,,
38,03/11/19 01:31:30 PM,33041.7,28173.4,8.56,,,,
39,03/11/19 01:41:30 PM,33041.7,28156.7,8.56,,,,
40,03/11/19 01:51:30 PM,33041.7,28134.5,8.56,,,,
41,03/11/19 02:01:30 PM,33041.7,28151.2,8.56,,,,
42,03/11/19 02:11:30 PM,33041.7,28129.0,8.56,,,,
43,03/11/19 02:21:30 PM,33041.7,28129.0,8.57,,,,
44,03/11/19 02:31:30 PM,33041.7,28090.2,8.58,,,,
45,03/11/19 02:41:30 PM,33041.7,28092.9,8.59,,,,
46,03/11/19 02:51:30 PM,33041.7,28059.8,8.59,,,,
47,03/11/19 03:01:30 PM,33041.7,28073.6,8.60,,,,
48,03/11/19 03:11:30 PM,33041.7,28076.4,8.62,,,,
49,03/11/19 03:21:30 PM,33041.7,28059.8,8.63,,,,
50,03/11/19 03:31:30 PM,33041.7,28076.4,8.64,,,,
51,03/11/19 03:41:30 PM,33041.7,28084.6,8.63,,,,
52,03/11/19 03:51:30 PM,33041.7,28076.4,8.64,,,,
53,03/11/19 04:01:30 PM,33041.7,28092.9,8.64,,,,
54,03/11/19 04:11:30 PM,33041.7,28076.4,8.64,,,,
55,03/11/19 04:21:30 PM,33041.7,28081.9,8.63,,,,
56,03/11/19 04:31:30 PM,33041.7,28076.4,8.63,,,,
57,03/11/19 04:41:30 PM,33041.7,28098.5,8.62,,,,
58,03/11/19 04:51:30 PM,33041.7,28084.6,8.62,,,,
59,03/11/19 05:01:30 PM,33041.7,28076.4,8.60,,,,
60,03/11/19 05:11:30 PM,33041.7,28106.8,8.60,,,,
61,03/11/19 05:21:30 PM,33041.7,28090.2,8.59,,,,
62,03/11/19 05:31:30 PM,33041.7,28098.5,8.58,,,,
63,03/11/19 05:41:30 PM,33041.7,28106.8,8.57,,,,
64,03/11/19 05:51:30 PM,33041.7,28106.8,8.57,,,,
65,03/11/19 06:01:30 PM,33041.7,28084.6,8.56,,,,
