#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)"
1,12/3/18 13:05,11.15,10.78,0,0
2,12/3/18 13:15,11.19,10.74,0,0
3,12/3/18 13:25,11.19,10.74,0,0
4,12/3/18 13:35,11.2,10.76,0,0
5,12/3/18 13:45,11.19,10.76,0,0
6,12/3/18 13:55,11.18,10.78,0,0
7,12/3/18 14:05,11.19,10.78,0,0
8,12/3/18 14:15,11.18,10.78,0,0
9,12/3/18 14:25,11.18,10.8,0,0
10,12/3/18 14:35,11.18,10.8,0,0
11,12/3/18 14:45,11.15,10.8,0,0
12,12/3/18 14:55,11.17,10.82,0,0
13,12/3/18 15:05,11.17,10.82,0,0
14,12/3/18 15:15,11.17,10.82,0,0
15,12/3/18 15:25,11.16,10.82,0,0
16,12/3/18 15:35,11.16,10.84,0,0
17,12/3/18 15:45,11.15,10.84,0,0
18,12/3/18 15:55,11.16,10.84,0,0
19,12/3/18 16:05,11.15,10.84,0,0
20,12/3/18 16:15,11.15,10.84,0,0
21,12/3/18 16:25,11.16,10.84,0,0
22,12/3/18 16:35,11.16,10.82,0,0
23,12/3/18 16:45,11.16,10.82,0,0
24,12/3/18 16:55,11.15,10.82,0,0
25,12/3/18 17:05,11.16,10.82,0,0
26,12/3/18 17:15,11.15,10.82,0,0
27,12/3/18 17:25,11.15,10.82,0,0
28,12/3/18 17:35,11.16,10.82,0,0
29,12/3/18 17:45,11.15,10.82,0,0
30,12/3/18 17:55,11.16,10.8,0,0
31,12/3/18 18:05,11.15,10.8,0,0
32,12/3/18 18:15,11.15,10.8,0,0
33,12/3/18 18:25,11.15,10.8,0,0
34,12/3/18 18:35,11.15,10.78,0,0
35,12/3/18 18:45,11.16,10.78,0,0
36,12/3/18 18:55,11.16,10.76,0,0
37,12/3/18 19:05,11.17,10.76,0,0
38,12/3/18 19:15,11.16,10.74,0,0
39,12/3/18 19:25,11.17,10.74,0,0
40,12/3/18 19:35,11.17,10.74,0,0
