#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)"
1,5/7/19 11:25,11.22,10.24,11.22,99
2,5/7/19 11:35,11.33,10,11.33,99.4
3,5/7/19 11:45,11.35,9.96,11.35,99.5
4,5/7/19 11:55,11.33,9.96,11.33,99.4
5,5/7/19 12:05,11.34,9.98,11.34,99.5
6,5/7/19 12:15,11.33,9.98,11.33,99.4
7,5/7/19 12:25,11.35,10,11.35,99.6
8,5/7/19 12:35,11.34,10.02,11.34,99.6
9,5/7/19 12:45,11.35,10.04,11.35,99.7
10,5/7/19 12:55,11.35,10.06,11.35,99.8
11,5/7/19 13:05,11.35,10.1,11.35,99.9
12,5/7/19 13:15,11.34,10.12,11.34,99.8
13,5/7/19 13:25,11.32,10.14,11.32,99.7
14,5/7/19 13:35,11.32,10.16,11.32,99.7
15,5/7/19 13:45,11.33,10.18,11.33,99.9
16,5/7/19 13:55,11.32,10.18,11.32,99.8
17,5/7/19 14:05,11.31,10.2,11.31,99.7
18,5/7/19 14:15,11.31,10.2,11.31,99.7
19,5/7/19 14:25,11.31,10.2,11.31,99.7
20,5/7/19 14:35,11.3,10.22,11.3,99.7
21,5/7/19 14:45,11.3,10.22,11.3,99.7
22,5/7/19 14:55,11.3,10.22,11.3,99.7
23,5/7/19 15:05,11.31,10.22,11.31,99.8
24,5/7/19 15:15,11.31,10.24,11.31,99.8
25,5/7/19 15:25,11.31,10.24,11.31,99.8
26,5/7/19 15:35,11.32,10.24,11.32,99.9
27,5/7/19 15:45,11.31,10.24,11.31,99.8
28,5/7/19 15:55,11.31,10.22,11.31,99.8
29,5/7/19 16:05,11.31,10.22,11.31,99.8
30,5/7/19 16:15,11.3,10.2,11.3,99.7
31,5/7/19 16:25,11.3,10.18,11.3,99.6
32,5/7/19 16:35,11.32,10.18,11.32,99.8
33,5/7/19 16:45,11.32,10.18,11.32,99.8
34,5/7/19 16:55,11.33,10.18,11.33,99.9
35,5/7/19 17:05,11.34,10.16,11.34,99.9
36,5/7/19 17:15,11.33,10.18,11.33,99.9
37,5/7/19 17:25,11.34,10.18,11.34,100
38,5/7/19 17:35,11.34,10.18,11.34,100
39,5/7/19 17:45,11.34,10.2,11.34,100
40,5/7/19 17:55,11.34,10.22,11.34,100.1
41,5/7/19 18:05,11.35,10.22,11.35,100.1
42,5/7/19 18:15,11.34,10.24,11.34,100.1
43,5/7/19 18:25,11.33,10.24,11.33,100
44,5/7/19 18:35,11.33,10.22,11.33,100
45,5/7/19 18:45,11.34,10.22,11.34,100.1
46,5/7/19 18:55,11.33,10.2,11.33,99.9
47,5/7/19 19:05,11.35,10.2,11.35,100.1
48,5/7/19 19:15,11.34,10.2,11.34,100
49,5/7/19 19:25,11.35,10.2,11.35,100.1
50,5/7/19 19:35,11.34,10.18,11.34,100
51,5/7/19 19:45,11.34,10.18,11.34,100
52,5/7/19 19:55,11.34,10.16,11.34,99.9
53,5/7/19 20:05,11.35,10.16,11.35,100
54,5/7/19 20:15,11.33,10.14,11.33,99.8
55,5/7/19 20:25,11.34,10.1,11.34,99.8
56,5/7/19 20:35,11.33,10.08,11.33,99.6
57,5/7/19 20:45,11.35,10.06,11.35,99.8
58,5/7/19 20:55,11.33,10.02,11.33,99.5
59,5/7/19 21:05,11.34,9.98,11.34,99.5
60,5/7/19 21:15,11.32,9.96,11.32,99.3
61,5/7/19 21:25,11.35,9.92,11.35,99.4
62,5/7/19 21:35,11.34,9.9,11.34,99.3
63,5/7/19 21:45,11.35,9.9,11.35,99.4
64,5/7/19 21:55,11.36,9.88,11.36,99.4
65,5/7/19 22:05,11.35,9.86,11.35,99.3
66,5/7/19 22:15,11.37,9.86,11.37,99.5
67,5/7/19 22:25,11.36,9.84,11.36,99.3
68,5/7/19 22:35,11.37,9.82,11.37,99.4
69,5/7/19 22:45,11.38,9.82,11.38,99.5
70,5/7/19 22:55,11.36,9.8,11.36,99.2
71,5/7/19 23:05,11.37,9.8,11.37,99.3
72,5/7/19 23:15,11.36,9.78,11.36,99.2
73,5/7/19 23:25,11.37,9.78,11.37,99.3
74,5/7/19 23:35,11.38,9.76,11.38,99.3
75,5/7/19 23:45,11.38,9.76,11.38,99.3
76,5/7/19 23:55,11.37,9.74,11.37,99.2
77,5/8/19 0:05,11.37,9.72,11.37,99.1
78,5/8/19 0:15,11.36,9.7,11.36,99
79,5/8/19 0:25,11.38,9.7,11.38,99.2
80,5/8/19 0:35,11.38,9.68,11.38,99.1
81,5/8/19 0:45,11.38,9.66,11.38,99.1
82,5/8/19 0:55,11.39,9.66,11.39,99.2
83,5/8/19 1:05,11.39,9.66,11.39,99.2
84,5/8/19 1:15,11.39,9.64,11.39,99.1
85,5/8/19 1:25,11.39,9.64,11.39,99.1
86,5/8/19 1:35,11.39,9.66,11.39,99.2
87,5/8/19 1:45,11.42,9.64,11.42,99.4
88,5/8/19 1:55,11.38,9.66,11.38,99.1
89,5/8/19 2:05,11.42,9.66,11.42,99.4
90,5/8/19 2:15,11.41,9.66,11.41,99.3
91,5/8/19 2:25,11.39,9.66,11.39,99.2
92,5/8/19 2:35,11.38,9.68,11.38,99.1
93,5/8/19 2:45,11.42,9.68,11.42,99.5
94,5/8/19 2:55,11.44,9.7,11.44,99.7
95,5/8/19 3:05,11.42,9.7,11.42,99.5
96,5/8/19 3:15,11.43,9.72,11.43,99.7
97,5/8/19 3:25,11.39,9.72,11.39,99.3
98,5/8/19 3:35,11.39,9.74,11.39,99.4
99,5/8/19 3:45,11.39,9.74,11.39,99.4
100,5/8/19 3:55,11.41,9.72,11.41,99.5
101,5/8/19 4:05,11.39,9.72,11.39,99.3
102,5/8/19 4:15,11.42,9.72,11.42,99.6
103,5/8/19 4:25,11.39,9.72,11.39,99.3
104,5/8/19 4:35,11.42,9.72,11.42,99.6
105,5/8/19 4:45,11.41,9.7,11.41,99.4
106,5/8/19 4:55,11.41,9.7,11.41,99.4
107,5/8/19 5:05,11.39,9.68,11.39,99.2
108,5/8/19 5:15,11.41,9.66,11.41,99.3
109,5/8/19 5:25,11.42,9.66,11.42,99.4
110,5/8/19 5:35,11.42,9.64,11.42,99.4
111,5/8/19 5:45,11.42,9.64,11.42,99.4
112,5/8/19 5:55,11.41,9.64,11.41,99.3
113,5/8/19 6:05,11.42,9.62,11.42,99.3
114,5/8/19 6:15,11.42,9.62,11.42,99.3
115,5/8/19 6:25,11.43,9.64,11.43,99.5
116,5/8/19 6:35,11.44,9.62,11.44,99.5
117,5/8/19 6:45,11.43,9.62,11.43,99.4
118,5/8/19 6:55,11.45,9.64,11.45,99.6
119,5/8/19 7:05,11.44,9.64,11.44,99.6
120,5/8/19 7:15,11.44,9.66,11.44,99.6
121,5/8/19 7:25,11.45,9.66,11.45,99.7
122,5/8/19 7:35,11.45,9.68,11.45,99.7
123,5/8/19 7:45,11.45,9.7,11.45,99.8
124,5/8/19 7:55,11.45,9.72,11.45,99.8
125,5/8/19 8:05,11.45,9.74,11.45,99.9
126,5/8/19 8:15,11.44,9.76,11.44,99.8
127,5/8/19 8:25,11.45,9.78,11.45,100
128,5/8/19 8:35,11.44,9.8,11.44,99.9
129,5/8/19 8:45,11.43,9.82,11.43,99.9
130,5/8/19 8:55,11.43,9.84,11.43,99.9
131,5/8/19 9:05,11.42,9.86,11.42,99.9
132,5/8/19 9:15,11.42,9.88,11.42,100
133,5/8/19 9:25,11.42,9.9,11.42,100
134,5/8/19 9:35,11.41,9.92,11.41,100
135,5/8/19 9:45,11.41,9.94,11.41,100
136,5/8/19 9:55,11.41,9.96,11.41,100.1
137,5/8/19 10:05,11.39,9.98,11.39,99.9
138,5/8/19 10:15,11.39,10,11.39,100
139,5/8/19 10:25,11.39,10,11.39,100
140,5/8/19 10:35,11.38,10.02,11.38,99.9
141,5/8/19 10:45,11.38,10.02,11.38,99.9
142,5/8/19 10:55,11.37,10.02,11.37,99.8
143,5/8/19 11:05,11.37,10.02,11.37,99.8
144,5/8/19 11:15,11.37,10,11.37,99.8
145,5/8/19 11:25,11.37,10,11.37,99.8
146,5/8/19 11:35,11.36,10,11.36,99.7
147,5/8/19 11:45,11.36,10,11.36,99.7
148,5/8/19 11:55,11.36,10.02,11.36,99.8
149,5/8/19 12:05,11.36,10.04,11.36,99.8
150,5/8/19 12:15,11.36,10.04,11.36,99.8
151,5/8/19 12:25,11.37,10.06,11.37,99.9
152,5/8/19 12:35,11.36,10.08,11.36,99.9
153,5/8/19 12:45,11.34,10.1,11.34,99.8
154,5/8/19 12:55,11.35,10.1,11.35,99.9
155,5/8/19 13:05,11.35,10.12,11.35,99.9
156,5/8/19 13:15,11.32,10.14,11.32,99.7
157,5/8/19 13:25,11.32,10.16,11.32,99.7
158,5/8/19 13:35,11.32,10.18,11.32,99.8
159,5/8/19 13:45,11.32,10.2,11.32,99.8
160,5/8/19 13:55,11.32,10.24,11.32,99.9
161,5/8/19 14:05,11.31,10.24,11.31,99.8
162,5/8/19 14:15,11.31,10.26,11.31,99.9
163,5/8/19 14:25,11.31,10.28,11.31,99.9
164,5/8/19 14:35,11.31,10.3,11.31,100
165,5/8/19 14:45,11.31,10.32,11.31,100
166,5/8/19 14:55,11.3,10.34,11.3,100
167,5/8/19 15:05,11.31,10.34,11.31,100.1
168,5/8/19 15:15,11.3,10.36,11.3,100
169,5/8/19 15:25,11.3,10.38,11.3,100.1
170,5/8/19 15:35,11.3,10.4,11.3,100.1
171,5/8/19 15:45,11.3,10.4,11.3,100.1
172,5/8/19 15:55,11.3,10.42,11.3,100.2
173,5/8/19 16:05,11.29,10.42,11.29,100.1
174,5/8/19 16:15,11.28,10.42,11.28,100
175,5/8/19 16:25,11.29,10.4,11.29,100
176,5/8/19 16:35,11.27,10.38,11.27,99.8
177,5/8/19 16:45,11.29,10.36,11.29,99.9
178,5/8/19 16:55,11.29,10.36,11.29,99.9
179,5/8/19 17:05,11.28,10.34,11.28,99.8
180,5/8/19 17:15,11.28,10.34,11.28,99.8
181,5/8/19 17:25,11.29,10.34,11.29,99.9
182,5/8/19 17:35,11.28,10.34,11.28,99.8
183,5/8/19 17:45,11.29,10.36,11.29,99.9
184,5/8/19 17:55,11.28,10.36,11.28,99.9
185,5/8/19 18:05,11.29,10.36,11.29,99.9
186,5/8/19 18:15,11.28,10.34,11.28,99.8
187,5/8/19 18:25,11.29,10.34,11.29,99.9
188,5/8/19 18:35,11.28,10.32,11.28,99.8
189,5/8/19 18:45,11.28,10.32,11.28,99.8
190,5/8/19 18:55,11.28,10.32,11.28,99.8
191,5/8/19 19:05,11.3,10.3,11.3,99.9
192,5/8/19 19:15,11.3,10.28,11.3,99.8
193,5/8/19 19:25,11.3,10.26,11.3,99.8
194,5/8/19 19:35,11.31,10.24,11.31,99.8
195,5/8/19 19:45,11.29,10.24,11.29,99.7
196,5/8/19 19:55,11.3,10.22,11.3,99.7
197,5/8/19 20:05,11.3,10.22,11.3,99.7
198,5/8/19 20:15,11.3,10.2,11.3,99.7
199,5/8/19 20:25,11.31,10.18,11.31,99.7
200,5/8/19 20:35,11.31,10.16,11.31,99.6
201,5/8/19 20:45,11.31,10.14,11.31,99.6
202,5/8/19 20:55,11.3,10.12,11.3,99.5
203,5/8/19 21:05,11.31,10.1,11.31,99.5
204,5/8/19 21:15,11.33,10.1,11.33,99.7
205,5/8/19 21:25,11.31,10.1,11.31,99.5
206,5/8/19 21:35,11.33,10.1,11.33,99.7
