#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)"
1,3/11/19 7:15,11.6,8.54,,N/A
2,3/11/19 7:25,11.71,8.32,,N/A
3,3/11/19 7:35,11.73,8.26,,N/A
4,3/11/19 7:45,11.73,8.24,,N/A
5,3/11/19 7:55,11.74,8.24,,N/A
6,3/11/19 8:05,11.74,8.24,,N/A
7,3/11/19 8:15,11.74,8.24,,N/A
8,3/11/19 8:25,11.75,8.24,,N/A
9,3/11/19 8:35,11.75,8.24,,N/A
10,3/11/19 8:45,11.75,8.24,,N/A
11,3/11/19 8:55,11.74,8.24,,N/A
12,3/11/19 9:05,11.75,8.26,,N/A
13,3/11/19 9:15,11.74,8.26,,N/A
14,3/11/19 9:25,11.73,8.28,,N/A
15,3/11/19 9:35,11.73,8.28,,N/A
16,3/11/19 9:45,11.73,8.3,,N/A
17,3/11/19 9:55,11.72,8.3,,N/A
18,3/11/19 10:05,11.73,8.32,,N/A
19,3/11/19 10:15,11.73,8.32,,N/A
20,3/11/19 10:25,11.72,8.32,,N/A
21,3/11/19 10:35,11.73,8.34,,N/A
22,3/11/19 10:45,11.73,8.34,,N/A
23,3/11/19 10:55,11.71,8.36,,N/A
24,3/11/19 11:05,11.73,8.36,,N/A
25,3/11/19 11:15,11.72,8.36,,N/A
26,3/11/19 11:25,11.71,8.36,,N/A
27,3/11/19 11:35,11.71,8.36,,N/A
28,3/11/19 11:45,11.7,8.36,,N/A
29,3/11/19 11:55,11.7,8.36,,N/A
30,3/11/19 12:05,11.7,8.36,,N/A
31,3/11/19 12:15,11.71,8.38,,N/A
32,3/11/19 12:25,11.7,8.38,,N/A
33,3/11/19 12:35,11.72,8.38,,N/A
34,3/11/19 12:45,11.71,8.38,,N/A
35,3/11/19 12:55,11.7,8.38,,N/A
36,3/11/19 13:05,11.7,8.38,,N/A
37,3/11/19 13:15,11.7,8.4,,N/A
38,3/11/19 13:25,11.7,8.4,,N/A
39,3/11/19 13:35,11.7,8.4,,N/A
40,3/11/19 13:45,11.68,8.42,,N/A
41,3/11/19 13:55,11.68,8.42,,N/A
42,3/11/19 14:05,11.7,8.42,,N/A
43,3/11/19 14:15,11.71,8.42,,N/A
44,3/11/19 14:25,11.7,8.44,,N/A
45,3/11/19 14:35,11.71,8.44,,N/A
46,3/11/19 14:45,11.68,8.44,,N/A
47,3/11/19 14:55,11.7,8.46,,N/A
48,3/11/19 15:05,11.67,8.46,,N/A
49,3/11/19 15:15,11.67,8.48,,N/A
50,3/11/19 15:25,11.66,8.48,,N/A
51,3/11/19 15:35,11.65,8.48,,N/A
52,3/11/19 15:45,11.64,8.5,,N/A
53,3/11/19 15:55,11.64,8.5,,N/A
54,3/11/19 16:05,11.65,8.5,,N/A
55,3/11/19 16:15,11.65,8.5,,N/A
56,3/11/19 16:25,11.65,8.48,,N/A
57,3/11/19 16:35,11.64,8.48,,N/A
58,3/11/19 16:45,11.65,8.48,,N/A
59,3/11/19 16:55,11.66,8.46,,N/A
60,3/11/19 17:05,11.65,8.46,,N/A
61,3/11/19 17:15,11.65,8.46,,N/A
62,3/11/19 17:25,11.64,8.44,,N/A
