#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)"
1,2/25/19 10:05,11.57,8.42,,
2,2/25/19 10:15,11.55,8.44,,
3,2/25/19 10:25,11.57,8.4,,
4,2/25/19 10:35,11.57,8.4,,
5,2/25/19 10:45,11.57,8.4,,
6,2/25/19 10:55,11.57,8.4,,
7,2/25/19 11:05,11.57,8.4,,
8,2/25/19 11:15,11.57,8.4,,
9,2/25/19 11:25,11.57,8.42,,
10,2/25/19 11:35,11.57,8.42,,
11,2/25/19 11:45,11.57,8.42,,
12,2/25/19 11:55,11.56,8.42,,
13,2/25/19 12:05,11.56,8.42,,
14,2/25/19 12:15,11.56,8.42,,
15,2/25/19 12:25,11.56,8.42,,
16,2/25/19 12:35,11.56,8.44,,
17,2/25/19 12:45,11.56,8.44,,
18,2/25/19 12:55,11.55,8.44,,
19,2/25/19 13:05,11.55,8.44,,
20,2/25/19 13:15,11.56,8.44,,
21,2/25/19 13:25,11.56,8.44,,
22,2/25/19 13:35,11.57,8.42,,
23,2/25/19 13:45,11.57,8.42,,
24,2/25/19 13:55,11.57,8.4,,
25,2/25/19 14:05,11.58,8.4,,
26,2/25/19 14:15,11.58,8.38,,
27,2/25/19 14:25,11.6,8.36,,
28,2/25/19 14:35,11.64,8.28,,
29,2/25/19 14:45,11.7,8.2,,
30,2/25/19 14:55,11.71,8.14,,
31,2/25/19 15:05,11.74,8.08,,
32,2/25/19 15:15,11.75,8.04,,
33,2/25/19 15:25,11.76,8,,
34,2/25/19 15:35,11.76,7.98,,
35,2/25/19 15:45,11.76,7.96,,
36,2/25/19 15:55,11.77,7.96,,
37,2/25/19 16:05,11.76,7.96,,
38,2/25/19 16:15,11.75,7.98,,
39,2/25/19 16:25,11.73,8,,
40,2/25/19 16:35,11.74,8.02,,
41,2/25/19 16:45,11.72,8.06,,
42,2/25/19 16:55,11.7,8.1,,
43,2/25/19 17:05,11.68,8.14,,
44,2/25/19 17:15,11.66,8.16,,
45,2/25/19 17:25,11.65,8.18,,
46,2/25/19 17:35,11.64,8.22,,
47,2/25/19 17:45,11.63,8.24,,
48,2/25/19 17:55,11.62,8.26,,
49,2/25/19 18:05,11.61,8.28,,
50,2/25/19 18:15,11.6,8.28,,
51,2/25/19 18:25,11.6,8.3,,
52,2/25/19 18:35,11.6,8.32,,
53,2/25/19 18:45,11.6,8.32,,
54,2/25/19 18:55,11.59,8.34,,
55,2/25/19 19:05,11.59,8.34,,
56,2/25/19 19:15,11.57,8.36,,
57,2/25/19 19:25,11.57,8.36,,
58,2/25/19 19:35,11.57,8.36,,
59,2/25/19 19:45,11.57,8.36,,
60,2/25/19 19:55,11.57,8.36,,
61,2/25/19 20:05,11.57,8.38,,
62,2/25/19 20:15,11.56,8.38,,
