dye batch 5_10_A,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,MOAT,Jar,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,1,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.451705587,7.457947954,-0.093,-0.102,-0.017,0.471,0.235,-0.013,0.594642857,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.586546439,-0.004
2,1,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.453063636,7.459280728,-0.08,-0.079,0.015,0.592,0.325,0.023,0.596385542,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.588298643,-0.008
3,2,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.679785505,7.682687184,-0.096,-0.098,-0.006,0.438,0.42,-0.006,0.970037453,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.963991406,0
4,2,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.676270572,7.679212106,-0.071,-0.085,-0.001,0.389,0.358,0.002,0.962800875,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.956715302,-0.003
5,3,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.707556972,7.710154152,-0.068,-0.072,0.018,0.447,0.458,0.017,1.029069767,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,1.023346149,0.001
6,3,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.708693976,7.711279073,-0.07,-0.084,-0.004,0.44,0.442,-0.001,1.031558185,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,1.025848159,-0.003
7,4,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.348202613,7.356613986,-0.085,-0.088,0,0.477,0.182,0.005,0.475763016,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.467017288,-0.005
8,4,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.309738118,7.319091486,-0.096,-0.097,-0.007,0.457,0.148,-0.002,0.437956204,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.429003979,-0.005
9,5,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.346586592,7.355035942,-0.08,-0.077,0.016,0.539,0.217,0.017,0.474110032,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.465355275,-0.001
10,5,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.31509999,7.324317166,-0.073,-0.068,0.023,0.556,0.209,0.02,0.443037975,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.434113505,0.003
11,6,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.63945501,7.642832746,-0.064,-0.069,0.017,0.512,0.444,0.02,0.890052356,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.883569437,-0.003
12,6,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.624274913,7.627842924,-0.092,-0.091,0.002,0.458,0.384,0.01,0.861623616,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.854985423,-0.008
13,7,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.632194577,7.635662534,-0.089,-0.083,0.01,0.475,0.412,0.016,0.876344086,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.869786294,-0.006
14,7,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.627348348,7.630877326,-0.08,-0.083,0.006,0.444,0.372,0.01,0.867307692,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.860700545,-0.004
15,8,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.365818315,7.373824443,-0.085,-0.079,0.01,0.426,0.172,0.007,0.494163424,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.485518197,0.003
16,8,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.354289536,7.362559083,-0.091,-0.079,0.013,0.432,0.17,0.007,0.482041588,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.473330152,0.006
17,9,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.652712872,7.655929495,-0.078,-0.071,0.019,0.475,0.435,0.015,0.91561939,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.909276116,0.004
18,9,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.654116562,7.657316397,-0.066,-0.06,0.027,0.413,0.379,0.016,0.918367347,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.912039082,0.011
19,10,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.360837277,7.368956388,-0.09,-0.091,-0.005,0.586,0.24,-0.004,0.488888889,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.480214853,-0.001
20,10,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.347857808,7.356277273,-0.099,-0.084,0.009,0.393,0.152,0.013,0.475409836,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.466662179,-0.004
21,11,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.362166883,7.370255713,-0.097,-0.087,0.007,0.514,0.209,0,0.490291262,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.481624886,0.007
22,11,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.363841681,7.371892495,-0.089,-0.083,0.007,0.545,0.231,0.011,0.492063492,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.483406795,-0.004
23,12,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.639272836,7.642652819,-0.104,-0.108,-0.023,0.308,0.259,-0.019,0.889705882,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.883221071,-0.004
24,12,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.641814618,7.645163339,-0.085,-0.085,0.002,0.488,0.428,0.006,0.894551845,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.888093503,-0.004
25,13,,11:00 AM,24-Nov-16,25,28.27,0.00095,7.635279112,7.638708565,-0.087,-0.093,-0.006,0.463,0.391,-0.016,0.882142857,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.875616738,0.01
