dye batch 5_10_A,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s,
Spec Bag,MOAT,Jar,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,,
1,1,B4,,30-Nov-16,25,29.61,0.00095,7.40396497,7.411087665,-0.068,-0.071,0.021,0.568,0.27,0.016,0.539781591,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.531385526,0.005,
2,1,D4,,30-Nov-16,25,29.61,0.00095,7.397244672,7.404506804,-0.084,-0.101,-0.017,0.529,0.227,-0.013,0.532019704,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.523581245,-0.004,
3,2,B2,,30-Nov-16,25,29.61,0.00095,7.641628209,7.644944631,-0.068,-0.08,0.008,0.45,0.386,0.008,0.8996139,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.893183205,0,
4,2,D2,,30-Nov-16,25,29.61,0.00095,7.660842975,7.663929897,-0.067,-0.069,0.027,0.505,0.467,0.025,0.93728223,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.931057277,0.002,
5,3,B2,,30-Nov-16,25,29.61,0.00095,7.698526647,7.701190269,-0.088,-0.1,-0.009,0.428,0.424,-0.006,1.015594542,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,1.009797323,-0.003,
6,3,D4,,30-Nov-16,25,29.61,0.00095,7.697132872,7.699811546,-0.064,-0.083,0,0.49,0.478,-0.002,1.012589928,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,1.006776298,0.002,
7,4,B5,,30-Nov-16,25,29.61,0.00095,7.296840324,7.306453907,-0.093,-0.096,0,0.542,0.175,-0.002,0.428571429,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.419567944,0.002,
8,4,D2,,30-Nov-16,25,29.61,0.00095,7.345792192,7.354193788,-0.07,-0.083,0.007,0.602,0.237,0.007,0.476190476,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.467447082,0,
9,7,B2,,30-Nov-16,25,29.61,0.00095,7.570487203,7.574742193,-0.069,-0.072,0.024,0.478,0.351,0.026,0.772477064,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.76535196,-0.002,
10,5,B2,,30-Nov-16,25,29.61,0.00095,7.263652283,7.274165827,-0.09,-0.085,0.016,0.553,0.171,0.015,0.399068323,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.389903695,0.001,
11,5,D2,,30-Nov-16,25,29.61,0.00095,7.352255474,7.360506678,-0.09,-0.105,-0.018,0.553,0.206,-0.017,0.482866044,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.474159111,-0.001,
12,7,D6,,30-Nov-16,25,29.61,0.00095,7.616081433,7.619718227,-0.055,-0.062,0.03,0.508,0.418,0.033,0.851785714,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.845093787,-0.003,
13,6,B2,,30-Nov-16,25,29.61,0.00095,7.65263115,7.655814983,-0.08,-0.089,0.001,0.445,0.395,0.007,0.921001927,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.914688052,-0.006,
14,6,D2,,30-Nov-16,25,29.61,0.00095,7.653753639,7.656924123,-0.027,-0.027,0.064,0.549,0.505,0.067,0.923211169,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.916909361,-0.003,
15,8,B7,,30-Nov-16,25,29.61,0.00095,7.325255605,7.334149658,-0.07,-0.072,0.019,0.537,0.204,0.018,0.455592105,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.446736205,0.001,
16,8,D7,,30-Nov-16,25,29.61,0.00095,7.346481234,7.354866694,-0.095,-0.088,0.01,0.513,0.203,0.012,0.47689769,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.468158159,-0.002,
17,9,B5,,30-Nov-16,25,29.61,0.00095,7.672356193,7.675310113,-0.068,-0.082,0.005,0.493,0.457,0.008,0.960573477,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.954475738,-0.003,
18,9,D1,,30-Nov-16,25,29.61,0.00095,7.639328407,7.642672944,-0.07,-0.08,0.015,0.495,0.426,0.017,0.895204263,8.016937633,0.0069,2.222,0.133,11.94137039,-5.749375923,0.888749484,-0.002,
