"","MOATS","Date","pH","NewDate","Treatment","pHinSitu"
"19","3","22-Nov-16",7.751989043,2016-11-22,"High",7.97227417740808
"20","3","22-Nov-16",7.747717931,2016-11-22,"High",7.96777215763538
"49","6","22-Nov-16",7.726631804,2016-11-22,"High",7.94550643970494
"50","6","22-Nov-16",7.729911711,2016-11-22,"High",7.94897421834233
"58","7","22-Nov-16",7.681488241,2016-11-22,"High",7.89760680075197
"59","7","22-Nov-16",7.683139547,2016-11-22,"High",7.89936463405573
"66","7","30-Nov-16",7.570487203,2016-11-30,"High",7.77842194994601
"78","9","22-Nov-16",7.724852818,2016-11-22,"High",7.94362486858079
"79","9","22-Nov-16",7.725430151,2016-11-22,"High",7.94423554643926
"88","10","22-Nov-16",7.41806849,2016-11-22,"Low",7.61192799456209
"89","10","22-Nov-16",7.433065025,2016-11-22,"Low",7.62840655207301
