"","MOATS","Date","pH","NewDate","Treatment","pHinSitu"
"1","1","22-Nov-16",7.451199355,2016-11-22,"Low",7.64831488155046
"2","1","24-Nov-16",7.451705587,2016-11-24,"Low",7.64887029959844
"3","1","24-Nov-16",7.453063636,2016-11-24,"Low",7.65036019985303
"4","1","26-Nov-16",7.368385309,2016-11-26,"Low",7.55728398838282
"5","1","28-Nov-16",7.38718049,2016-11-28,"Low",7.57796030219992
"6","1","28-Nov-16",7.366882572,2016-11-28,"Low",7.55563089850762
"7","1","30-Nov-16",7.40396497,2016-11-30,"Low",7.59642161362329
"8","1","30-Nov-16",7.397244672,2016-11-30,"Low",7.58903063345886
"9","2","22-Nov-16",7.747114192,2016-11-22,"High",7.96713556373844
"10","2","22-Nov-16",7.717869346,2016-11-22,"High",7.93623400190476
"11","2","24-Nov-16",7.679785505,2016-11-24,"High",7.89579375737171
"12","2","24-Nov-16",7.676270572,2016-11-24,"High",7.89204963094899
"13","2","26-Nov-16",7.712281675,2016-11-26,"High",7.93031493400955
"14","2","26-Nov-16",7.72425817,2016-11-26,"High",7.94299582236739
"15","2","28-Nov-16",7.670657308,2016-11-28,"High",7.88606618226523
"16","2","28-Nov-16",7.674651214,2016-11-28,"High",7.89032400603747
"17","2","30-Nov-16",7.641628209,2016-11-30,"High",7.85504021753155
"18","2","30-Nov-16",7.660842975,2016-11-30,"High",7.8755922385843
"19","3","22-Nov-16",7.751989043,2016-11-22,"High",7.97227417740808
"20","3","22-Nov-16",7.747717931,2016-11-22,"High",7.96777215763538
"21","3","24-Nov-16",7.707556972,2016-11-24,"High",7.92530621640831
"22","3","24-Nov-16",7.708693976,2016-11-24,"High",7.92651188827505
"23","3","26-Nov-16",7.695037301,2016-11-26,"High",7.91201693929689
"24","3","26-Nov-16",7.708460049,2016-11-26,"High",7.92626385013654
"25","3","28-Nov-16",7.679102616,2016-11-28,"High",7.89506649713335
"26","3","28-Nov-16",7.689655279,2016-11-28,"High",7.90629640807831
"27","3","30-Nov-16",7.698526647,2016-11-30,"High",7.9157232799132
"28","3","30-Nov-16",7.697132872,2016-11-30,"High",7.91424306175862
"29","4","22-Nov-16",7.380379103,2016-11-22,"Low",7.57047825989272
"30","4","22-Nov-16",7.326452774,2016-11-22,"Low",7.5111775119207
"31","4","24-Nov-16",7.348202613,2016-11-24,"Low",7.53508526098969
"32","4","24-Nov-16",7.309738118,2016-11-24,"Low",7.49282154103728
"33","4","26-Nov-16",7.333660075,2016-11-26,"Low",7.51909754752869
"34","4","26-Nov-16",7.322982157,2016-11-26,"Low",7.50736467458011
"35","4","28-Nov-16",7.313378905,2016-11-28,"Low",7.49681829188329
"36","4","28-Nov-16",7.287181067,2016-11-28,"Low",7.46808212154911
"37","4","30-Nov-16",7.296840324,2016-11-30,"Low",7.47867070555969
"38","4","30-Nov-16",7.345792192,2016-11-30,"Low",7.53243475104169
"39","5","22-Nov-16",7.355848401,2016-11-22,"Low",7.54349374772415
