dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,Juvenile,Tank,1,,,11:00 AM,19-Apr-19,25,29.4,0.00095,7.609619216,7.613345717,0,0.02,0.1,0.56,0.49,0.1,0.839285714,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.832525513,0
2,Juvenile,Tank,1,,,11:00 AM,19-Apr-19,25,29.4,0.00095,7.612692892,7.616379296,-0.0300,-0.0200,0.0700,0.5500,0.4700,0.0700,0.844827586,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.838097654,0
3,Juvenile,Tank,2,,,11:00 AM,19-Apr-19,25,29.4,0.00095,6.869751748,6.897931655,0,0.02,0.1,0.7,0.15,0.11,0.173913043,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.163518639,-0.01
4,Juvenile,Tank,2,,,11:00 AM,19-Apr-19,25,29.4,0.00095,6.817016742,6.848922756,-0.04,-0.01,0.07,0.61,0.1,0.08,0.15625,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.145759121,-0.01
5,Juvenile,Tank,3,,,11:00 AM,19-Apr-19,25,29.4,0.00095,7.606295878,7.610066038,0,0.01,0.09,0.54,0.46,0.09,0.833333333,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.826540621,0
6,Juvenile,Tank,3,,,11:00 AM,19-Apr-19,25,29.4,0.00095,7.611185464,7.6148915,-0.0100,0.0000,0.0800,0.5700,0.4900,0.0900,0.842105263,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.835360462,-0.01
7,Juvenile,Tank,4,,,11:00 AM,19-Apr-19,25,29.4,0.00095,6.970908212,6.993021931,-0.02,0,0.09,0.67,0.14,0.08,0.214285714,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.204111821,0.01
8,Juvenile,Tank,4,,,11:00 AM,19-Apr-19,25,29.4,0.00095,6.988345064,7.009540988,0.03,0.07,0.16,0.71,0.19,0.12,0.222222222,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.212091677,0.04
9,Juvenile,Tank,5,,,11:00 AM,19-Apr-19,25,29.4,0.00095,7.603065229,7.606878135,-0.08,-0.06,0.03,0.57,0.49,0.1,0.827586207,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.820762104,-0.07
10,Juvenile,Tank,5,,,11:00 AM,19-Apr-19,25,29.4,0.00095,7.596672202,7.600570593,-0.08,-0.06,0.03,0.42,0.35,0.04,0.816326531,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.809440928,-0.01
11,Juvenile,Tank,6,,,11:00 AM,19-Apr-19,25,29.4,0.00095,6.937687831,6.961649346,-0.0700,-0.0600,0.0300,0.6300,0.0800,0.0300,0.2,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.18974808,0
12,Juvenile,Tank,6,,,11:00 AM,19-Apr-19,25,29.4,0.00095,6.984810541,7.006189702,-0.05,-0.04,0.05,0.64,0.12,0.06,0.220588235,8.017380733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.210448766,-0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,
