dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s,
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,,
9,Juvenile,Tank,3,,,11:00 AM,1-May-19,25,29.87,0.00095,7.588164189,7.592164629,0,0.02,0.1,0.62,0.52,0.11,0.803278689,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.79632182,-0.01,
6,Juvenile,Tank,3,,,11:00 AM,1-May-19,25,29.87,0.00095,7.594096231,7.598015992,-0.02,0,0.08,0.57,0.48,0.08,0.813559322,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.806658606,0,
10,Juvenile,Tank,2,,,11:00 AM,1-May-19,25,29.87,0.00095,6.987353364,7.008549288,-0.05,-0.03,0.06,0.6,0.13,0.08,0.222222222,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.212091677,-0.02,
1,Juvenile,Tank,2,,,11:00 AM,1-May-19,25,29.87,0.00095,7.022979789,7.04240555,0,0.01,0.1,0.71,0.18,0.1,0.23943662,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.229400098,0,
21,Juvenile,Tank,1,,,11:00 AM,1-May-19,25,29.87,0.00095,7.600364436,7.604200078,-0.04,-0.01,0.07,0.53,0.46,0.07,0.824561404,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.817720779,0,
4,Juvenile,Tank,1,,,11:00 AM,1-May-19,25,29.87,0.00095,7.595874875,7.59977065,-0.04,-0.01,0.07,0.57,0.49,0.08,0.816666667,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.809782922,-0.01,
8,Juvenile,Tank,1,,,11:00 AM,1-May-19,25,29.87,0.00095,7.605304178,7.609074338,1.03,1,1.05,1.58,1.46,1.06,0.833333333,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.826540621,-0.01,line at 1
5,Juvenile,Tank,1,,,11:00 AM,1-May-19,25,29.87,0.00095,7.603718941,7.607510038,1.04,1,1.05,1.63,1.49,1.05,0.830508475,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.823700333,0,line at 1
7,Juvenile,Tank,4,,,11:00 AM,1-May-19,25,29.87,0.00095,6.907779103,6.933460936,-0.1,-0.07,0.01,0.61,0.08,0.03,0.188405797,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.17809055,-0.02,
11,Juvenile,Tank,4,,,11:00 AM,1-May-19,25,29.87,0.00095,6.969916512,6.992030231,-0.05,-0.03,0.05,0.68,0.15,0.08,0.214285714,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.204111821,-0.03,
15,Juvenile,Tank,4,,,11:00 AM,1-May-19,25,29.87,0.00095,6.781692237,6.816259032,1.96,2,2.04,2.93,2.15,2.05,0.145833333,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.13528556,-0.01,line at 2
16,Juvenile,Tank,4,,,11:00 AM,1-May-19,25,29.87,0.00095,7.190357645,7.203091776,2.04,2,2.05,2.46,2.15,2.06,0.341463415,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.331984154,-0.01,line at 2
12,Juvenile,Tank,5,,,11:00 AM,1-May-19,25,29.87,0.00095,7.588334121,7.592332236,-0.06,-0.03,0.06,0.51,0.43,0.07,0.803571429,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.796616159,-0.01,
13,Juvenile,Tank,5,,,11:00 AM,1-May-19,25,29.87,0.00095,7.597588962,7.601461709,-0.07,-0.04,0.05,0.57,0.49,0.08,0.819672131,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.812804802,-0.03,
14,Juvenile,Tank,5,,,11:00 AM,1-May-19,25,29.87,0.00095,7.362763498,7.370762384,2.05,1.98,2.03,2.97,2.44,2.04,0.494505495,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.485862136,-0.01,line at 2
22,Juvenile,Tank,5,,,11:00 AM,1-May-19,25,29.87,0.00095,7.616837001,7.620457004,2.07,2.01,2.06,2.55,2.42,2.06,0.854166667,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.847487744,0,line at 2
18,Juvenile,Tank,6,,,11:00 AM,1-May-19,25,29.87,0.00095,7.005397928,7.025680076,-0.08,-0.05,0.03,0.58,0.11,0.04,0.230769231,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.220685369,-0.01,
19,Juvenile,Tank,6,,,11:00 AM,1-May-19,25,29.87,0.00095,7.043511335,7.061977832,-0.08,-0.05,0.03,0.62,0.14,0.05,0.25,8.016389033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.240021175,-0.02,
