dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
7,Juvenile,Tank,1,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.600349641,7.604193079,0.01,0.04,0.13,0.69,0.6,0.13,0.823529412,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.816683151,0
4,Juvenile,Tank,1,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.613722759,7.617390316,0,0.03,0.12,0.59,0.53,0.12,0.847457627,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.84074206,0
6,Juvenile,Tank,2,,,11:00 AM,3-Jul-19,25,29.6,0.00095,6.94333699,6.966950794,-0.03,-0.01,0.09,0.76,0.15,0.09,0.202531646,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.192293553,0
3,Juvenile,Tank,2,,,11:00 AM,3-Jul-19,25,29.6,0.00095,6.891037644,6.917801925,-0.01,0.01,0.1,0.76,0.15,0.1,0.181818182,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.171466954,0
9,Juvenile,Tank,3,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.617901928,7.621515568,-0.06,-0.03,0.06,0.63,0.56,0.06,0.855072464,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.848398488,0
10,Juvenile,Tank,3,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.631652451,7.63509212,0,0.02,0.11,0.68,0.62,0.12,0.880597015,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.874062452,-0.01
8,Juvenile,Tank,4,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.250853694,7.261733017,-0.01,0.02,0.11,0.83,0.34,0.1,0.388235294,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.379011497,0.01
1,Juvenile,Tank,4,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.173190838,7.186522849,0.06,0.08,0.16,0.78,0.31,0.15,0.328767123,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.319218517,0.01
5,Juvenile,Tank,5,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.62012766,7.623712784,-0.03,0,0.09,0.68,0.61,0.09,0.85915493,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.852503252,0
12,Juvenile,Tank,5,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.624196415,7.627729769,0.05,0.07,0.15,0.66,0.6,0.16,0.866666667,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.860056018,-0.01
24,Juvenile,Tank,6,,,11:00 AM,3-Jul-19,25,29.6,0.00095,7.032897721,7.051881371,0,0.03,0.13,0.86,0.24,0.13,0.244186047,8.016958733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.234175466,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
