dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,Juvenile,Tank,5,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.518061986,7.523069034,-0.0300,0.0000,0.0900,0.4500,0.3300,0.0800,0.693877551,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.686323144,0.01
2,Juvenile,Tank,6,,,11:00 AM,24-Oct-18,25,30.79,0.00095,6.926766853,6.951192888,-0.08,-0.05,0.05,0.52,0.06,0.04,0.196721311,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.186451483,0.01
6,Juvenile,Tank,4,,,11:00 AM,24-Oct-18,25,30.79,0.00095,6.985412164,7.006608088,-0.05,-0.03,0.05,0.68,0.14,0.06,0.222222222,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.212091677,-0.01
7,Juvenile,Tank,2,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.055734561,7.07356398,-0.02,0.01,0.1,0.65,0.19,0.11,0.257575758,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.247638311,-0.01
8,Juvenile,Tank,4,,,11:00 AM,24-Oct-18,25,30.79,0.00095,6.992105161,7.012957951,-0.03,0,0.09,0.69,0.17,0.1,0.225352113,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.215238663,-0.01
10,Juvenile,Tank,5,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.507694591,7.512868436,-0.0200,0.0100,0.0900,0.5400,0.3900,0.0900,0.678571429,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.670933421,0
11,Juvenile,Tank,6,,,11:00 AM,24-Oct-18,25,30.79,0.00095,6.963098759,6.985475448,-0.05,-0.02,0.07,0.61,0.12,0.07,0.212121212,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.201935497,0
14,Juvenile,Tank,2,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.061755753,7.079320292,0.05,0.07,0.15,0.69,0.2,0.1,0.260869565,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.250950109,0.05
16,Juvenile,Tank,1,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.524599709,7.529503521,-0.01,0.02,0.1,0.53,0.4,0.1,0.703703704,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.696202966,0
17,Juvenile,Tank,3,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.503916712,7.509152293,-0.0200,0.0200,0.1100,0.5000,0.3700,0.1100,0.673076923,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.665408905,0
19,Juvenile,Tank,3,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.516069045,7.52110786,-0.02,0.01,0.1,0.52,0.38,0.09,0.690909091,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.68333847,0.01
21,Juvenile,Tank,1,,,11:00 AM,24-Oct-18,25,30.79,0.00095,7.515224668,7.520276985,-0.07,-0.03,0.06,0.5,0.36,0.05,0.689655172,8.014447833,0.0069,2.222,0.133,11.94137039,-5.749375923,0.682077703,0.01
