"","pH","ObservationDate","treatment","location","sensortype"
"1",0,2018-10-28,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"2",0,2018-10-31,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"3",0,2018-11-05,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"4",0.78,2018-09-11,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"5",0.94,2018-09-10,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"6",1.43,2018-10-29,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"7",2.4,2018-11-06,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"8",4.54,2018-11-07,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"9",4.54,2018-12-15,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"10",6.852286376,2018-11-21,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"11",6.872419938,2018-11-21,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"12",6.942846119,2019-05-01,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"13",6.96,2019-04-22,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"14",6.964780654,2019-03-27,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"15",6.967162114,2018-11-07,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"16",6.970774165,2018-11-07,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"17",6.97551742,2019-04-19,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"18",6.98,2019-03-09,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"19",6.980250351,2019-03-08,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"20",6.980921158,2018-11-14,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"21",6.982670606,2019-03-27,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"22",6.988070079,2018-09-11,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"23",6.99,2019-03-18,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"24",6.991252263,2019-05-22,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"25",6.991512193,2018-11-14,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"26",6.994627835,2019-03-08,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"27",7.00430437,2019-05-08,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"28",7.005503757,2018-11-14,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"29",7.017839285,2018-10-09,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"30",7.02,2019-04-06,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"31",7.028906578,2019-07-03,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"32",7.029855553,2019-04-19,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"33",7.03,2019-03-03,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"34",7.030251731,2018-09-11,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"35",7.036374543,2019-02-12,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"36",7.039081513,2018-11-07,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"37",7.04,2019-04-27,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
"38",7.04,2019-06-16,"highCO2_juvenileDGN","salmonShed","wallUDA_salmonShed"
