"","salinity","ObservationDate","treatment","location","sensortype"
"1",28.27,2018-01-08,"ambient","salmonShed","OrionStarA112"
"2",28.27,2018-01-08,"ambient","salmonShed","OrionStarA112"
"3",28.27,2018-01-08,"ambient","salmonShed","OrionStarA112"
"4",28.27,2018-01-12,"ambient","salmonShed","OrionStarA112"
"5",28.27,2018-01-12,"ambient","salmonShed","OrionStarA112"
"6",28.27,2018-01-12,"ambient","salmonShed","OrionStarA112"
"7",28.27,2018-01-12,"ambient","salmonShed","OrionStarA112"
"8",28.27,2018-01-16,"ambient","salmonShed","OrionStarA112"
"9",28.27,2018-01-16,"ambient","salmonShed","OrionStarA112"
"10",28.27,2018-01-16,"ambient","salmonShed","OrionStarA112"
"11",28.27,2018-01-16,"ambient","salmonShed","OrionStarA112"
"12",28.27,2018-02-01,"ambient","salmonShed","OrionStarA112"
"13",28.27,2018-02-01,"ambient","salmonShed","OrionStarA112"
"14",28.27,2018-02-01,"ambient","salmonShed","OrionStarA112"
"15",28.27,2018-02-01,"ambient","salmonShed","OrionStarA112"
"16",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"17",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"18",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"19",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"20",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"21",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"22",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"23",28.27,2018-08-23,"ambient","salmonShed","OrionStarA112"
"24",28.27,2018-10-02,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"25",28.27,2018-10-02,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"26",28.27,2018-10-02,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"27",28.27,2018-10-02,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"28",28.27,2018-10-02,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"29",28.27,2018-10-02,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"30",28.27,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"31",28.27,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"32",28.27,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"33",28.27,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"34",28.27,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"35",28.27,2018-10-02,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"36",28.27,2018-10-09,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"37",28.27,2018-10-09,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"38",28.27,2018-10-09,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"39",28.27,2018-10-09,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"40",28.27,2018-10-09,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"41",28.27,2018-10-09,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"42",28.27,2018-10-09,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"43",28.27,2018-10-09,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"44",28.27,2018-10-09,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"45",28.27,2018-10-09,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"46",28.27,2018-10-09,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"47",28.27,2018-10-09,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"48",28.27,2019-02-06,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"49",28.27,2019-02-06,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"50",28.27,2019-02-06,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"51",28.27,2019-02-06,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"52",28.27,2019-02-06,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"53",28.27,2019-02-06,"ambient_juvenileDGN","salmonShed","OrionStarA112"
"54",28.27,2019-02-06,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"55",28.27,2019-02-06,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"56",28.27,2019-02-06,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"57",28.27,2019-02-06,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"58",28.27,2019-02-06,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"59",28.27,2019-02-06,"highCO2_juvenileDGN","salmonShed","OrionStarA112"
"60",28.6,2019-01-18,"ambient","salmonShed","wallUDA_salmonShed"
"61",28.6,2019-02-20,"ambient","salmonShed","wallUDA_salmonShed"
"62",28.8,2019-01-03,"ambient","salmonShed","wallUDA_salmonShed"
"63",28.8,2019-01-06,"ambient","salmonShed","wallUDA_salmonShed"
