"","ObservationMonth","sensortype","sd","mean","n","se","ci"
"1","2018-08-August","OrionStarA112",0.883310456542524,29.0071428571429,14,0.236074649609785,0.46270631323518
"2","2018-09-September","OrionStarA112",0.0242535625036319,30.2766666666667,18,0.00571661950474997,0.0112045742293099
"3","2018-10-October","OrionStarA112",1.20479043820907,29.11,36,0.200798406368178,0.393564876481629
"4","2018-11-November","ATI.Q46CT.toroidal",0.345556205137588,29.9590909090909,11,0.104189116038224,0.204210667434919
"5","2018-11-November","OrionStarA112",0.429787181377709,30.3975,48,0.0620344362156677,0.121587494982709
"6","2018-12-December","ATI.Q46CT.toroidal",0.206628824258603,29.9954166666667,24,0.0421779321320664,0.0826687469788502
"7","2018-12-December","OrionStarA112",0.104853639489937,30.4166666666667,36,0.0174756065816562,0.0342521889000462
"8","2019-01-January","ATI.Q46CT.toroidal",0.329210130987531,29.33,30,0.0601052716337004,0.117806332402053
"9","2019-02-February","ATI.Q46CT.toroidal",0.25104852582487,29.3041666666667,24,0.0512450657457382,0.100440328861647
"10","2019-02-February","OrionStarA112",0.65142887138051,29.3775,48,0.0940256585623579,0.184290290782221
"11","2019-03-March","ATI.Q46CT.toroidal",0.0978840170210515,29.5379310344828,29,0.0181766056428525,0.0356261470599908
"12","2019-03-March","OrionStarA112",0,29.5,36,0,0
"13","2019-04-April","ATI.Q46CT.toroidal",0.214977637477447,29.4692307692308,26,0.0421605834032146,0.0826347434703007
"14","2019-04-April","OrionStarA112",0.150669182616069,29.3765957446809,47,0.0219773590412877,0.0430756237209238
"15","2019-05-May","ATI.Q46CT.toroidal",0.112089707663561,29.4444444444444,27,0.0215716742976478,0.0422804816233897
"16","2019-05-May","OrionStarA112",0.176901857123381,29.6256603773585,53,0.0242993388580381,0.0476267041617546
"17","2019-06-June","ATI.Q46CT.toroidal",0.31701459873948,29.6925,44,0.0477917489583604,0.0936718279583863
"18","2019-06-June","OrionStarA112",0.300701709334799,29.6830555555556,116,0.0279194528026716,0.0547221274932363
"19","2019-07-July","ATI.Q46CT.toroidal",0.268210762250535,30.0068181818182,22,0.0571827266460983,0.112078144226353
"20","2019-07-July","OrionStarA112",0.25263000847537,29.908275862069,63,0.0318283893399033,0.0623836431062105
