"","ObservationMonth","sd","mean","median","IQR","n","se","ci"
"1","2018-08-August",0.110501250290616,12.52,12.5,0.0500000000000007,46,0.0162925205004104,0.0319333401808043
"2","2018-09-September",1.81626447863727,13.0143434343434,12.7,0.5,214,0.124157283735122,0.24334827612084
"3","2018-10-October",0.211749129392424,12.3550387596899,12.3,0.200000000000001,295,0.0123285109550029,0.0241638814718057
"4","2018-11-November",0.182278119472077,11.4007919463087,11.34,0.199999999999999,898,0.00608269962981073,0.011922091274429
"5","2018-12-December",0.399108753746941,10.3468181818182,10.41,0.4,4725,0.00580617801449158,0.0113801089084035
"6","2019-01-January",0.15580524151962,9.2993869982548,9.3,0.23,4704,0.00227168655341765,0.00445250564469859
"7","2019-02-February",0.308467281283493,8.63292151162791,8.65,0.299999999999999,4272,0.00471947276002216,0.00925016660964344
"8","2019-03-March",0.263020994354997,8.64652401987852,8.62,0.33,3774,0.00428143610760215,0.00839161477090022
"9","2019-04-April",0.249262849348305,9.46170171621948,9.48,0.380000000000001,4288,0.00380653797544398,0.0074608144318702
"10","2019-05-May",0.39806142539061,10.6712626677623,10.68,0.52,3824,0.00643711328171835,0.012616742032168
"11","2019-06-June",0.383832669650639,11.0194126738794,10.96,0.399999999999999,779,0.0137522325549476,0.0269543758076974
"12","2019-07-July",0.360653402639685,12.2448051948052,12.25,0.5,201,0.0254385296396388,0.049859518093692
"13","2019-08-August",0.294401543656896,12.9257142857143,12.9,0.300000000000001,35,0.0497629434440537,0.0975353691503453
