"","x"
"1",28.27
"2",28.27
"3",28.27
"4",28.27
"5",28.27
"6",28.27
"7",28.27
"8",28.27
"9",28.27
"10",28.27
"11",28.27
"12",28.27
"13",28.27
"14",28.27
"15",28.27
"16",28.27
"17",28.27
"18",28.27
"19",28.27
"20",28.27
"21",28.27
"22",28.27
"23",28.27
"24",28.27
"25",28.27
"26",28.27
"27",28.27
"28",28.27
"29",28.27
"30",28.27
"31",28.27
"32",28.27
"33",28.27
"34",28.27
"35",28.27
"36",28.27
"37",28.27
"38",28.27
"39",28.27
"40",28.27
"41",28.27
"42",28.27
"43",28.27
"44",28.27
"45",28.27
"46",28.27
"47",28.27
"48",28.27
"49",28.27
"50",28.27
"51",28.27
"52",28.27
"53",28.27
"54",28.27
"55",28.27
"56",28.27
"57",28.27
"58",28.27
"59",28.27
"60",28.6
"61",28.6
"62",28.8
"63",28.8
"64",28.8
"65",28.8
"66",28.8
"67",28.8
"68",28.8
"69",28.8
"70",28.9
"71",28.9
"72",28.9
"73",29
"74",29
"75",29
"76",29.1
"77",29.1
"78",29.1
"79",29.1
"80",29.1
"81",29.1
"82",29.1
"83",29.1
"84",29.1
"85",29.1
"86",29.1
"87",29.1
"88",29.1
"89",29.1
"90",29.2
"91",29.2
"92",29.2
"93",29.2
"94",29.2
"95",29.2
"96",29.2
"97",29.2
"98",29.2
"99",29.2
"100",29.2
"101",29.2
"102",29.2
"103",29.2
"104",29.2
"105",29.2
"106",29.2
"107",29.2
"108",29.2
"109",29.2
"110",29.2
"111",29.2
"112",29.2
"113",29.2
"114",29.2
"115",29.2
"116",29.2
"117",29.2
"118",29.2
"119",29.2
"120",29.2
"121",29.2
"122",29.3
"123",29.3
"124",29.3
"125",29.3
"126",29.3
"127",29.3
"128",29.3
"129",29.3
"130",29.3
"131",29.3
"132",29.3
"133",29.3
"134",29.3
"135",29.3
"136",29.3
"137",29.3
"138",29.3
"139",29.3
"140",29.3
"141",29.3
"142",29.3
"143",29.3
"144",29.4
"145",29.4
"146",29.4
"147",29.4
"148",29.4
"149",29.4
"150",29.4
"151",29.4
"152",29.4
"153",29.4
"154",29.4
"155",29.4
"156",29.4
"157",29.4
"158",29.4
"159",29.4
"160",29.4
"161",29.4
"162",29.4
"163",29.4
"164",29.4
"165",29.4
"166",29.4
"167",29.4
"168",29.4
"169",29.4
"170",29.4
"171",29.4
"172",29.4
"173",29.4
"174",29.4
"175",29.4
"176",29.4
"177",29.4
"178",29.4
"179",29.4
"180",29.4
"181",29.4
"182",29.4
"183",29.4
"184",29.4
"185",29.4
"186",29.4
"187",29.5
"188",29.5
"189",29.5
"190",29.5
"191",29.5
"192",29.5
"193",29.5
"194",29.5
"195",29.5
"196",29.5
"197",29.5
"198",29.5
"199",29.5
"200",29.5
"201",29.5
"202",29.5
"203",29.5
"204",29.5
"205",29.5
"206",29.5
"207",29.5
"208",29.5
"209",29.5
"210",29.5
"211",29.5
"212",29.5
"213",29.5
"214",29.5
"215",29.5
"216",29.5
"217",29.5
"218",29.5
"219",29.5
"220",29.5
"221",29.5
"222",29.5
"223",29.5
"224",29.5
"225",29.5
"226",29.5
"227",29.5
"228",29.5
"229",29.5
"230",29.5
"231",29.5
"232",29.5
"233",29.5
"234",29.5
"235",29.5
"236",29.5
"237",29.5
"238",29.5
"239",29.5
"240",29.5
"241",29.5
"242",29.5
"243",29.5
"244",29.5
"245",29.5
"246",29.5
"247",29.5
"248",29.5
"249",29.5
"250",29.5
"251",29.5
"252",29.5
"253",29.5
"254",29.5
"255",29.5
"256",29.5
"257",29.5
"258",29.5
"259",29.5
"260",29.5
"261",29.5
"262",29.5
"263",29.5
"264",29.5
"265",29.5
"266",29.5
"267",29.5
"268",29.5
"269",29.5
"270",29.5
"271",29.5
"272",29.5
"273",29.5
"274",29.5
"275",29.5
"276",29.5
"277",29.5
"278",29.5
"279",29.5
"280",29.5
"281",29.5
"282",29.5
"283",29.5
"284",29.5
"285",29.6
"286",29.6
"287",29.6
"288",29.6
"289",29.6
"290",29.6
"291",29.6
"292",29.6
"293",29.6
"294",29.6
"295",29.6
"296",29.6
"297",29.6
"298",29.6
"299",29.6
"300",29.6
"301",29.6
"302",29.6
"303",29.6
"304",29.6
"305",29.6
"306",29.6
"307",29.6
"308",29.6
"309",29.6
"310",29.6
"311",29.6
"312",29.6
"313",29.6
"314",29.6
"315",29.6
"316",29.6
"317",29.6
"318",29.6
"319",29.6
"320",29.6
"321",29.6
"322",29.6
"323",29.6
"324",29.6
"325",29.6
"326",29.6
"327",29.6
"328",29.6
"329",29.6
"330",29.6
"331",29.6
"332",29.6
"333",29.6
"334",29.6
"335",29.6
"336",29.6
"337",29.6
"338",29.6
"339",29.6
"340",29.6
"341",29.6
