,salinity,ObservationDate,treatment,location,sensortype
1,28.27,1/8/18,ambient,salmonShed,OrionStarA112
2,28.27,1/8/18,ambient,salmonShed,OrionStarA112
3,28.27,1/8/18,ambient,salmonShed,OrionStarA112
4,28.27,1/12/18,ambient,salmonShed,OrionStarA112
5,28.27,1/12/18,ambient,salmonShed,OrionStarA112
6,28.27,1/12/18,ambient,salmonShed,OrionStarA112
7,28.27,1/12/18,ambient,salmonShed,OrionStarA112
8,28.27,1/16/18,ambient,salmonShed,OrionStarA112
9,28.27,1/16/18,ambient,salmonShed,OrionStarA112
10,28.27,1/16/18,ambient,salmonShed,OrionStarA112
11,28.27,1/16/18,ambient,salmonShed,OrionStarA112
12,28.27,2/1/18,ambient,salmonShed,OrionStarA112
13,28.27,2/1/18,ambient,salmonShed,OrionStarA112
14,28.27,2/1/18,ambient,salmonShed,OrionStarA112
15,28.27,2/1/18,ambient,salmonShed,OrionStarA112
16,28.27,8/23/18,ambient,salmonShed,OrionStarA112
17,28.27,8/23/18,ambient,salmonShed,OrionStarA112
18,28.27,8/23/18,ambient,salmonShed,OrionStarA112
19,28.27,8/23/18,ambient,salmonShed,OrionStarA112
20,28.27,8/23/18,ambient,salmonShed,OrionStarA112
21,28.27,8/23/18,ambient,salmonShed,OrionStarA112
22,28.27,8/23/18,ambient,salmonShed,OrionStarA112
23,28.27,8/23/18,ambient,salmonShed,OrionStarA112
24,28.27,10/2/18,ambient,salmonShed,OrionStarA112
25,28.27,10/2/18,ambient,salmonShed,OrionStarA112
26,28.27,10/2/18,ambient,salmonShed,OrionStarA112
27,28.27,10/2/18,ambient,salmonShed,OrionStarA112
28,28.27,10/2/18,ambient,salmonShed,OrionStarA112
29,28.27,10/2/18,ambient,salmonShed,OrionStarA112
30,28.27,10/2/18,highCO2,salmonShed,OrionStarA112
31,28.27,10/2/18,highCO2,salmonShed,OrionStarA112
32,28.27,10/2/18,highCO2,salmonShed,OrionStarA112
33,28.27,10/2/18,highCO2,salmonShed,OrionStarA112
34,28.27,10/2/18,highCO2,salmonShed,OrionStarA112
35,28.27,10/2/18,highCO2,salmonShed,OrionStarA112
36,28.27,10/9/18,ambient,salmonShed,OrionStarA112
37,28.27,10/9/18,ambient,salmonShed,OrionStarA112
38,28.27,10/9/18,ambient,salmonShed,OrionStarA112
39,28.27,10/9/18,ambient,salmonShed,OrionStarA112
40,28.27,10/9/18,ambient,salmonShed,OrionStarA112
41,28.27,10/9/18,ambient,salmonShed,OrionStarA112
42,28.27,10/9/18,highCO2,salmonShed,OrionStarA112
43,28.27,10/9/18,highCO2,salmonShed,OrionStarA112
44,28.27,10/9/18,highCO2,salmonShed,OrionStarA112
45,28.27,10/9/18,highCO2,salmonShed,OrionStarA112
46,28.27,10/9/18,highCO2,salmonShed,OrionStarA112
47,28.27,10/9/18,highCO2,salmonShed,OrionStarA112
