experiment,unit,unit_number,date,pH,temp
Juvenile,Tank,2,08/28/18,7.21,12.4
Juvenile,Tank,2,08/29/18,7.21,12.5
Juvenile,Tank,2,08/30/18,7.21,12.5
Juvenile,Tank,2,08/31/18,7.21,12.7
Juvenile,Tank,2,09/04/18,7.21,12.6
Juvenile,Tank,2,09/05/18,7.21,12.7
Juvenile,Tank,2,09/06/18,7.21,12.7
Juvenile,Tank,2,09/07/18,7.21,12.8
Juvenile,Tank,2,09/10/18,7.22,13.3
Juvenile,Tank,2,09/11/18,7.22,13.5
Juvenile,Tank,2,09/12/18,7.22,13.7
Juvenile,Tank,2,09/13/18,7.21,13.4
Juvenile,Tank,2,09/14/18,7.21,13
Juvenile,Tank,2,09/15/18,7.21,12.8
Juvenile,Tank,2,09/18/18,7.2,12.4
Juvenile,Tank,2,09/19/18,7.2,12.3
Juvenile,Tank,2,09/20/18,7.2,12.5
Juvenile,Tank,2,09/21/18,7.21,12.7
Juvenile,Tank,2,09/23/18,7.21,13
Juvenile,Tank,2,09/24/18,7.2,12.7
Juvenile,Tank,2,09/25/18,7.21,12.6
Juvenile,Tank,2,09/26/18,7.22,12.5
Juvenile,Tank,2,09/27/18,7.2,12.6
Juvenile,Tank,2,09/29/18,7.21,12.7
Juvenile,Tank,2,10/01/18,7.17,12.9
Juvenile,Tank,2,10/02/18,7.15,12.9
Juvenile,Tank,2,10/03/18,7.18,12.9
Juvenile,Tank,2,10/04/18,7.15,12.6
Juvenile,Tank,2,10/05/18,7.13,12.3
Juvenile,Tank,2,10/06/18,7.23,12.4
Juvenile,Tank,2,10/08/18,7.16,12.5
Juvenile,Tank,2,10/09/18,7.38,12.4
Juvenile,Tank,2,10/10/18,7.19,12.4
Juvenile,Tank,2,10/11/18,7.2,12.4
Juvenile,Tank,2,10/12/18,7.2,12.4
Juvenile,Tank,2,10/13/18,7.17,12.3
Juvenile,Tank,2,10/15/18,7.18,12.2
Juvenile,Tank,2,10/16/18,7.17,12.3
Juvenile,Tank,2,10/17/18,7.21,12.2
Juvenile,Tank,2,10/18/18,7.21,12.3
Juvenile,Tank,2,10/21/18,7.2,12.3
Juvenile,Tank,2,10/22/18,7.2,12.3
Juvenile,Tank,2,10/23/18,7.21,12.2
Juvenile,Tank,2,10/24/18,7.2,12.4
Juvenile,Tank,2,10/25/18,7.21,12.5
Juvenile,Tank,2,10/26/18,7.21,12.4
Juvenile,Tank,2,10/27/18,7.21,12.4
Juvenile,Tank,2,10/28/18,7.21,12.3
Juvenile,Tank,2,10/29/18,7.21,12.2
Juvenile,Tank,2,10/30/18,7.21,12.2
Juvenile,Tank,2,10/31/18,7.22,12.2
Juvenile,Tank,2,11/01/18,7.21,12.3
Juvenile,Tank,2,11/02/18,7.78,12.3
Juvenile,Tank,2,11/03/18,7.22,12.2
Juvenile,Tank,2,11/04/18,7.19,12.1
Juvenile,Tank,2,11/05/18,7.25,12
Juvenile,Tank,2,11/06/18,7.17,12
Juvenile,Tank,2,11/07/18,7.16,11.8
Juvenile,Tank,2,11/09/18,7.21,11.8
Juvenile,Tank,2,11/11/18,7.19,11.6
Juvenile,Tank,2,11/12/18,7.21,11.3
Juvenile,Tank,2,11/14/18,7.21,11.2
Juvenile,Tank,2,11/15/18,7.21,11.4
Juvenile,Tank,2,11/16/18,7.22,11.4
Juvenile,Tank,2,11/17/18,7.21,11.2
Juvenile,Tank,2,11/18/18,7.21,11.1
Juvenile,Tank,2,11/20/18,7.2,11.3
Juvenile,Tank,2,11/21/18,7.21,11.4
Juvenile,Tank,2,11/22/18,7.22,11.4
