"","ObservationMonth","treatment","mean_OceanOptics1.6.7","mean_UDA2182durfet","sd_OceanOptics1.6.7","sd_UDA2182durfet","se_OceanOptics1.6.7","se_UDA2182durfet","pretty"
"1","2018-08-August","ambient",7.68251991133333,7.64875,0.0398710440061721,0.170246669780729,0.0230195579898349,0.0601912873381901,"7.68  ( 0.02 )"
"2","2018-08-August","highCO2",7.23263379133333,7.20666666666667,0.0356606311230915,0.0107308673997732,0.0205886749783888,0.00309773459094861,"7.23  ( 0.02 )"
"3","2018-09-September","ambient",7.65323527533333,7.72078947368421,0.0816061390723516,0.0468108083469392,0.0272020463574505,0.00759371585432024,"7.65  ( 0.03 )"
"4","2018-09-September","highCO2",7.14414359244444,7.21186440677966,0.0914257067534733,0.0288560384089581,0.0304752355844911,0.00375673621568308,"7.14  ( 0.03 )"
"5","2018-10-October","ambient",7.69831666844444,7.73816326530612,0.020964284226759,0.0823527339504624,0.00494132917982116,0.0117646762786375,"7.7  ( 0 )"
"6","2018-10-October","highCO2",7.16394859138889,7.2079012345679,0.0635304211083424,0.0483144918575864,0.0149742638591153,0.00536827687306516,"7.16  ( 0.01 )"
"7","2018-11-November","ambient",7.525731536625,7.8062962962963,0.350275772621632,0.138179040716917,0.0714997426818451,0.0265925687847587,"7.53  ( 0.07 )"
"8","2018-11-November","highCO2",7.1703208745,7.2175641025641,0.0931869266832742,0.0699756153712617,0.019021701756014,0.00792317822350151,"7.17  ( 0.02 )"
"9","2018-12-December","ambient",7.66196587177778,7.79103448275862,0.196131252906792,0.101992465673633,0.0462285796443354,0.0189395254047766,"7.66  ( 0.05 )"
"10","2018-12-December","highCO2",7.22431934316667,7.20083333333333,0.154384247641665,0.0385960961048932,0.0363887161386015,0.0042111793316777,"7.22  ( 0.04 )"
"11","2019-01-January","ambient",NA,7.80333333333333,NA,0.012954385047312,NA,0.00236513630300681,"NA  ( NA )"
"12","2019-01-January","highCO2",NA,7.19333333333333,NA,0.0325679928350424,NA,0.00343296787262594,"NA  ( NA )"
"13","2019-02-February","ambient",7.75430338404167,7.8225,0.0184376390184794,0.0118871505343412,0.00376356730474201,0.00242645444206569,"7.75  ( 0 )"
"14","2019-02-February","highCO2",7.18347326720833,7.22541666666667,0.077732268000107,0.118653685922935,0.0158670327624613,0.0139834709881477,"7.18  ( 0.02 )"
"15","2019-03-March","ambient",7.78264051438889,7.86379310344828,0.0387665949015743,0.0678977063100625,0.00913737404613834,0.0126082875346932,"7.78  ( 0.01 )"
"16","2019-03-March","highCO2",7.12637028011111,7.17896551724138,0.112274772439684,0.0603484934159767,0.0264634176494257,0.00647003762498448,"7.13  ( 0.03 )"
"17","2019-04-April","ambient",7.79019127195652,7.98615384615385,0.0530375960419023,0.173668118503701,0.0110591032616731,0.0340591201976659,"7.79  ( 0.01 )"
"18","2019-04-April","highCO2",7.14482452341667,7.1948717948718,0.0720612127865028,0.0694831305275276,0.0147094334644212,0.00786741529567908,"7.14  ( 0.01 )"
"19","2019-05-May","ambient",7.81207466740741,8.02666666666667,0.054966594084904,0.151049965091102,0.0105783259637854,0.0275778243969214,"7.81  ( 0.01 )"
"20","2019-05-May","highCO2",7.153724822,7.18588888888889,0.104360739634214,0.0900673211940167,0.0204668249172244,0.00949392925743496,"7.15  ( 0.02 )"
"21","2019-06-June","ambient",7.84742646164706,8.00375,0.0183873909975189,0.172269064067762,0.00445959736837069,0.0351642754527367,"7.85  ( 0 )"
"22","2019-06-June","highCO2",7.23000877389474,7.20208333333333,0.169074080460004,0.0649363176667162,0.0387882542472222,0.00765281842790314,"7.23  ( 0.04 )"
"23","2019-07-July","ambient",7.8063273665,7.91625,0.0112875155795718,0.205561078861873,0.0046081089389444,0.0726768164056265,"7.81  ( 0 )"
"24","2019-07-July","highCO2",7.2036123392,7.22083333333333,0.15938720241693,0.178445379943523,0.0712801238695548,0.036425010651559,"7.2  ( 0.07 )"
