"","ObservationMonth","OrionStarA112: mean","SENSOREXtorodial: mean","OrionStarA112: sd","SENSOREXtorodial: sd","OrionStarA112: se","SENSOREXtorodial: se"
"1","2018-08-August",29.0071428571429,NA,0.883310456542524,NA,0.236074649609785,NA
"2","2018-09-September",30.2766666666667,NA,0.0242535625036319,NA,0.00571661950474997,NA
"3","2018-10-October",29.11,NA,1.20479043820907,NA,0.200798406368178,NA
"4","2018-11-November",30.3975,29.9590909090909,0.429787181377709,0.345556205137588,0.0620344362156677,0.104189116038224
"5","2018-12-December",30.4166666666667,29.9954166666667,0.104853639489937,0.206628824258603,0.0174756065816562,0.0421779321320664
"6","2019-01-January",NA,29.33,NA,0.329210130987531,NA,0.0601052716337004
"7","2019-02-February",29.3775,29.3041666666667,0.65142887138051,0.25104852582487,0.0940256585623579,0.0512450657457382
"8","2019-03-March",29.5,29.5379310344828,0,0.0978840170210515,0,0.0181766056428525
"9","2019-04-April",29.3765957446809,29.4692307692308,0.150669182616069,0.214977637477447,0.0219773590412877,0.0421605834032146
"10","2019-05-May",29.6256603773585,29.4444444444444,0.176901857123381,0.112089707663561,0.0242993388580381,0.0215716742976478
"11","2019-06-June",29.6830555555556,29.6925,0.300701709334799,0.31701459873948,0.0279194528026716,0.0477917489583604
"12","2019-07-July",29.908275862069,30.0068181818182,0.25263000847537,0.268210762250535,0.0318283893399033,0.0571827266460983
