"","ObservationMonth","sensortype","sd","mean","median","IQR","n","se","ci"
"1","2018-08-August","OceanOptics1.6.7",NA,NA,NA,NA,6,NA,NA
"2","2018-08-August","OrionStarA112",NA,NA,NA,NA,14,NA,NA
"3","2018-08-August","UDA2182",0.110501250290616,12.52,12.5,0.0500000000000007,20,0.0247088307248537,0.0484293082207132
"4","2018-08-August","UDA2182durfet",NA,NA,NA,NA,20,NA,NA
"5","2018-09-September","OceanOptics1.6.7",NA,NA,NA,NA,18,NA,NA
"6","2018-09-September","OrionStarA112",NA,NA,NA,NA,18,NA,NA
"7","2018-09-September","UDA2182",1.81626447863727,13.0143434343434,12.7,0.5,99,0.182541448354251,0.357781238774333
"8","2018-09-September","UDA2182durfet",NA,NA,NA,NA,97,NA,NA
"9","2018-10-October","OceanOptics1.6.7",NA,NA,NA,NA,36,NA,NA
"10","2018-10-October","OrionStarA112",NA,NA,NA,NA,36,NA,NA
"11","2018-10-October","UDA2182",0.211749129392424,12.3550387596899,12.3,0.200000000000001,129,0.0186434712887222,0.0365412037258955
"12","2018-10-October","UDA2182durfet",NA,NA,NA,NA,130,NA,NA
"13","2018-11-November","20449374",0.119686195910053,11.379391575663,11.34,0.17,641,0.00472732051684518,0.00926554821301655
"14","2018-11-November","OceanOptics1.6.7",NA,NA,NA,NA,48,NA,NA
"15","2018-11-November","OrionStarA112",NA,NA,NA,NA,48,NA,NA
"16","2018-11-November","SENSOREXtorodial",NA,NA,NA,NA,11,NA,NA
"17","2018-11-November","UDA2182",0.361346539878275,11.5326923076923,11.4,0.5,104,0.0354329434232415,0.0694485691095532
"18","2018-11-November","UDA2182durfet",NA,NA,NA,NA,105,NA,NA
"19","2018-12-December","20449374",0.396547326405278,10.3477688172043,10.41,0.4,4464,0.00593516686057751,0.0116329270467319
"20","2018-12-December","OceanOptics1.6.7",NA,NA,NA,NA,36,NA,NA
"21","2018-12-December","OrionStarA112",NA,NA,NA,NA,36,NA,NA
"22","2018-12-December","SENSOREXtorodial",NA,NA,NA,NA,24,NA,NA
"23","2018-12-December","UDA2182",0.491101642922138,10.3089285714286,10.4,0.5,112,0.0464047434152579,0.0909532970939056
"24","2018-12-December","UDA2182durfet",NA,NA,NA,NA,113,NA,NA
"25","2019-01-January","20449374",0.154996715728791,9.30118503584229,9.3,0.23,4464,0.00231985266180231,0.00454691121713252
"26","2019-01-January","SENSOREXtorodial",NA,NA,NA,NA,30,NA,NA
