"","ObservationMonth","UDA2182: mean","20449374: mean","OrionStarA112: mean","UDA2182: sd","20449374: sd","OrionStarA112: sd","UDA2182: se","20449374: se","OrionStarA112: se"
"1","2018-08-August",12.52,NA,NA,0.110501250290616,NA,NA,0.0247088307248537,NA,NA
"2","2018-09-September",13.0143434343434,NA,NA,1.81626447863727,NA,NA,0.182541448354251,NA,NA
"3","2018-10-October",12.3550387596899,NA,NA,0.211749129392424,NA,NA,0.0186434712887222,NA,NA
"4","2018-11-November",11.5326923076923,11.379391575663,NA,0.361346539878275,0.119686195910053,NA,0.0354329434232415,0.00472732051684518,NA
"5","2018-12-December",10.3089285714286,10.3477688172043,NA,0.491101642922138,0.396547326405278,NA,0.0464047434152579,0.00593516686057751,NA
"6","2019-01-January",9.2325,9.30118503584229,NA,0.171087721369365,0.154996715728791,NA,0.0156181007176933,0.00231985266180231,NA
"7","2019-02-February",8.55,8.63489583333333,NA,0.332454983102184,0.307645388399893,NA,0.0339310446269148,0.00484495946251186,NA
"8","2019-03-March",8.47155172413793,8.65231317741015,NA,0.321357456258064,0.25891022581254,NA,0.0298372907577792,0.00437263521062494,NA
"9","2019-04-April",9.21057692307692,9.4681775353335,NA,0.319258324120982,0.243848781817796,NA,0.0313058543186503,0.00383978121257993,NA
"10","2019-05-May",10.4241666666667,10.6796601529312,NA,0.645605159837624,0.384242528530972,NA,0.0589354182141325,0.00646631076776439,NA
"11","2019-06-June",11.23125,10.900315581854,11.9295454545455,0.380158554179423,0.246822292519921,0.249258943955175,0.0387997699622408,0.0109617628483367,0.0231431119457055
"12","2019-07-July",11.9625,NA,12.2088235294118,0.340540367556453,NA,0.331541529972124,0.0601996007917317,NA,0.0417703065521956
