ObservationMonth,treatment,pHmeasured-OceanOptics1.6.7,pHrecorded-UDA2182durfet,Salinity-OrionStarA112,Salinity-ATI.Q46CT.toroidal,Temperature-UDA2182,Temperature-20449374
2018-08-August,ambient,7.68 (7.64-7.73),7.65 (7.53-7.77),29.01 (28.54-29.47),NA,NA,NA
2018-08-August,highCO2,7.23 (7.19-7.27),7.21 (7.2-7.21),29.01 (28.54-29.47),NA,NA,NA
2018-08-August,NA,NA,NA,NA,NA,12.52 (12.47-12.57),NA
2018-09-September,ambient,7.65 (7.6-7.71),7.72 (7.71-7.74),30.28 (30.27-30.29),NA,NA,NA
2018-09-September,highCO2,7.14 (7.08-7.2),7.21 (7.2-7.22),30.28 (30.27-30.29),NA,NA,NA
2018-09-September,NA,NA,NA,NA,NA,13.01 (12.66-13.37),NA
2018-10-October,ambient,7.7 (7.69-7.71),7.74 (7.72-7.76),29.11 (28.72-29.5),NA,NA,NA
2018-10-October,highCO2,7.16 (7.13-7.19),7.21 (7.2-7.22),29.11 (28.72-29.5),NA,NA,NA
2018-10-October,NA,NA,NA,NA,NA,12.36 (12.32-12.39),NA
2018-11-November,ambient,7.53 (7.39-7.67),7.81 (7.75-7.86),30.4 (30.28-30.52),29.96 (29.75-30.16),NA,NA
2018-11-November,highCO2,7.17 (7.13-7.21),7.22 (7.2-7.23),30.4 (30.28-30.52),29.96 (29.75-30.16),NA,NA
2018-11-November,NA,NA,NA,NA,NA,11.53 (11.46-11.6),11.38 (11.37-11.39)
2018-12-December,ambient,7.66 (7.57-7.75),7.79 (7.75-7.83),30.42 (30.38-30.45),30 (29.91-30.08),NA,NA
2018-12-December,highCO2,7.22 (7.15-7.3),7.2 (7.19-7.21),30.42 (30.38-30.45),30 (29.91-30.08),NA,NA
2018-12-December,NA,NA,NA,NA,NA,10.31 (10.22-10.4),10.35 (10.34-10.36)
2019-01-January,ambient,NA,7.8 (7.8-7.81),NA,29.33 (29.21-29.45),9.23 (9.2-9.26),9.3 (9.3-9.31)
2019-01-January,highCO2,NA,7.19 (7.19-7.2),NA,29.33 (29.21-29.45),9.23 (9.2-9.26),9.3 (9.3-9.31)
2019-02-February,ambient,7.75 (7.75-7.76),7.82 (7.82-7.83),29.38 (29.19-29.56),29.3 (29.2-29.4),NA,NA
2019-02-February,highCO2,7.18 (7.15-7.21),7.23 (7.2-7.25),29.38 (29.19-29.56),29.3 (29.2-29.4),NA,NA
2019-02-February,NA,NA,NA,NA,NA,8.55 (8.48-8.62),8.63 (8.63-8.64)
2019-03-March,ambient,7.78 (7.76-7.8),7.86 (7.84-7.89),29.5 (29.5-29.5),29.54 (29.5-29.57),NA,NA
2019-03-March,highCO2,7.13 (7.07-7.18),7.18 (7.17-7.19),29.5 (29.5-29.5),29.54 (29.5-29.57),NA,NA
2019-03-March,NA,NA,NA,NA,NA,8.47 (8.41-8.53),8.65 (8.64-8.66)
2019-04-April,ambient,7.79 (7.77-7.81),7.99 (7.92-8.05),29.38 (29.33-29.42),29.47 (29.39-29.55),NA,NA
2019-04-April,highCO2,7.14 (7.12-7.17),7.19 (7.18-7.21),29.38 (29.33-29.42),29.47 (29.39-29.55),NA,NA
2019-04-April,NA,NA,NA,NA,NA,9.21 (9.15-9.27),9.47 (9.46-9.48)
2019-05-May,ambient,7.81 (7.79-7.83),8.03 (7.97-8.08),29.63 (29.58-29.67),29.44 (29.4-29.49),NA,NA
2019-05-May,highCO2,7.15 (7.11-7.19),7.19 (7.17-7.2),29.63 (29.58-29.67),29.44 (29.4-29.49),NA,NA
2019-05-May,NA,NA,NA,NA,NA,10.42 (10.31-10.54),10.68 (10.67-10.69)
2019-06-June,NA,NA,NA,11.93 (11.88-11.97),NA,11.23 (11.16-11.31),10.9 (10.88-10.92)
2019-06-June,ambient,7.85 (7.84-7.86),8 (7.93-8.07),29.68 (29.63-29.74),29.69 (29.6-29.79),NA,NA
2019-06-June,highCO2,7.23 (7.15-7.31),7.2 (7.19-7.22),29.68 (29.63-29.74),29.69 (29.6-29.79),NA,NA
2019-07-July,NA,NA,NA,12.21 (12.13-12.29),NA,11.96 (11.84-12.08),NA
2019-07-July,ambient,7.81 (7.8-7.82),7.92 (7.77-8.06),29.91 (29.85-29.97),30.01 (29.89-30.12),NA,NA
2019-07-July,highCO2,7.2 (7.06-7.34),7.22 (7.15-7.29),29.91 (29.85-29.97),30.01 (29.89-30.12),NA,NA
