"","experiment","unit","unit_number","date","pH","temp"
"1","Juvenile","Tank",6,"08/28/18","7.21","12.4"
"2","Juvenile","Tank",6,"08/29/18","7.2","12.5"
"3","Juvenile","Tank",6,"08/30/18","7.2","12.5"
"4","Juvenile","Tank",6,"08/31/18","7.18","12.7"
"5","Juvenile","Tank",6,"09/04/18","7.22","12.6"
"6","Juvenile","Tank",6,"09/05/18","7.18","12.7"
"7","Juvenile","Tank",6,"09/06/18","7.23","12.7"
"8","Juvenile","Tank",6,"09/07/18","7.2","12.8"
"9","Juvenile","Tank",6,"09/10/18","7.4","13.3"
"10","Juvenile","Tank",6,"09/11/18","7.18","13.4"
"11","Juvenile","Tank",6,"09/12/18","7.2","13.6"
"12","Juvenile","Tank",6,"09/13/18","7.2","13.4"
"13","Juvenile","Tank",6,"09/14/18","7.26","13"
"14","Juvenile","Tank",6,"09/15/18","7.18","12.7"
"15","Juvenile","Tank",6,"09/18/18","7.19","12.3"
"16","Juvenile","Tank",6,"09/19/18","7.22","12.3"
"17","Juvenile","Tank",6,"09/20/18","7.18","12.4"
"18","Juvenile","Tank",6,"09/21/18","7.22","12.7"
"19","Juvenile","Tank",6,"09/23/18","7.2","13"
"20","Juvenile","Tank",6,"09/24/18","7.21","12.6"
"21","Juvenile","Tank",6,"09/25/18","7.21","12.6"
"22","Juvenile","Tank",6,"09/26/18","7.19","12.5"
"23","Juvenile","Tank",6,"09/27/18","7.18","12.6"
"24","Juvenile","Tank",6,"09/29/18","7.21","12.7"
"25","Juvenile","Tank",6,"10/01/18","7.18","12.9"
"26","Juvenile","Tank",6,"10/02/18","7.19","12.9"
"27","Juvenile","Tank",6,"10/03/18","7.21","12.9"
"28","Juvenile","Tank",6,"10/04/18","7.2","12.6"
"29","Juvenile","Tank",6,"10/05/18","7.18","12.3"
"30","Juvenile","Tank",6,"10/06/18","7.19","12.4"
"31","Juvenile","Tank",6,"10/08/18","7.19","12.5"
"32","Juvenile","Tank",6,"10/09/18","7.47","12.4"
"33","Juvenile","Tank",6,"10/10/18","7.19","12.4"
"34","Juvenile","Tank",6,"10/11/18","7.18","12.4"
"35","Juvenile","Tank",6,"10/12/18","7.22","12.4"
"36","Juvenile","Tank",6,"10/13/18","7.18","12.3"
"37","Juvenile","Tank",6,"10/15/18","7.24","12.2"
"38","Juvenile","Tank",6,"10/16/18","7.24","12.3"
"39","Juvenile","Tank",6,"10/17/18","7.18","12.2"
"40","Juvenile","Tank",6,"10/18/18","7.17","12.3"
"41","Juvenile","Tank",6,"10/21/18","7.23","12.3"
"42","Juvenile","Tank",6,"10/22/18","7.16","12.3"
"43","Juvenile","Tank",6,"10/23/18","7.17","12.2"
"44","Juvenile","Tank",6,"10/24/18","7.2","12.4"
"45","Juvenile","Tank",6,"10/25/18","7.18","12.4"
"46","Juvenile","Tank",6,"10/26/18","7.22","12.4"
"47","Juvenile","Tank",6,"10/27/18","7.21","12.4"
"48","Juvenile","Tank",6,"10/28/18","7.22","12.3"
"49","Juvenile","Tank",6,"10/29/18","7.21","12.2"
"50","Juvenile","Tank",6,"10/30/18","7.21","12.2"
"51","Juvenile","Tank",6,"10/31/18","7.2","12.1"
"52","Juvenile","Tank",6,"11/01/18","7.2","12.3"
"53","Juvenile","Tank",6,"11/02/18","7.2","12.3"
"54","Juvenile","Tank",6,"11/03/18","7.21","12.1"
"55","Juvenile","Tank",6,"11/04/18","7.17","12.1"
"56","Juvenile","Tank",6,"11/05/18","7.25","12"
"57","Juvenile","Tank",6,"11/06/18","7.18","12"
"58","Juvenile","Tank",6,"11/07/18","7.21","11.8"
"59","Juvenile","Tank",6,"11/09/18","7.21","11.7"
"60","Juvenile","Tank",6,"11/11/18","7.21","11.5"
"61","Juvenile","Tank",6,"11/12/18","7.23","11.3"
"62","Juvenile","Tank",6,"11/14/18","7.24","11.3"
"63","Juvenile","Tank",6,"11/15/18","7.21","11.4"
"64","Juvenile","Tank",6,"11/16/18","7.24","11.4"
"65","Juvenile","Tank",6,"11/17/18","7.23","11.2"
"66","Juvenile","Tank",6,"11/18/18","7.25","11.1"
"67","Juvenile","Tank",6,"11/20/18","7.3","11.2"
"68","Juvenile","Tank",6,"11/21/18","7.17","11.4"
"69","Juvenile","Tank",6,"11/22/18","7.23","11.3"
"70","Juvenile","Tank",6,"11/23/18","7.15","11.3"
"71","Juvenile","Tank",6,"11/24/18","7.16","11.3"
"72","Juvenile","Tank",6,"11/25/18","7.17","11.3"
"73","Juvenile","Tank",6,"11/26/18","7.14","11.6"
"74","Juvenile","Tank",6,"11/27/18","7.22","11.5"
"75","Juvenile","Tank",6,"11/28/18","7.17","11.3"
"76","Juvenile","Tank",6,"11/29/18","7.24","11.3"
"77","Juvenile","Tank",6,"11/30/18","7.21","11.4"
"78","Juvenile","Tank",6,"12/01/18","7.19","11.2"
"79","Juvenile","Tank",6,"12/02/18","7.24","11.2"
"80","Juvenile","Tank",6,"12/03/18","7.25","10.9"
"81","Juvenile","Tank",6,"12/04/18","7.13","10.7"
"82","Juvenile","Tank",6,"12/05/18","7.25","10.6"
"83","Juvenile","Tank",6,"12/06/18","7.2","10.7"
"84","Juvenile","Tank",6,"12/08/18","7.23","10.5"
"85","Juvenile","Tank",6,"12/09/18","7.18","10.3"
"86","Juvenile","Tank",6,"12/10/18","7.27","10.4"
"87","Juvenile","Tank",6,"12/11/18","7.17","10.2"
