"","salinity","ObservationDate","treatment","location","sensortype"
"1",0.2587,2019-02-22 13:01:00,"ambient","salmonShed","20449374"
"2",1.1684,2019-02-22 12:51:00,"ambient","salmonShed","20449374"
"3",1.4977,2019-06-04 12:21:00,"ambient","salmonShed","20449374"
"4",24.8398,2019-04-17 21:31:00,"ambient","salmonShed","20449374"
"5",24.841,2019-04-17 21:21:00,"ambient","salmonShed","20449374"
"6",24.8464,2019-04-17 21:11:00,"ambient","salmonShed","20449374"
"7",24.8467,2019-04-17 21:41:00,"ambient","salmonShed","20449374"
"8",24.8537,2019-05-30 08:41:00,"ambient","salmonShed","20449374"
"9",24.8609,2019-05-30 09:31:00,"ambient","salmonShed","20449374"
"10",24.8664,2019-05-30 09:01:00,"ambient","salmonShed","20449374"
"11",24.868,2019-05-29 18:41:00,"ambient","salmonShed","20449374"
"12",24.8692,2019-04-10 03:31:00,"ambient","salmonShed","20449374"
"13",24.8697,2019-04-17 21:51:00,"ambient","salmonShed","20449374"
"14",24.8704,2019-04-10 03:41:00,"ambient","salmonShed","20449374"
"15",24.8718,2019-05-29 19:31:00,"ambient","salmonShed","20449374"
"16",24.8724,2019-05-29 19:11:00,"ambient","salmonShed","20449374"
"17",24.8757,2019-05-29 18:51:00,"ambient","salmonShed","20449374"
"18",24.8774,2019-05-29 17:41:00,"ambient","salmonShed","20449374"
"19",24.8836,2019-05-29 18:31:00,"ambient","salmonShed","20449374"
"20",24.8847,2019-05-30 08:51:00,"ambient","salmonShed","20449374"
"21",24.8853,2019-05-30 09:11:00,"ambient","salmonShed","20449374"
"22",24.8866,2019-05-30 08:21:00,"ambient","salmonShed","20449374"
"23",24.8874,2019-05-29 19:21:00,"ambient","salmonShed","20449374"
"24",24.888,2019-05-29 19:01:00,"ambient","salmonShed","20449374"
"25",24.8903,2019-05-29 18:21:00,"ambient","salmonShed","20449374"
"26",24.8908,2019-04-17 20:51:00,"ambient","salmonShed","20449374"
"27",24.891,2019-04-10 03:21:00,"ambient","salmonShed","20449374"
"28",24.8919,2019-05-30 09:21:00,"ambient","salmonShed","20449374"
"29",24.8957,2019-05-29 17:51:00,"ambient","salmonShed","20449374"
"30",24.8958,2019-05-29 18:11:00,"ambient","salmonShed","20449374"
"31",24.8971,2019-05-30 08:31:00,"ambient","salmonShed","20449374"
"32",24.8976,2019-05-30 09:41:00,"ambient","salmonShed","20449374"
"33",24.8992,2019-05-30 08:01:00,"ambient","salmonShed","20449374"
"34",24.9049,2019-05-16 06:11:00,"ambient","salmonShed","20449374"
"35",24.9052,2019-05-29 17:21:00,"ambient","salmonShed","20449374"
"36",24.9074,2019-05-29 19:41:00,"ambient","salmonShed","20449374"
"37",24.9088,2019-04-09 15:31:00,"ambient","salmonShed","20449374"
"38",24.9097,2019-04-17 21:01:00,"ambient","salmonShed","20449374"
"39",24.9104,2019-05-30 09:51:00,"ambient","salmonShed","20449374"
"40",24.9108,2019-05-15 08:41:00,"ambient","salmonShed","20449374"
"41",24.911,2019-05-15 08:51:00,"ambient","salmonShed","20449374"
"42",24.9113,2019-05-29 18:01:00,"ambient","salmonShed","20449374"
"43",24.9151,2019-05-30 08:11:00,"ambient","salmonShed","20449374"
"44",24.9157,2019-05-29 17:31:00,"ambient","salmonShed","20449374"
"45",24.9171,2019-04-17 22:01:00,"ambient","salmonShed","20449374"
"46",24.9174,2019-05-29 19:51:00,"ambient","salmonShed","20449374"
"47",24.9177,2019-04-17 20:41:00,"ambient","salmonShed","20449374"
"48",24.9183,2019-05-30 10:01:00,"ambient","salmonShed","20449374"
"49",24.9197,2019-05-29 20:01:00,"ambient","salmonShed","20449374"
"50",24.9216,2019-04-09 15:11:00,"ambient","salmonShed","20449374"
"51",24.9292,2019-05-29 20:31:00,"ambient","salmonShed","20449374"
"52",24.9294,2019-04-09 15:21:00,"ambient","salmonShed","20449374"
"53",24.9303,2019-05-28 18:31:00,"ambient","salmonShed","20449374"
"54",24.9306,2019-04-17 22:11:00,"ambient","salmonShed","20449374"
"55",24.933,2019-05-29 20:11:00,"ambient","salmonShed","20449374"
"56",24.9335,2019-05-29 17:11:00,"ambient","salmonShed","20449374"
"57",24.934,2019-04-10 03:51:00,"ambient","salmonShed","20449374"
"58",24.9343,2019-05-15 09:01:00,"ambient","salmonShed","20449374"
"59",24.9378,2019-05-28 17:01:00,"ambient","salmonShed","20449374"
"60",24.938,2019-05-29 17:01:00,"ambient","salmonShed","20449374"
"61",24.9389,2019-05-29 11:11:00,"ambient","salmonShed","20449374"
"62",24.9398,2019-05-15 09:11:00,"ambient","salmonShed","20449374"
"63",24.9411,2019-05-15 09:21:00,"ambient","salmonShed","20449374"
"64",24.9415,2019-05-30 07:51:00,"ambient","salmonShed","20449374"
"65",24.9416,2019-04-10 03:11:00,"ambient","salmonShed","20449374"
"66",24.9423,2019-05-30 10:11:00,"ambient","salmonShed","20449374"
"67",24.9453,2019-05-28 18:41:00,"ambient","salmonShed","20449374"
"68",24.9461,2019-05-29 21:31:00,"ambient","salmonShed","20449374"
"69",24.9469,2019-05-28 17:41:00,"ambient","salmonShed","20449374"
"70",24.947,2019-05-29 21:01:00,"ambient","salmonShed","20449374"
"71",24.9475,2019-04-17 20:31:00,"ambient","salmonShed","20449374"
"72",24.948,2019-05-28 19:41:00,"ambient","salmonShed","20449374"
"73",24.9482,2019-04-09 15:51:00,"ambient","salmonShed","20449374"
"74",24.9492,2019-05-29 20:51:00,"ambient","salmonShed","20449374"
"75",24.9495,2019-04-09 15:41:00,"ambient","salmonShed","20449374"
"76",24.9503,2019-05-15 20:01:00,"ambient","salmonShed","20449374"
"77",24.9516,2019-05-30 07:41:00,"ambient","salmonShed","20449374"
"78",24.9526,2019-05-29 20:41:00,"ambient","salmonShed","20449374"
"79",24.9532,2019-05-28 18:51:00,"ambient","salmonShed","20449374"
"80",24.9533,2019-05-29 21:21:00,"ambient","salmonShed","20449374"
"81",24.9541,2019-05-28 17:51:00,"ambient","salmonShed","20449374"
"82",24.9553,2019-05-28 17:31:00,"ambient","salmonShed","20449374"
"83",24.957,2019-05-15 19:51:00,"ambient","salmonShed","20449374"
"84",24.958,2019-05-30 07:21:00,"ambient","salmonShed","20449374"
"85",24.9585,2019-05-30 10:21:00,"ambient","salmonShed","20449374"
"86",24.9604,2019-05-29 21:11:00,"ambient","salmonShed","20449374"
"87",24.9614,2019-05-15 08:31:00,"ambient","salmonShed","20449374"
"88",24.9615,2019-05-29 20:21:00,"ambient","salmonShed","20449374"
"89",24.9635,2019-05-21 13:11:00,"ambient","salmonShed","20449374"
"90",24.9638,2019-05-15 20:11:00,"ambient","salmonShed","20449374"
"91",24.9647,2019-05-29 10:51:00,"ambient","salmonShed","20449374"
"92",24.9647,2019-05-30 07:11:00,"ambient","salmonShed","20449374"
"93",24.9648,2019-05-29 16:51:00,"ambient","salmonShed","20449374"
"94",24.9652,2019-05-27 17:01:00,"ambient","salmonShed","20449374"
"95",24.9654,2019-05-29 10:31:00,"ambient","salmonShed","20449374"
"96",24.9658,2019-05-30 07:01:00,"ambient","salmonShed","20449374"
"97",24.9666,2019-05-15 19:41:00,"ambient","salmonShed","20449374"
"98",24.9666,2019-05-28 19:11:00,"ambient","salmonShed","20449374"
"99",24.9666,2019-05-30 10:51:00,"ambient","salmonShed","20449374"
"100",24.9674,2019-05-26 16:31:00,"ambient","salmonShed","20449374"
"101",24.9695,2019-05-29 11:01:00,"ambient","salmonShed","20449374"
"102",24.9698,2019-05-15 09:31:00,"ambient","salmonShed","20449374"
"103",24.9703,2019-05-28 17:21:00,"ambient","salmonShed","20449374"
"104",24.9703,2019-05-30 10:31:00,"ambient","salmonShed","20449374"
"105",24.9708,2019-05-29 22:01:00,"ambient","salmonShed","20449374"
"106",24.9714,2019-05-29 10:41:00,"ambient","salmonShed","20449374"
"107",24.9718,2019-05-28 16:51:00,"ambient","salmonShed","20449374"
"108",24.9719,2019-05-28 18:11:00,"ambient","salmonShed","20449374"
"109",24.9726,2019-04-17 22:21:00,"ambient","salmonShed","20449374"
"110",24.973,2019-05-31 18:51:00,"ambient","salmonShed","20449374"
"111",24.9734,2019-05-28 19:21:00,"ambient","salmonShed","20449374"
"112",24.9736,2019-05-15 11:01:00,"ambient","salmonShed","20449374"
"113",24.9746,2019-04-17 20:21:00,"ambient","salmonShed","20449374"
"114",24.9749,2019-05-29 16:41:00,"ambient","salmonShed","20449374"
"115",24.975,2019-05-16 09:51:00,"ambient","salmonShed","20449374"
"116",24.9761,2019-05-28 16:11:00,"ambient","salmonShed","20449374"
"117",24.9761,2019-05-28 20:21:00,"ambient","salmonShed","20449374"
"118",24.9762,2019-05-29 11:41:00,"ambient","salmonShed","20449374"
"119",24.9762,2019-05-30 07:31:00,"ambient","salmonShed","20449374"
"120",24.9765,2019-05-16 09:31:00,"ambient","salmonShed","20449374"
"121",24.9766,2019-04-10 04:01:00,"ambient","salmonShed","20449374"
"122",24.9766,2019-05-15 09:41:00,"ambient","salmonShed","20449374"
"123",24.9768,2019-04-09 13:51:00,"ambient","salmonShed","20449374"
"124",24.977,2019-05-21 12:41:00,"ambient","salmonShed","20449374"
"125",24.9775,2019-05-19 11:51:00,"ambient","salmonShed","20449374"
"126",24.9775,2019-05-28 18:21:00,"ambient","salmonShed","20449374"
"127",24.9793,2019-05-30 06:51:00,"ambient","salmonShed","20449374"
"128",24.9796,2019-05-16 09:41:00,"ambient","salmonShed","20449374"
"129",24.9797,2019-05-31 19:01:00,"ambient","salmonShed","20449374"
"130",24.9808,2019-05-29 21:51:00,"ambient","salmonShed","20449374"
"131",24.9818,2019-04-18 09:31:00,"ambient","salmonShed","20449374"
"132",24.982,2019-05-15 19:01:00,"ambient","salmonShed","20449374"
"133",24.9822,2019-05-29 11:21:00,"ambient","salmonShed","20449374"
"134",24.9822,2019-05-30 10:41:00,"ambient","salmonShed","20449374"
"135",24.9833,2019-05-31 18:31:00,"ambient","salmonShed","20449374"
"136",24.9834,2019-05-29 11:31:00,"ambient","salmonShed","20449374"
"137",24.9838,2019-05-28 17:11:00,"ambient","salmonShed","20449374"
"138",24.9839,2019-05-29 16:31:00,"ambient","salmonShed","20449374"
"139",24.984,2019-05-26 17:01:00,"ambient","salmonShed","20449374"
"140",24.9845,2019-05-16 09:21:00,"ambient","salmonShed","20449374"
