"","pH","ObservationDate","treatment","location","sensortype"
"1",NA,2018-10-27,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"2",NA,2018-11-01,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"3",NA,2018-11-02,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"4",NA,2018-11-03,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"5",NA,2018-11-04,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"6",NA,2018-12-20,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"7",NA,2018-12-21,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"8",NA,2018-12-22,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"9",NA,2018-12-23,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"10",NA,2018-12-24,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"11",NA,2018-12-26,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"12",NA,2018-12-28,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"13",NA,2018-12-29,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"14",NA,2018-12-30,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"15",NA,2018-12-31,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"16",NA,2019-01-02,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"17",NA,2019-01-03,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"18",NA,2019-01-04,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"19",NA,2019-01-05,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"20",NA,2019-01-06,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"21",NA,2019-01-07,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"22",NA,2019-01-08,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"23",NA,2019-01-09,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"24",NA,2019-01-10,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"25",NA,2019-01-11,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"26",NA,2019-01-12,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"27",NA,2019-01-13,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"28",NA,2019-01-14,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"29",NA,2019-01-15,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"30",NA,2019-01-16,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"31",NA,2019-01-17,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"32",NA,2019-01-18,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"33",NA,2019-01-19,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"34",NA,2019-01-20,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"35",NA,2019-01-21,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"36",NA,2019-01-22,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"37",NA,2019-01-23,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"38",NA,2019-01-24,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"39",NA,2019-01-25,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"40",NA,2019-01-26,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"41",NA,2019-01-27,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"42",NA,2019-01-28,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"43",NA,2019-01-29,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"44",NA,2019-01-30,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"45",NA,2019-01-31,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"46",NA,2019-02-01,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"47",NA,2019-02-03,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"48",NA,2019-02-04,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"49",NA,2019-02-05,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"50",NA,2019-02-06,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"51",NA,2019-02-07,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"52",NA,2019-02-08,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"53",NA,2019-02-11,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"54",NA,2019-02-12,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"55",NA,2019-02-13,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"56",NA,2019-02-14,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"57",NA,2019-02-15,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"58",NA,2019-02-16,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"59",NA,2019-02-17,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"60",NA,2019-02-18,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"61",NA,2019-02-19,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"62",NA,2019-02-20,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"63",NA,2019-02-21,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"64",NA,2019-02-22,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"65",NA,2019-02-23,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"66",NA,2019-02-24,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"67",NA,2019-02-25,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"68",NA,2019-02-26,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"69",NA,2019-02-27,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"70",NA,2019-03-01,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"71",NA,2019-03-02,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"72",NA,2019-03-03,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"73",NA,2019-03-04,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"74",NA,2019-03-05,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"75",NA,2019-03-06,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"76",NA,2019-03-07,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"77",NA,2019-03-08,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"78",NA,2019-03-09,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"79",NA,2019-03-10,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"80",NA,2019-03-12,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"81",NA,2019-03-13,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"82",NA,2019-03-14,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"83",NA,2019-03-15,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"84",NA,2019-03-16,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"85",NA,2019-03-17,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"86",NA,2019-03-18,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"87",NA,2019-03-19,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"88",NA,2019-03-20,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"89",NA,2019-03-22,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"90",NA,2019-03-23,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"91",NA,2019-03-24,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"92",NA,2019-03-25,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"93",NA,2019-03-26,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"94",NA,2019-03-27,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"95",NA,2019-03-28,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"96",NA,2019-03-29,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"97",NA,2019-03-30,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"98",NA,2019-03-31,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"99",NA,2019-04-01,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"100",NA,2019-04-02,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"101",NA,2019-04-03,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"102",NA,2019-04-04,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"103",NA,2019-04-05,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"104",NA,2019-04-06,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"105",NA,2019-04-07,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"106",NA,2019-04-08,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"107",NA,2019-04-10,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"108",NA,2019-04-11,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"109",NA,2019-04-12,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"110",NA,2019-04-13,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"111",NA,2019-04-17,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"112",NA,2019-04-18,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"113",NA,2019-04-19,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"114",NA,2019-04-20,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"115",NA,2019-04-21,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"116",NA,2019-04-22,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"117",NA,2019-04-23,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"118",NA,2019-04-24,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"119",NA,2019-04-25,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"120",NA,2019-04-26,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"121",NA,2019-04-27,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"122",NA,2019-04-28,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"123",NA,2019-04-29,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"124",NA,2019-04-30,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"125",NA,2019-05-01,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"126",NA,2019-05-02,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"127",NA,2019-05-03,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"128",NA,2019-05-04,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"129",NA,2019-05-05,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"130",NA,2019-05-06,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"131",NA,2019-05-07,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"132",NA,2019-05-08,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"133",NA,2019-05-09,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"134",NA,2019-05-10,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"135",NA,2019-05-11,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"136",NA,2019-05-12,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"137",NA,2019-05-13,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"138",NA,2019-05-15,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"139",NA,2019-05-16,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"140",NA,2019-05-17,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"141",NA,2019-05-18,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"142",NA,2019-05-19,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"143",NA,2019-05-20,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"144",NA,2019-05-21,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"145",NA,2019-05-22,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"146",NA,2019-05-23,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"147",NA,2019-05-24,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"148",NA,2019-05-25,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"149",NA,2019-05-26,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"150",NA,2019-05-27,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"151",NA,2019-05-28,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"152",NA,2019-05-29,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"153",NA,2019-05-30,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"154",NA,2019-05-31,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"155",NA,2019-06-01,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"156",NA,2019-06-02,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"157",NA,2019-06-03,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"158",NA,2019-06-04,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"159",NA,2019-06-05,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"160",NA,2019-06-06,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"161",NA,2019-06-07,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"162",NA,2019-06-08,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"163",NA,2019-06-09,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"164",NA,2019-06-10,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"165",NA,2019-06-11,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
"166",NA,2019-06-12,"ambient_juvenileDGN","salmonShed","wallUDA_salmonShed"
