"","temp","ObservationDate","location","sensortype"
"1",0,2018-11-25,"salmonShed","wallUDA_salmonShed"
"2",0,2018-11-26,"salmonShed","wallUDA_salmonShed"
"3",0,2018-11-28,"salmonShed","wallUDA_salmonShed"
"4",0,2018-11-30,"salmonShed","wallUDA_salmonShed"
"5",0,2018-12-01,"salmonShed","wallUDA_salmonShed"
"6",0,2018-12-02,"salmonShed","wallUDA_salmonShed"
"7",0,2018-12-03,"salmonShed","wallUDA_salmonShed"
"8",0,2018-12-04,"salmonShed","wallUDA_salmonShed"
"9",0,2018-12-05,"salmonShed","wallUDA_salmonShed"
"10",0,2018-12-09,"salmonShed","wallUDA_salmonShed"
"11",7.4,2019-03-10,"salmonShed","wallUDA_salmonShed"
"12",7.5,2019-02-21,"salmonShed","wallUDA_salmonShed"
"13",7.6,2019-02-22,"salmonShed","wallUDA_salmonShed"
"14",7.6,2019-03-09,"salmonShed","wallUDA_salmonShed"
"15",7.7,2019-02-17,"salmonShed","wallUDA_salmonShed"
"16",7.7,2019-02-18,"salmonShed","wallUDA_salmonShed"
"17",7.7,2019-03-10,"salmonShed","wallUDA_salmonShed"
"18",7.8,2019-03-09,"salmonShed","wallUDA_salmonShed"
"19",7.9,2019-02-19,"salmonShed","wallUDA_salmonShed"
"20",7.9,2019-02-20,"salmonShed","wallUDA_salmonShed"
"21",7.9,2019-03-04,"salmonShed","wallUDA_salmonShed"
"22",7.9,2019-03-04,"salmonShed","wallUDA_salmonShed"
"23",7.9,2019-03-08,"salmonShed","wallUDA_salmonShed"
"24",8,2019-02-16,"salmonShed","wallUDA_salmonShed"
"25",8,2019-03-04,"salmonShed","wallUDA_salmonShed"
"26",8,2019-03-09,"salmonShed","wallUDA_salmonShed"
"27",8,2019-03-09,"salmonShed","wallUDA_salmonShed"
"28",8,2019-03-10,"salmonShed","wallUDA_salmonShed"
"29",8,2019-03-12,"salmonShed","wallUDA_salmonShed"
"30",8,2019-03-13,"salmonShed","wallUDA_salmonShed"
"31",8,2019-03-23,"salmonShed","wallUDA_salmonShed"
"32",8.1,2019-02-13,"salmonShed","wallUDA_salmonShed"
"33",8.1,2019-03-06,"salmonShed","wallUDA_salmonShed"
"34",8.1,2019-03-06,"salmonShed","wallUDA_salmonShed"
"35",8.1,2019-03-06,"salmonShed","wallUDA_salmonShed"
"36",8.1,2019-03-08,"salmonShed","wallUDA_salmonShed"
"37",8.1,2019-03-08,"salmonShed","wallUDA_salmonShed"
"38",8.1,2019-03-10,"salmonShed","wallUDA_salmonShed"
"39",8.1,2019-03-12,"salmonShed","wallUDA_salmonShed"
"40",8.1,2019-03-13,"salmonShed","wallUDA_salmonShed"
"41",8.1,2019-03-13,"salmonShed","wallUDA_salmonShed"
"42",8.1,2019-03-13,"salmonShed","wallUDA_salmonShed"
"43",8.2,2019-02-13,"salmonShed","wallUDA_salmonShed"
"44",8.2,2019-02-13,"salmonShed","wallUDA_salmonShed"
"45",8.2,2019-02-14,"salmonShed","wallUDA_salmonShed"
"46",8.2,2019-02-14,"salmonShed","wallUDA_salmonShed"
"47",8.2,2019-02-14,"salmonShed","wallUDA_salmonShed"
