"","temp","ObservationDate","location","sensortype","treatment"
"1",0,2018-11-25 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"2",0,2018-11-26 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"3",0,2018-11-28 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"4",0,2018-11-30 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"5",0,2018-12-01 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"6",0,2018-12-02 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"7",0,2018-12-03 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"8",0,2018-12-04 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"9",0,2018-12-05 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"10",0,2018-12-09 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"11",6.87,2019-02-10 01:21:00,"salmonShed","20449374","ambient"
"12",6.89,2019-02-10 01:01:00,"salmonShed","20449374","ambient"
"13",6.89,2019-02-10 01:11:00,"salmonShed","20449374","ambient"
"14",6.9,2019-02-10 01:31:00,"salmonShed","20449374","ambient"
"15",6.94,2019-02-10 00:51:00,"salmonShed","20449374","ambient"
"16",6.97,2019-02-10 00:41:00,"salmonShed","20449374","ambient"
"17",7,2019-02-10 01:41:00,"salmonShed","20449374","ambient"
"18",7.02,2019-02-10 00:31:00,"salmonShed","20449374","ambient"
"19",7.08,2019-02-10 00:21:00,"salmonShed","20449374","ambient"
"20",7.09,2019-02-10 01:51:00,"salmonShed","20449374","ambient"
"21",7.15,2019-02-10 00:11:00,"salmonShed","20449374","ambient"
"22",7.17,2019-02-10 02:01:00,"salmonShed","20449374","ambient"
"23",7.21,2019-02-10 02:11:00,"salmonShed","20449374","ambient"
"24",7.25,2019-02-10 00:01:00,"salmonShed","20449374","ambient"
"25",7.28,2019-02-10 02:21:00,"salmonShed","20449374","ambient"
"26",7.38,2019-02-09 23:51:00,"salmonShed","20449374","ambient"
"27",7.38,2019-02-10 02:31:00,"salmonShed","20449374","ambient"
"28",7.4,2019-03-10 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"29",7.47,2019-02-10 02:41:00,"salmonShed","20449374","ambient"
"30",7.5,2019-02-09 23:41:00,"salmonShed","20449374","ambient"
"31",7.5,2019-02-21 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"32",7.54,2019-02-22 13:01:00,"salmonShed","20449374","ambient"
"33",7.55,2019-02-10 02:51:00,"salmonShed","20449374","ambient"
"34",7.6,2019-02-22 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"35",7.6,2019-03-09 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"36",7.64,2019-02-09 23:31:00,"salmonShed","20449374","ambient"
"37",7.64,2019-02-10 03:01:00,"salmonShed","20449374","ambient"
"38",7.7,2019-02-17 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"39",7.7,2019-02-18 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"40",7.7,2019-03-10 00:00:00,"salmonShed","wallUDA_salmonShed",NA
"41",7.72,2019-02-05 00:01:00,"salmonShed","20449374","ambient"
"42",7.72,2019-02-05 00:11:00,"salmonShed","20449374","ambient"
"43",7.72,2019-02-05 00:21:00,"salmonShed","20449374","ambient"
"44",7.72,2019-02-10 03:11:00,"salmonShed","20449374","ambient"
"45",7.73,2019-02-04 23:51:00,"salmonShed","20449374","ambient"
