"Plot Title: 20449374_ConductivityLogger_FactoryCal"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °F (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,11/19/18 09:51:30 AM,33041.7,30717.2,51.80,41823.9,26.8190,Logged,,,
2,11/19/18 10:01:30 AM,33041.7,30717.2,51.80,41823.9,26.8190,,,,
3,11/19/18 10:11:30 AM,33041.7,30726.8,51.80,41836.9,26.8282,,,,
4,11/19/18 10:21:30 AM,33041.7,30710.7,51.82,41805.0,26.8054,,,,
5,11/19/18 10:31:30 AM,33041.7,30726.8,51.85,41806.3,26.8064,,,,
6,11/19/18 10:41:30 AM,33041.7,30707.5,51.85,41780.2,26.7878,,,,
7,11/19/18 10:51:30 AM,33041.7,30697.9,51.87,41757.1,26.7713,,,,
8,11/19/18 11:01:30 AM,33041.7,30736.4,51.89,41798.9,26.8011,,,,
9,11/19/18 11:11:30 AM,33041.7,30746.1,51.91,41801.8,26.8032,,,,
10,11/19/18 11:21:30 AM,33041.7,30726.8,51.91,41775.7,26.7846,,,,
11,11/19/18 11:31:30 AM,33041.7,30752.5,51.94,41790.0,26.7948,,,,
12,11/19/18 11:41:30 AM,33041.7,30742.8,51.96,41766.8,26.7782,,,,
13,11/19/18 11:51:30 AM,33041.7,30752.5,52.00,41759.5,26.7730,,,,
14,11/19/18 12:01:30 PM,33041.7,30781.4,52.02,41788.3,26.7935,,,,
15,11/19/18 12:11:30 PM,33041.7,30781.4,52.05,41767.9,26.7790,,,,
16,11/19/18 12:21:30 PM,33041.7,30778.2,52.07,41753.5,26.7687,,,,
17,11/19/18 12:31:30 PM,33041.7,30739.6,52.07,41701.5,26.7316,,,,
18,11/19/18 12:41:30 PM,33041.7,30749.3,52.09,41704.4,26.7337,,,,
19,11/19/18 12:51:30 PM,33041.7,30778.2,52.11,41733.1,26.7542,,,,
20,11/19/18 01:01:30 PM,33041.7,30794.3,52.16,41724.3,26.7479,,,,
21,11/19/18 01:11:30 PM,33041.7,30807.2,52.16,41741.7,26.7603,,,,
22,11/19/18 01:21:30 PM,33041.7,30768.6,52.16,41689.8,26.7233,,,,
23,11/19/18 01:31:30 PM,33041.7,30775.0,52.18,41688.2,26.7222,,,,
24,11/19/18 01:41:30 PM,33041.7,30816.9,52.18,41744.6,26.7624,,,,
25,11/19/18 01:51:30 PM,33041.7,30804.0,52.20,41717.1,26.7428,,,,
26,11/19/18 02:01:30 PM,33041.7,30823.4,52.20,41743.2,26.7614,,,,
