"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,11/26/18 01:15:49 PM,10.70,11.70,0.00,0.0,,,
2,11/26/18 01:25:49 PM,10.78,11.62,0.00,0.0,,,
3,11/26/18 01:35:49 PM,10.79,11.60,0.00,0.0,,,
4,11/26/18 01:45:49 PM,10.82,11.60,0.00,0.0,,,
5,11/26/18 01:55:49 PM,10.80,11.60,0.00,0.0,,,
6,11/26/18 02:05:49 PM,10.79,11.60,0.00,0.0,,,
7,11/26/18 02:15:49 PM,10.77,11.58,0.00,0.0,,,
8,11/26/18 02:25:49 PM,10.78,11.58,0.00,0.0,,,
9,11/26/18 02:35:49 PM,10.78,11.58,0.00,0.0,,,
10,11/26/18 02:45:49 PM,10.76,11.58,0.00,0.0,,,
11,11/26/18 02:55:49 PM,10.75,11.58,0.00,0.0,,,
12,11/26/18 03:05:49 PM,10.76,11.56,0.00,0.0,,,
13,11/26/18 03:15:49 PM,10.76,11.56,0.00,0.0,,,
14,11/26/18 03:25:49 PM,10.75,11.54,0.00,0.0,,,
15,11/26/18 03:35:49 PM,10.76,11.54,0.00,0.0,,,
16,11/26/18 03:45:49 PM,10.76,11.54,0.00,0.0,,,
17,11/26/18 03:55:49 PM,10.76,11.52,0.00,0.0,,,
18,11/26/18 04:05:49 PM,10.77,11.52,0.00,0.0,,,
19,11/26/18 04:15:49 PM,10.77,11.52,0.00,0.0,,,
20,11/26/18 04:25:49 PM,10.78,11.52,0.00,0.0,,,
21,11/26/18 04:35:49 PM,10.78,11.52,0.00,0.0,,,
22,11/26/18 04:45:49 PM,10.78,11.52,0.00,0.0,,,
23,11/26/18 04:55:49 PM,10.77,11.52,0.00,0.0,,,
24,11/26/18 05:05:49 PM,10.76,11.52,0.00,0.0,,,
25,11/26/18 05:15:49 PM,10.77,11.52,0.00,0.0,,,
26,11/26/18 05:25:49 PM,10.77,11.52,0.00,0.0,,,
27,11/26/18 05:35:49 PM,10.76,11.52,0.00,0.0,,,
28,11/26/18 05:45:49 PM,10.78,11.52,0.00,0.0,,,
29,11/26/18 05:55:49 PM,10.77,11.50,0.00,0.0,,,
30,11/26/18 06:05:49 PM,10.77,11.50,0.00,0.0,,,
31,11/26/18 06:15:49 PM,10.77,11.50,0.00,0.0,,,
32,11/26/18 06:25:49 PM,10.77,11.50,0.00,0.0,,,
