"Plot Title: 20449374_Conductivity_FactoryCal"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,11/26/18 01:11:30 PM,33041.7,30901.0,11.62,41443.7,26.5479,Logged,,,
2,11/26/18 01:21:30 PM,33041.7,30888.0,11.62,41426.4,26.5356,,,,
3,11/26/18 01:31:30 PM,33041.7,30897.7,11.61,41449.3,26.5519,,,,
4,11/26/18 01:41:30 PM,33041.7,30891.2,11.61,41440.6,26.5457,,,,
5,11/26/18 01:51:30 PM,33041.7,30871.8,11.61,41414.8,26.5273,,,,
6,11/26/18 02:01:30 PM,33041.7,30862.1,11.60,41411.9,26.5253,,,,
7,11/26/18 02:11:30 PM,33041.7,30871.8,11.60,41424.8,26.5345,,,,
8,11/26/18 02:21:30 PM,33041.7,30875.1,11.60,41429.2,26.5376,,,,
9,11/26/18 02:31:30 PM,33041.7,30910.7,11.60,41476.6,26.5714,,,,
10,11/26/18 02:41:30 PM,33041.7,30855.6,11.60,41403.2,26.5191,,,,
11,11/26/18 02:51:30 PM,33041.7,30868.6,11.60,41420.5,26.5314,,,,
12,11/26/18 03:01:30 PM,33041.7,30846.0,11.59,41400.4,26.5171,,,,
13,11/26/18 03:11:30 PM,33041.7,30839.5,11.58,41401.8,26.5181,,,,
14,11/26/18 03:21:30 PM,33041.7,30810.4,11.58,41363.0,26.4904,,,,
15,11/26/18 03:31:30 PM,33041.7,30820.1,11.57,41385.9,26.5068,,,,
16,11/26/18 03:41:30 PM,33041.7,30810.4,11.55,41393.0,26.5118,,,,
17,11/26/18 03:51:30 PM,33041.7,30784.7,11.54,41368.8,26.4945,,,,
18,11/26/18 04:01:30 PM,33041.7,30781.4,11.54,41364.4,26.4914,,,,
19,11/26/18 04:11:30 PM,33041.7,30781.4,11.53,41374.4,26.4985,,,,
20,11/26/18 04:21:30 PM,33041.7,30784.7,11.53,41378.8,26.5017,,,,
21,11/26/18 04:31:30 PM,33041.7,30791.1,11.54,41377.3,26.5006,,,,
22,11/26/18 04:41:30 PM,33041.7,30794.3,11.54,41381.6,26.5037,,,,
23,11/26/18 04:51:30 PM,33041.7,30800.8,11.53,41400.3,26.5170,,,,
24,11/26/18 05:01:30 PM,33041.7,30765.4,11.54,41343.0,26.4762,,,,
25,11/26/18 05:11:30 PM,33041.7,30794.3,11.53,41391.6,26.5108,,,,
26,11/26/18 05:21:30 PM,33041.7,30794.3,11.53,41391.6,26.5108,,,,
27,11/26/18 05:31:30 PM,33041.7,30784.7,11.52,41388.8,26.5088,,,,
28,11/26/18 05:41:30 PM,33041.7,30800.8,11.53,41400.3,26.5170,,,,
29,11/26/18 05:51:30 PM,33041.7,30775.0,11.52,41375.8,26.4996,,,,
30,11/26/18 06:01:30 PM,33041.7,30784.7,11.52,41388.8,26.5088,,,,
31,11/26/18 06:11:30 PM,33041.7,30765.4,11.52,41363.0,26.4905,,,,
32,11/26/18 06:21:30 PM,33041.7,30775.0,11.52,41375.8,26.4996,,,,
33,11/26/18 06:31:30 PM,33041.7,30810.4,11.53,41413.1,26.5261,,,,
34,11/26/18 06:41:30 PM,33041.7,30800.8,11.53,41400.3,26.5170,,,,
35,11/26/18 06:51:30 PM,33041.7,30794.3,11.54,41381.6,26.5037,,,,
36,11/26/18 07:01:30 PM,33041.7,30846.0,11.55,41440.5,26.5456,,,,
