"Plot Title: SalmonShedLight/TempLogger_ChaseCorner"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20454914, SEN S/N: 20454914)","Intensity, lum/ft² (LGR S/N: 20454914, SEN S/N: 20454914)","Coupler Attached (LGR S/N: 20454914)","Coupler Detached (LGR S/N: 20454914)","Stopped (LGR S/N: 20454914)","End Of File (LGR S/N: 20454914)"
1,11/26/18 01:18:55 PM,12.013,5.0,,,,
2,11/26/18 01:28:55 PM,11.819,4.0,,,,
3,11/26/18 01:38:55 PM,11.722,4.0,,,,
4,11/26/18 01:48:55 PM,11.722,5.0,,,,
5,11/26/18 01:58:55 PM,11.722,4.0,,,,
6,11/26/18 02:08:55 PM,11.722,4.0,,,,
7,11/26/18 02:18:55 PM,11.722,4.0,,,,
8,11/26/18 02:28:55 PM,11.722,4.0,,,,
9,11/26/18 02:38:55 PM,11.625,5.0,,,,
10,11/26/18 02:48:55 PM,11.528,4.0,,,,
11,11/26/18 02:58:55 PM,11.528,4.0,,,,
12,11/26/18 03:08:55 PM,11.528,4.0,,,,
13,11/26/18 03:18:55 PM,11.528,4.0,,,,
14,11/26/18 03:28:55 PM,11.528,4.0,,,,
15,11/26/18 03:38:55 PM,11.431,4.0,,,,
16,11/26/18 03:48:55 PM,11.528,4.0,,,,
17,11/26/18 03:58:55 PM,11.431,4.0,,,,
18,11/26/18 04:08:55 PM,11.431,4.0,,,,
19,11/26/18 04:18:55 PM,11.431,4.0,,,,
20,11/26/18 04:28:55 PM,11.334,5.0,,,,
21,11/26/18 04:38:55 PM,11.334,4.0,,,,
22,11/26/18 04:48:55 PM,11.334,4.0,,,,
23,11/26/18 04:58:55 PM,11.334,4.0,,,,
24,11/26/18 05:08:55 PM,11.236,5.0,,,,
25,11/26/18 05:18:55 PM,11.236,4.0,,,,
26,11/26/18 05:28:55 PM,11.236,4.0,,,,
27,11/26/18 05:38:55 PM,11.236,4.0,,,,
28,11/26/18 05:48:55 PM,11.236,4.0,,,,
29,11/26/18 05:58:55 PM,11.236,4.0,,,,
30,11/26/18 06:08:55 PM,11.334,4.0,,,,
31,11/26/18 06:18:55 PM,11.334,4.0,,,,
32,11/26/18 06:28:55 PM,11.431,4.0,,,,
33,11/26/18 06:38:55 PM,11.431,4.0,,,,
34,11/26/18 06:48:55 PM,11.431,4.0,,,,
35,11/26/18 06:58:55 PM,11.528,4.0,,,,
36,11/26/18 07:08:55 PM,11.528,4.0,,,,
37,11/26/18 07:18:55 PM,11.528,4.0,,,,
38,11/26/18 07:28:55 PM,11.528,4.0,,,,
39,11/26/18 07:38:55 PM,11.528,4.0,,,,
40,11/26/18 07:48:55 PM,11.528,4.0,,,,
41,11/26/18 07:58:55 PM,11.625,4.0,,,,
42,11/26/18 08:08:55 PM,11.625,4.0,,,,
43,11/26/18 08:18:55 PM,11.625,4.0,,,,
44,11/26/18 08:28:55 PM,11.625,4.0,,,,
45,11/26/18 08:38:55 PM,11.625,4.0,,,,
46,11/26/18 08:48:55 PM,11.625,4.0,,,,
47,11/26/18 08:58:55 PM,11.722,4.0,,,,
48,11/26/18 09:08:55 PM,11.722,4.0,,,,
49,11/26/18 09:18:55 PM,11.722,4.0,,,,
50,11/26/18 09:28:55 PM,11.722,4.0,,,,
51,11/26/18 09:38:55 PM,11.722,4.0,,,,
52,11/26/18 09:48:55 PM,11.819,4.0,,,,
53,11/26/18 09:58:55 PM,11.722,4.0,,,,
54,11/26/18 10:08:55 PM,11.722,4.0,,,,
55,11/26/18 10:18:55 PM,11.625,4.0,,,,
56,11/26/18 10:28:55 PM,11.625,4.0,,,,
57,11/26/18 10:38:55 PM,11.528,4.0,,,,
58,11/26/18 10:48:55 PM,11.431,4.0,,,,
59,11/26/18 10:58:55 PM,11.334,5.0,,,,
60,11/26/18 11:08:55 PM,11.334,4.0,,,,
