"Plot Title: 12-25FEB19_UA-002-64TempLght_ChaseCorner"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20454914, SEN S/N: 20454914)","Intensity, lum/ft² (LGR S/N: 20454914, SEN S/N: 20454914)","Coupler Detached (LGR S/N: 20454914)","Coupler Attached (LGR S/N: 20454914)","Stopped (LGR S/N: 20454914)","End Of File (LGR S/N: 20454914)"
1,02/19/19 09:23:01 AM,12.787,0.0,,,,
2,02/19/19 09:23:16 AM,,,Logged,,,
3,02/19/19 09:33:01 AM,10.063,3.0,,,,
4,02/19/19 09:43:01 AM,7.682,3.0,,,,
5,02/19/19 09:53:01 AM,7.079,3.0,,,,
6,02/19/19 10:03:01 AM,6.978,3.0,,,,
7,02/19/19 10:13:01 AM,7.079,3.0,,,,
8,02/19/19 10:23:01 AM,7.179,4.0,,,,
9,02/19/19 10:33:01 AM,7.481,4.0,,,,
10,02/19/19 10:43:01 AM,7.682,3.0,,,,
11,02/19/19 10:53:01 AM,7.882,4.0,,,,
12,02/19/19 11:03:01 AM,7.882,4.0,,,,
13,02/19/19 11:13:01 AM,7.882,3.0,,,,
14,02/19/19 11:23:01 AM,8.082,4.0,,,,
15,02/19/19 11:33:01 AM,8.182,4.0,,,,
16,02/19/19 11:43:01 AM,8.382,4.0,,,,
17,02/19/19 11:53:01 AM,8.382,4.0,,,,
18,02/19/19 12:03:01 PM,8.481,3.0,,,,
19,02/19/19 12:13:01 PM,8.680,4.0,,,,
20,02/19/19 12:23:01 PM,8.581,4.0,,,,
21,02/19/19 12:33:01 PM,8.282,3.0,,,,
22,02/19/19 12:43:01 PM,8.082,4.0,,,,
23,02/19/19 12:53:01 PM,8.082,4.0,,,,
24,02/19/19 01:03:01 PM,8.182,4.0,,,,
25,02/19/19 01:13:01 PM,8.182,3.0,,,,
26,02/19/19 01:23:01 PM,8.082,3.0,,,,
27,02/19/19 01:33:01 PM,7.983,3.0,,,,
28,02/19/19 01:43:01 PM,7.882,4.0,,,,
29,02/19/19 01:53:01 PM,7.882,4.0,,,,
30,02/19/19 02:03:01 PM,7.782,4.0,,,,
31,02/19/19 02:13:01 PM,7.682,3.0,,,,
32,02/19/19 02:23:01 PM,7.682,4.0,,,,
33,02/19/19 02:33:01 PM,7.582,4.0,,,,
34,02/19/19 02:43:01 PM,7.381,4.0,,,,
35,02/19/19 02:53:01 PM,7.179,4.0,,,,
36,02/19/19 03:03:01 PM,7.079,4.0,,,,
37,02/19/19 03:13:01 PM,7.079,4.0,,,,
