"Plot Title: 25FEB19-04MAR19_20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Coupler Detached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,02/25/19 10:05:49 AM,11.57,8.42,,,,
2,02/25/19 10:15:49 AM,11.55,8.44,,,,
3,02/25/19 10:25:49 AM,11.57,8.40,,,,
4,02/25/19 10:35:49 AM,11.57,8.40,,,,
5,02/25/19 10:45:49 AM,11.57,8.40,,,,
6,02/25/19 10:55:49 AM,11.57,8.40,,,,
7,02/25/19 11:05:49 AM,11.57,8.40,,,,
8,02/25/19 11:15:49 AM,11.57,8.40,,,,
9,02/25/19 11:25:49 AM,11.57,8.42,,,,
10,02/25/19 11:35:49 AM,11.57,8.42,,,,
11,02/25/19 11:45:49 AM,11.57,8.42,,,,
12,02/25/19 11:55:49 AM,11.56,8.42,,,,
13,02/25/19 12:05:49 PM,11.56,8.42,,,,
14,02/25/19 12:15:49 PM,11.56,8.42,,,,
15,02/25/19 12:25:49 PM,11.56,8.42,,,,
16,02/25/19 12:35:49 PM,11.56,8.44,,,,
17,02/25/19 12:45:49 PM,11.56,8.44,,,,
18,02/25/19 12:55:49 PM,11.55,8.44,,,,
19,02/25/19 01:05:49 PM,11.55,8.44,,,,
20,02/25/19 01:15:49 PM,11.56,8.44,,,,
21,02/25/19 01:25:49 PM,11.56,8.44,,,,
22,02/25/19 01:35:49 PM,11.57,8.42,,,,
23,02/25/19 01:45:49 PM,11.57,8.42,,,,
24,02/25/19 01:55:49 PM,11.57,8.40,,,,
25,02/25/19 02:05:49 PM,11.58,8.40,,,,
26,02/25/19 02:15:49 PM,11.58,8.38,,,,
27,02/25/19 02:25:49 PM,11.60,8.36,,,,
28,02/25/19 02:35:49 PM,11.64,8.28,,,,
29,02/25/19 02:45:49 PM,11.70,8.20,,,,
30,02/25/19 02:55:49 PM,11.71,8.14,,,,
31,02/25/19 03:05:49 PM,11.74,8.08,,,,
32,02/25/19 03:15:49 PM,11.75,8.04,,,,
33,02/25/19 03:25:49 PM,11.76,8.00,,,,
34,02/25/19 03:35:49 PM,11.76,7.98,,,,
35,02/25/19 03:45:49 PM,11.76,7.96,,,,
36,02/25/19 03:55:49 PM,11.77,7.96,,,,
37,02/25/19 04:05:49 PM,11.76,7.96,,,,
38,02/25/19 04:15:49 PM,11.75,7.98,,,,
39,02/25/19 04:25:49 PM,11.73,8.00,,,,
40,02/25/19 04:35:49 PM,11.74,8.02,,,,
41,02/25/19 04:45:49 PM,11.72,8.06,,,,
42,02/25/19 04:55:49 PM,11.70,8.10,,,,
43,02/25/19 05:05:49 PM,11.68,8.14,,,,
44,02/25/19 05:15:49 PM,11.66,8.16,,,,
45,02/25/19 05:25:49 PM,11.65,8.18,,,,
46,02/25/19 05:35:49 PM,11.64,8.22,,,,
47,02/25/19 05:45:49 PM,11.63,8.24,,,,
48,02/25/19 05:55:49 PM,11.62,8.26,,,,
49,02/25/19 06:05:49 PM,11.61,8.28,,,,
50,02/25/19 06:15:49 PM,11.60,8.28,,,,
51,02/25/19 06:25:49 PM,11.60,8.30,,,,
52,02/25/19 06:35:49 PM,11.60,8.32,,,,
53,02/25/19 06:45:49 PM,11.60,8.32,,,,
54,02/25/19 06:55:49 PM,11.59,8.34,,,,
55,02/25/19 07:05:49 PM,11.59,8.34,,,,
56,02/25/19 07:15:49 PM,11.57,8.36,,,,
57,02/25/19 07:25:49 PM,11.57,8.36,,,,
58,02/25/19 07:35:49 PM,11.57,8.36,,,,
59,02/25/19 07:45:49 PM,11.57,8.36,,,,
60,02/25/19 07:55:49 PM,11.57,8.36,,,,
61,02/25/19 08:05:49 PM,11.57,8.38,,,,
62,02/25/19 08:15:49 PM,11.56,8.38,,,,
63,02/25/19 08:25:49 PM,11.56,8.38,,,,
64,02/25/19 08:35:49 PM,11.56,8.38,,,,
65,02/25/19 08:45:49 PM,11.56,8.38,,,,
66,02/25/19 08:55:49 PM,11.57,8.40,,,,
67,02/25/19 09:05:49 PM,11.55,8.40,,,,
68,02/25/19 09:15:49 PM,11.55,8.40,,,,
69,02/25/19 09:25:49 PM,11.54,8.42,,,,
70,02/25/19 09:35:49 PM,11.55,8.42,,,,
71,02/25/19 09:45:49 PM,11.55,8.44,,,,
72,02/25/19 09:55:49 PM,11.53,8.44,,,,
73,02/25/19 10:05:49 PM,11.55,8.44,,,,
74,02/25/19 10:15:49 PM,11.55,8.46,,,,
75,02/25/19 10:25:49 PM,11.55,8.46,,,,
76,02/25/19 10:35:49 PM,11.55,8.46,,,,
77,02/25/19 10:45:49 PM,11.55,8.46,,,,
78,02/25/19 10:55:49 PM,11.55,8.46,,,,
79,02/25/19 11:05:49 PM,11.55,8.46,,,,
80,02/25/19 11:15:49 PM,11.55,8.46,,,,
81,02/25/19 11:25:49 PM,11.55,8.46,,,,
82,02/25/19 11:35:49 PM,11.56,8.48,,,,
83,02/25/19 11:45:49 PM,11.55,8.48,,,,
84,02/25/19 11:55:49 PM,11.55,8.48,,,,
85,02/26/19 12:05:49 AM,11.55,8.48,,,,
86,02/26/19 12:15:49 AM,11.55,8.48,,,,
87,02/26/19 12:25:49 AM,11.55,8.48,,,,
88,02/26/19 12:35:49 AM,11.55,8.48,,,,
89,02/26/19 12:45:49 AM,11.56,8.48,,,,
90,02/26/19 12:55:49 AM,11.55,8.48,,,,
91,02/26/19 01:05:49 AM,11.56,8.48,,,,
92,02/26/19 01:15:49 AM,11.55,8.50,,,,
93,02/26/19 01:25:49 AM,11.56,8.48,,,,
94,02/26/19 01:35:49 AM,11.56,8.48,,,,
95,02/26/19 01:45:49 AM,11.56,8.50,,,,
96,02/26/19 01:55:49 AM,11.57,8.48,,,,
97,02/26/19 02:05:49 AM,11.57,8.48,,,,
98,02/26/19 02:15:49 AM,11.56,8.48,,,,
99,02/26/19 02:25:49 AM,11.58,8.46,,,,
100,02/26/19 02:35:49 AM,11.61,8.40,,,,
101,02/26/19 02:45:49 AM,11.66,8.32,,,,
102,02/26/19 02:55:49 AM,11.71,8.24,,,,
103,02/26/19 03:05:49 AM,11.74,8.16,,,,
104,02/26/19 03:15:49 AM,11.77,8.10,,,,
105,02/26/19 03:25:49 AM,11.79,8.04,,,,
106,02/26/19 03:35:49 AM,11.81,8.00,,,,
107,02/26/19 03:45:49 AM,11.83,7.96,,,,
108,02/26/19 03:55:49 AM,11.82,7.94,,,,
109,02/26/19 04:05:49 AM,11.84,7.94,,,,
110,02/26/19 04:15:49 AM,11.84,7.94,,,,
111,02/26/19 04:25:49 AM,11.82,7.94,,,,
112,02/26/19 04:35:49 AM,11.82,7.94,,,,
113,02/26/19 04:45:49 AM,11.82,7.96,,,,
114,02/26/19 04:55:49 AM,11.81,7.96,,,,
115,02/26/19 05:05:49 AM,11.80,7.98,,,,
116,02/26/19 05:15:49 AM,11.80,8.00,,,,
117,02/26/19 05:25:49 AM,11.78,8.02,,,,
118,02/26/19 05:35:49 AM,11.76,8.04,,,,
119,02/26/19 05:45:49 AM,11.76,8.08,,,,
120,02/26/19 05:55:49 AM,11.74,8.10,,,,
121,02/26/19 06:05:49 AM,11.74,8.14,,,,
122,02/26/19 06:15:49 AM,11.73,8.16,,,,
123,02/26/19 06:25:49 AM,11.72,8.18,,,,
124,02/26/19 06:35:49 AM,11.72,8.20,,,,
125,02/26/19 06:45:49 AM,11.71,8.22,,,,
126,02/26/19 06:55:49 AM,11.70,8.24,,,,
127,02/26/19 07:05:49 AM,11.68,8.26,,,,
128,02/26/19 07:15:49 AM,11.68,8.28,,,,
129,02/26/19 07:25:49 AM,11.66,8.30,,,,
130,02/26/19 07:35:49 AM,11.66,8.32,,,,
131,02/26/19 07:45:49 AM,11.65,8.34,,,,
132,02/26/19 07:55:49 AM,11.64,8.36,,,,
133,02/26/19 08:05:49 AM,11.64,8.36,,,,
134,02/26/19 08:15:49 AM,11.64,8.38,,,,
135,02/26/19 08:25:49 AM,11.64,8.40,,,,
136,02/26/19 08:35:49 AM,11.63,8.40,,,,
137,02/26/19 08:45:49 AM,11.63,8.40,,,,
138,02/26/19 08:55:49 AM,11.62,8.42,,,,
139,02/26/19 09:05:49 AM,11.63,8.42,,,,
140,02/26/19 09:15:49 AM,11.63,8.44,,,,
141,02/26/19 09:25:49 AM,11.63,8.44,,,,
142,02/26/19 09:35:49 AM,11.63,8.46,,,,
143,02/26/19 09:45:49 AM,11.63,8.46,,,,
144,02/26/19 09:55:49 AM,11.64,8.46,,,,
145,02/26/19 10:05:49 AM,11.61,8.46,,,,
146,02/26/19 10:15:49 AM,11.58,8.48,,,,
147,02/26/19 10:25:49 AM,11.55,8.48,,,,
148,02/26/19 10:35:49 AM,11.52,8.50,,,,
149,02/26/19 10:45:49 AM,11.51,8.50,,,,
150,02/26/19 10:55:49 AM,11.49,8.52,,,,
151,02/26/19 11:05:49 AM,11.48,8.52,,,,
152,02/26/19 11:15:49 AM,11.48,8.54,,,,
153,02/26/19 11:25:49 AM,11.46,8.54,,,,
154,02/26/19 11:35:49 AM,11.46,8.54,,,,
155,02/26/19 11:45:49 AM,11.46,8.56,,,,
156,02/26/19 11:55:49 AM,11.45,8.56,,,,
157,02/26/19 12:05:49 PM,11.46,8.56,,,,
158,02/26/19 12:15:49 PM,11.45,8.58,,,,
159,02/26/19 12:25:49 PM,11.47,8.58,,,,
160,02/26/19 12:35:49 PM,11.48,8.60,,,,
161,02/26/19 12:45:49 PM,11.50,8.60,,,,
162,02/26/19 12:55:49 PM,11.51,8.60,,,,
163,02/26/19 01:05:49 PM,11.53,8.60,,,,
164,02/26/19 01:15:49 PM,11.53,8.62,,,,
165,02/26/19 01:25:49 PM,11.53,8.62,,,,
166,02/26/19 01:35:49 PM,11.54,8.62,,,,
