"Plot Title: SalmonShedLight/TempLogger_ChaseCorner"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20454914, SEN S/N: 20454914)","Intensity, lum/ft² (LGR S/N: 20454914, SEN S/N: 20454914)","Coupler Attached (LGR S/N: 20454914)","Coupler Detached (LGR S/N: 20454914)","Stopped (LGR S/N: 20454914)","End Of File (LGR S/N: 20454914)"
1,03/04/19 08:23:01 AM,4.934,4.0,,,,
2,03/04/19 08:33:01 AM,4.934,4.0,,,,
3,03/04/19 08:43:01 AM,4.831,5.0,,,,
4,03/04/19 08:53:01 AM,4.831,4.0,,,,
5,03/04/19 09:03:01 AM,5.037,4.0,,,,
6,03/04/19 09:13:01 AM,5.347,4.0,,,,
7,03/04/19 09:23:01 AM,5.860,5.0,,,,
8,03/04/19 09:33:01 AM,6.370,4.0,,,,
9,03/04/19 09:43:01 AM,6.877,4.0,,,,
10,03/04/19 09:53:01 AM,7.280,4.0,,,,
11,03/04/19 10:03:01 AM,7.582,4.0,,,,
12,03/04/19 10:13:01 AM,7.882,4.0,,,,
13,03/04/19 10:23:01 AM,8.182,4.0,,,,
14,03/04/19 10:33:01 AM,8.382,4.0,,,,
15,03/04/19 10:43:01 AM,8.581,4.0,,,,
16,03/04/19 10:53:01 AM,8.879,5.0,,,,
17,03/04/19 11:03:01 AM,8.978,4.0,,,,
18,03/04/19 11:13:01 AM,9.275,5.0,,,,
19,03/04/19 11:23:01 AM,9.373,4.0,,,,
20,03/04/19 11:33:01 AM,9.472,4.0,,,,
21,03/04/19 11:43:01 AM,9.669,4.0,,,,
22,03/04/19 11:53:01 AM,9.866,4.0,,,,
23,03/04/19 12:03:01 PM,10.063,4.0,,,,
24,03/04/19 12:13:01 PM,10.161,5.0,,,,
25,03/04/19 12:23:01 PM,10.455,4.0,,,,
26,03/04/19 12:33:01 PM,10.748,4.0,,,,
27,03/04/19 12:43:01 PM,10.846,4.0,,,,
28,03/04/19 12:53:01 PM,10.944,4.0,,,,
29,03/04/19 01:03:01 PM,11.041,5.0,,,,
30,03/04/19 01:13:01 PM,11.041,4.0,,,,
31,03/04/19 01:23:01 PM,10.944,5.0,,,,
32,03/04/19 01:33:01 PM,10.944,5.0,,,,
33,03/04/19 01:43:01 PM,10.846,5.0,,,,
34,03/04/19 01:53:01 PM,10.748,5.0,,,,
35,03/04/19 02:03:01 PM,10.553,4.0,,,,
36,03/04/19 02:13:01 PM,10.455,4.0,,,,
37,03/04/19 02:23:01 PM,10.259,4.0,,,,
38,03/04/19 02:33:01 PM,10.063,4.0,,,,
39,03/04/19 02:43:01 PM,9.965,4.0,,,,
40,03/04/19 02:53:01 PM,9.768,4.0,,,,
41,03/04/19 03:03:01 PM,9.669,4.0,,,,
42,03/04/19 03:13:01 PM,9.472,4.0,,,,
43,03/04/19 03:23:01 PM,9.373,4.0,,,,
44,03/04/19 03:33:01 PM,9.176,3.0,,,,
45,03/04/19 03:43:01 PM,8.978,3.0,,,,
46,03/04/19 03:53:01 PM,8.779,3.0,,,,
47,03/04/19 04:03:01 PM,8.481,4.0,,,,
48,03/04/19 04:13:01 PM,8.182,3.0,,,,
49,03/04/19 04:23:01 PM,7.882,4.0,,,,
50,03/04/19 04:33:01 PM,7.682,3.0,,,,
51,03/04/19 04:43:01 PM,7.481,0.0,,,,
52,03/04/19 04:53:01 PM,7.280,0.0,,,,
53,03/04/19 05:03:01 PM,7.079,0.0,,,,
54,03/04/19 05:13:01 PM,6.978,0.0,,,,
55,03/04/19 05:23:01 PM,6.775,0.0,,,,
56,03/04/19 05:33:01 PM,6.573,0.0,,,,
57,03/04/19 05:43:01 PM,6.471,0.0,,,,
58,03/04/19 05:53:01 PM,6.370,0.0,,,,
59,03/04/19 06:03:01 PM,6.268,0.0,,,,
60,03/04/19 06:13:01 PM,6.166,0.0,,,,
61,03/04/19 06:23:01 PM,6.064,0.0,,,,
62,03/04/19 06:33:01 PM,5.962,0.0,,,,
63,03/04/19 06:43:01 PM,5.860,0.0,,,,
64,03/04/19 06:53:01 PM,5.757,0.0,,,,
65,03/04/19 07:03:01 PM,5.757,0.0,,,,
66,03/04/19 07:13:01 PM,5.655,0.0,,,,
67,03/04/19 07:23:01 PM,5.552,0.0,,,,
68,03/04/19 07:33:01 PM,5.450,0.0,,,,
69,03/04/19 07:43:01 PM,5.141,0.0,,,,
70,03/04/19 07:53:01 PM,4.934,0.0,,,,
71,03/04/19 08:03:01 PM,4.831,0.0,,,,
72,03/04/19 08:13:01 PM,4.623,0.0,,,,
73,03/04/19 08:23:01 PM,4.519,0.0,,,,
74,03/04/19 08:33:01 PM,4.519,0.0,,,,
75,03/04/19 08:43:01 PM,4.415,0.0,,,,
76,03/04/19 08:53:01 PM,4.207,0.0,,,,
77,03/04/19 09:03:01 PM,4.102,0.0,,,,
78,03/04/19 09:13:01 PM,4.102,0.0,,,,
79,03/04/19 09:23:01 PM,4.207,0.0,,,,
80,03/04/19 09:33:01 PM,4.207,0.0,,,,
81,03/04/19 09:43:01 PM,4.207,0.0,,,,
82,03/04/19 09:53:01 PM,4.207,0.0,,,,
83,03/04/19 10:03:01 PM,3.998,0.0,,,,
84,03/04/19 10:13:01 PM,3.893,0.0,,,,
85,03/04/19 10:23:01 PM,3.788,0.0,,,,
86,03/04/19 10:33:01 PM,3.683,0.0,,,,
87,03/04/19 10:43:01 PM,3.683,0.0,,,,
88,03/04/19 10:53:01 PM,3.578,0.0,,,,
89,03/04/19 11:03:01 PM,3.367,0.0,,,,
90,03/04/19 11:13:01 PM,3.261,0.0,,,,
91,03/04/19 11:23:01 PM,3.155,0.0,,,,
92,03/04/19 11:33:01 PM,3.049,0.0,,,,
93,03/04/19 11:43:01 PM,3.049,0.0,,,,
94,03/04/19 11:53:01 PM,2.943,0.0,,,,
95,03/05/19 12:03:01 AM,2.943,0.0,,,,
96,03/05/19 12:13:01 AM,2.837,0.0,,,,
97,03/05/19 12:23:01 AM,2.837,0.0,,,,
98,03/05/19 12:33:01 AM,2.837,0.0,,,,
99,03/05/19 12:43:01 AM,2.837,0.0,,,,
100,03/05/19 12:53:01 AM,2.624,0.0,,,,
101,03/05/19 01:03:01 AM,2.624,0.0,,,,
102,03/05/19 01:13:01 AM,2.624,0.0,,,,
103,03/05/19 01:23:01 AM,2.624,0.0,,,,
104,03/05/19 01:33:01 AM,2.517,0.0,,,,
105,03/05/19 01:43:01 AM,2.517,0.0,,,,
106,03/05/19 01:53:01 AM,2.410,0.0,,,,
107,03/05/19 02:03:01 AM,2.517,0.0,,,,
108,03/05/19 02:13:01 AM,2.517,0.0,,,,
109,03/05/19 02:23:01 AM,2.410,0.0,,,,
110,03/05/19 02:33:01 AM,2.410,0.0,,,,
111,03/05/19 02:43:01 AM,2.303,0.0,,,,
112,03/05/19 02:53:01 AM,2.410,0.0,,,,
113,03/05/19 03:03:01 AM,2.410,0.0,,,,
114,03/05/19 03:13:01 AM,2.410,0.0,,,,
115,03/05/19 03:23:01 AM,2.303,0.0,,,,
116,03/05/19 03:33:01 AM,2.303,0.0,,,,
117,03/05/19 03:43:01 AM,2.303,0.0,,,,
118,03/05/19 03:53:01 AM,2.410,0.0,,,,
119,03/05/19 04:03:01 AM,2.303,0.0,,,,
120,03/05/19 04:13:01 AM,2.195,0.0,,,,
121,03/05/19 04:23:01 AM,2.303,0.0,,,,
122,03/05/19 04:33:01 AM,2.195,0.0,,,,
123,03/05/19 04:43:01 AM,2.195,0.0,,,,
124,03/05/19 04:53:01 AM,2.195,0.0,,,,
125,03/05/19 05:03:01 AM,2.195,0.0,,,,
126,03/05/19 05:13:01 AM,2.195,0.0,,,,
127,03/05/19 05:23:01 AM,2.195,0.0,,,,
128,03/05/19 05:33:01 AM,2.195,0.0,,,,
129,03/05/19 05:43:01 AM,2.303,0.0,,,,
130,03/05/19 05:53:01 AM,2.195,0.0,,,,
131,03/05/19 06:03:01 AM,2.195,0.0,,,,
132,03/05/19 06:13:01 AM,2.195,0.0,,,,
133,03/05/19 06:23:01 AM,2.088,0.0,,,,
134,03/05/19 06:33:01 AM,2.088,0.0,,,,
135,03/05/19 06:43:01 AM,2.195,0.0,,,,
136,03/05/19 06:53:01 AM,2.195,0.0,,,,
137,03/05/19 07:03:01 AM,2.195,0.0,,,,
138,03/05/19 07:13:01 AM,2.303,0.0,,,,
139,03/05/19 07:23:01 AM,2.410,0.0,,,,
140,03/05/19 07:33:01 AM,2.624,1.0,,,,
141,03/05/19 07:43:01 AM,2.943,1.0,,,,
142,03/05/19 07:53:01 AM,3.367,0.0,,,,
143,03/05/19 08:03:01 AM,3.683,0.0,,,,
144,03/05/19 08:13:01 AM,4.102,4.0,,,,
145,03/05/19 08:23:01 AM,4.623,4.0,,,,
146,03/05/19 08:33:01 AM,4.934,4.0,,,,
147,03/05/19 08:43:01 AM,5.347,4.0,,,,
148,03/05/19 08:53:01 AM,5.757,4.0,,,,
149,03/05/19 09:03:01 AM,6.064,4.0,,,,
150,03/05/19 09:13:01 AM,6.471,5.0,,,,
151,03/05/19 09:23:01 AM,6.775,4.0,,,,
152,03/05/19 09:33:01 AM,7.280,4.0,,,,
153,03/05/19 09:43:01 AM,7.481,4.0,,,,
154,03/05/19 09:53:01 AM,7.682,4.0,,,,
155,03/05/19 10:03:01 AM,7.983,4.0,,,,
156,03/05/19 10:13:01 AM,8.282,4.0,,,,
157,03/05/19 10:23:01 AM,8.581,4.0,,,,
158,03/05/19 10:33:01 AM,8.779,4.0,,,,
159,03/05/19 10:43:01 AM,8.978,4.0,,,,
160,03/05/19 10:53:01 AM,9.176,4.0,,,,
161,03/05/19 11:03:01 AM,9.176,4.0,,,,
162,03/05/19 11:13:01 AM,9.472,5.0,,,,
163,03/05/19 11:23:01 AM,9.472,4.0,,,,
164,03/05/19 11:33:01 AM,9.669,4.0,,,,
165,03/05/19 11:43:01 AM,9.866,4.0,,,,
166,03/05/19 11:53:01 AM,10.063,4.0,,,,
167,03/05/19 12:03:01 PM,10.259,4.0,,,,
168,03/05/19 12:13:01 PM,10.553,4.0,,,,
169,03/05/19 12:23:01 PM,10.748,5.0,,,,
170,03/05/19 12:33:01 PM,10.944,4.0,,,,
171,03/05/19 12:43:01 PM,10.846,4.0,,,,
172,03/05/19 12:53:01 PM,10.651,4.0,,,,
173,03/05/19 01:03:01 PM,10.455,5.0,,,,
174,03/05/19 01:13:01 PM,10.357,4.0,,,,
175,03/05/19 01:23:01 PM,10.357,4.0,,,,
176,03/05/19 01:33:01 PM,10.357,5.0,,,,
177,03/05/19 01:43:01 PM,10.357,5.0,,,,
178,03/05/19 01:53:01 PM,10.357,5.0,,,,
179,03/05/19 02:03:01 PM,10.259,4.0,,,,
180,03/05/19 02:13:01 PM,10.161,4.0,,,,
181,03/05/19 02:23:01 PM,10.063,4.0,,,,
182,03/05/19 02:33:01 PM,9.965,4.0,,,,
183,03/05/19 02:43:01 PM,9.768,3.0,,,,
184,03/05/19 02:53:01 PM,9.669,4.0,,,,
185,03/05/19 03:03:01 PM,9.571,4.0,,,,
186,03/05/19 03:13:01 PM,9.373,4.0,,,,
187,03/05/19 03:23:01 PM,9.275,4.0,,,,
188,03/05/19 03:33:01 PM,9.077,4.0,,,,
189,03/05/19 03:43:01 PM,8.978,4.0,,,,
190,03/05/19 03:53:01 PM,8.879,4.0,,,,
191,03/05/19 04:03:01 PM,8.680,4.0,,,,
192,03/05/19 04:13:01 PM,8.481,3.0,,,,
193,03/05/19 04:23:01 PM,8.282,3.0,,,,
194,03/05/19 04:33:01 PM,7.983,3.0,,,,
195,03/05/19 04:43:01 PM,7.782,0.0,,,,
196,03/05/19 04:53:01 PM,7.582,0.0,,,,
197,03/05/19 05:03:01 PM,7.481,0.0,,,,
198,03/05/19 05:13:01 PM,7.280,0.0,,,,
199,03/05/19 05:23:01 PM,7.079,0.0,,,,
200,03/05/19 05:33:01 PM,6.978,0.0,,,,
201,03/05/19 05:43:01 PM,6.775,0.0,,,,
202,03/05/19 05:53:01 PM,6.674,0.0,,,,
203,03/05/19 06:03:01 PM,6.674,0.0,,,,
204,03/05/19 06:13:01 PM,6.573,0.0,,,,
205,03/05/19 06:23:01 PM,6.471,0.0,,,,
206,03/05/19 06:33:01 PM,6.471,0.0,,,,
207,03/05/19 06:43:01 PM,6.370,0.0,,,,
208,03/05/19 06:53:01 PM,6.268,0.0,,,,
209,03/05/19 07:03:01 PM,6.268,0.0,,,,
210,03/05/19 07:13:01 PM,6.166,0.0,,,,
211,03/05/19 07:23:01 PM,6.166,0.0,,,,
212,03/05/19 07:33:01 PM,6.064,0.0,,,,
213,03/05/19 07:43:01 PM,5.962,0.0,,,,
214,03/05/19 07:53:01 PM,5.962,0.0,,,,
215,03/05/19 08:03:01 PM,5.860,0.0,,,,
216,03/05/19 08:13:01 PM,5.655,0.0,,,,
217,03/05/19 08:23:01 PM,5.450,0.0,,,,
218,03/05/19 08:33:01 PM,5.244,0.0,,,,
219,03/05/19 08:43:01 PM,5.347,0.0,,,,
220,03/05/19 08:53:01 PM,5.450,0.0,,,,
221,03/05/19 09:03:01 PM,5.450,0.0,,,,
222,03/05/19 09:13:01 PM,5.450,0.0,,,,
223,03/05/19 09:23:01 PM,5.450,0.0,,,,
224,03/05/19 09:33:01 PM,5.244,0.0,,,,
225,03/05/19 09:43:01 PM,5.037,0.0,,,,
226,03/05/19 09:53:01 PM,4.934,0.0,,,,
227,03/05/19 10:03:01 PM,4.934,0.0,,,,
228,03/05/19 10:13:01 PM,4.934,0.0,,,,
229,03/05/19 10:23:01 PM,5.037,0.0,,,,
230,03/05/19 10:33:01 PM,5.037,0.0,,,,
231,03/05/19 10:43:01 PM,4.934,0.0,,,,
232,03/05/19 10:53:01 PM,4.831,0.0,,,,
233,03/05/19 11:03:01 PM,4.727,0.0,,,,
234,03/05/19 11:13:01 PM,4.727,0.0,,,,
235,03/05/19 11:23:01 PM,4.727,0.0,,,,
236,03/05/19 11:33:01 PM,4.727,0.0,,,,
237,03/05/19 11:43:01 PM,4.623,0.0,,,,
238,03/05/19 11:53:01 PM,4.415,0.0,,,,
239,03/06/19 12:03:01 AM,4.207,0.0,,,,
240,03/06/19 12:13:01 AM,3.998,0.0,,,,
241,03/06/19 12:23:01 AM,3.893,0.0,,,,
242,03/06/19 12:33:01 AM,3.893,0.0,,,,
243,03/06/19 12:43:01 AM,3.788,0.0,,,,
244,03/06/19 12:53:01 AM,3.788,0.0,,,,
245,03/06/19 01:03:01 AM,3.683,0.0,,,,
246,03/06/19 01:13:01 AM,3.683,0.0,,,,
247,03/06/19 01:23:01 AM,3.578,0.0,,,,
248,03/06/19 01:33:01 AM,3.578,0.0,,,,
249,03/06/19 01:43:01 AM,3.578,0.0,,,,
250,03/06/19 01:53:01 AM,3.578,0.0,,,,
251,03/06/19 02:03:01 AM,3.578,0.0,,,,
252,03/06/19 02:13:01 AM,3.683,0.0,,,,
253,03/06/19 02:23:01 AM,3.578,0.0,,,,
254,03/06/19 02:33:01 AM,3.683,0.0,,,,
255,03/06/19 02:43:01 AM,3.683,0.0,,,,
256,03/06/19 02:53:01 AM,3.788,0.0,,,,
257,03/06/19 03:03:01 AM,3.683,0.0,,,,
258,03/06/19 03:13:01 AM,3.683,0.0,,,,
259,03/06/19 03:23:01 AM,3.578,0.0,,,,
260,03/06/19 03:33:01 AM,3.472,0.0,,,,
261,03/06/19 03:43:01 AM,3.472,0.0,,,,
262,03/06/19 03:53:01 AM,3.472,0.0,,,,
263,03/06/19 04:03:01 AM,3.472,0.0,,,,
264,03/06/19 04:13:01 AM,3.472,0.0,,,,
265,03/06/19 04:23:01 AM,3.367,0.0,,,,
266,03/06/19 04:33:01 AM,3.367,0.0,,,,
267,03/06/19 04:43:01 AM,3.472,0.0,,,,
268,03/06/19 04:53:01 AM,3.472,0.0,,,,
269,03/06/19 05:03:01 AM,3.578,0.0,,,,
270,03/06/19 05:13:01 AM,3.578,0.0,,,,
271,03/06/19 05:23:01 AM,3.788,0.0,,,,
272,03/06/19 05:33:01 AM,3.893,0.0,,,,
273,03/06/19 05:43:01 AM,4.207,0.0,,,,
274,03/06/19 05:53:01 AM,4.415,0.0,,,,
275,03/06/19 06:03:01 AM,4.519,0.0,,,,
276,03/06/19 06:13:01 AM,4.519,0.0,,,,
277,03/06/19 06:23:01 AM,4.623,0.0,,,,
278,03/06/19 06:33:01 AM,4.727,0.0,,,,
279,03/06/19 06:43:01 AM,4.727,0.0,,,,
280,03/06/19 06:53:01 AM,4.727,0.0,,,,
281,03/06/19 07:03:01 AM,4.831,0.0,,,,
282,03/06/19 07:13:01 AM,4.831,0.0,,,,
283,03/06/19 07:23:01 AM,4.831,0.0,,,,
284,03/06/19 07:33:01 AM,4.934,0.0,,,,
285,03/06/19 07:43:01 AM,5.037,0.0,,,,
286,03/06/19 07:53:01 AM,5.141,0.0,,,,
287,03/06/19 08:03:01 AM,5.244,0.0,,,,
288,03/06/19 08:13:01 AM,5.450,3.0,,,,
289,03/06/19 08:23:01 AM,5.655,3.0,,,,
290,03/06/19 08:33:01 AM,5.860,4.0,,,,
291,03/06/19 08:43:01 AM,6.064,3.0,,,,
292,03/06/19 08:53:01 AM,6.166,3.0,,,,
293,03/06/19 09:03:01 AM,6.370,4.0,,,,
294,03/06/19 09:13:01 AM,6.573,3.0,,,,
295,03/06/19 09:23:01 AM,6.573,3.0,,,,
296,03/06/19 09:33:01 AM,6.674,3.0,,,,
297,03/06/19 09:43:01 AM,6.471,4.0,,,,
298,03/06/19 09:53:01 AM,6.370,3.0,,,,
299,03/06/19 10:03:01 AM,6.370,3.0,,,,
300,03/06/19 10:13:01 AM,6.370,4.0,,,,
301,03/06/19 10:23:01 AM,6.573,3.0,,,,
302,03/06/19 10:33:01 AM,6.674,4.0,,,,
303,03/06/19 10:43:01 AM,6.775,3.0,,,,
304,03/06/19 10:53:01 AM,6.775,3.0,,,,
305,03/06/19 11:03:01 AM,6.775,3.0,,,,
306,03/06/19 11:13:01 AM,6.877,4.0,,,,
307,03/06/19 11:23:01 AM,6.877,3.0,,,,
308,03/06/19 11:33:01 AM,6.877,3.0,,,,
309,03/06/19 11:43:01 AM,6.775,3.0,,,,
310,03/06/19 11:53:01 AM,6.573,3.0,,,,
311,03/06/19 12:03:01 PM,6.370,3.0,,,,
312,03/06/19 12:13:01 PM,6.370,3.0,,,,
313,03/06/19 12:23:01 PM,6.268,4.0,,,,
314,03/06/19 12:33:01 PM,6.064,3.0,,,,
315,03/06/19 12:43:01 PM,5.962,3.0,,,,
316,03/06/19 12:53:01 PM,5.757,3.0,,,,
317,03/06/19 01:03:01 PM,5.757,3.0,,,,
318,03/06/19 01:13:01 PM,5.655,3.0,,,,
319,03/06/19 01:23:01 PM,5.552,3.0,,,,
320,03/06/19 01:33:01 PM,5.552,3.0,,,,
321,03/06/19 01:43:01 PM,5.552,3.0,,,,
322,03/06/19 01:53:01 PM,5.552,3.0,,,,
323,03/06/19 02:03:01 PM,5.552,3.0,,,,
324,03/06/19 02:13:01 PM,5.552,3.0,,,,
325,03/06/19 02:23:01 PM,5.450,3.0,,,,
326,03/06/19 02:33:01 PM,5.450,3.0,,,,
327,03/06/19 02:43:01 PM,5.450,3.0,,,,
328,03/06/19 02:53:01 PM,5.552,3.0,,,,
329,03/06/19 03:03:01 PM,5.552,3.0,,,,
330,03/06/19 03:13:01 PM,5.655,3.0,,,,
331,03/06/19 03:23:01 PM,5.655,4.0,,,,
332,03/06/19 03:33:01 PM,5.552,3.0,,,,
333,03/06/19 03:43:01 PM,5.552,3.0,,,,
334,03/06/19 03:53:01 PM,5.552,3.0,,,,
335,03/06/19 04:03:01 PM,5.552,3.0,,,,
336,03/06/19 04:13:01 PM,5.450,3.0,,,,
337,03/06/19 04:23:01 PM,5.347,3.0,,,,
338,03/06/19 04:33:01 PM,5.347,3.0,,,,
339,03/06/19 04:43:01 PM,5.347,0.0,,,,
340,03/06/19 04:53:01 PM,5.244,0.0,,,,
341,03/06/19 05:03:01 PM,5.244,0.0,,,,
342,03/06/19 05:13:01 PM,5.244,0.0,,,,
343,03/06/19 05:23:01 PM,5.244,0.0,,,,
344,03/06/19 05:33:01 PM,5.244,0.0,,,,
345,03/06/19 05:43:01 PM,5.244,0.0,,,,
346,03/06/19 05:53:01 PM,5.244,0.0,,,,
347,03/06/19 06:03:01 PM,5.244,0.0,,,,
348,03/06/19 06:13:01 PM,5.244,0.0,,,,
