"Plot Title: 06-28MAY19_20454092_DO_Logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Expired Sensor Cap (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,05/07/19 11:25:49 AM,11.22,10.24,11.22,99.0,,,,
2,05/07/19 11:35:49 AM,11.33,10.00,11.33,99.4,,,,
3,05/07/19 11:45:49 AM,11.35,9.96,11.35,99.5,,,,
4,05/07/19 11:55:49 AM,11.33,9.96,11.33,99.4,,,,
5,05/07/19 12:05:49 PM,11.34,9.98,11.34,99.5,,,,
6,05/07/19 12:15:49 PM,11.33,9.98,11.33,99.4,,,,
7,05/07/19 12:25:49 PM,11.35,10.00,11.35,99.6,,,,
8,05/07/19 12:35:49 PM,11.34,10.02,11.34,99.6,,,,
9,05/07/19 12:45:49 PM,11.35,10.04,11.35,99.7,,,,
10,05/07/19 12:55:49 PM,11.35,10.06,11.35,99.8,,,,
11,05/07/19 01:05:49 PM,11.35,10.10,11.35,99.9,,,,
12,05/07/19 01:15:49 PM,11.34,10.12,11.34,99.8,,,,
13,05/07/19 01:25:49 PM,11.32,10.14,11.32,99.7,,,,
14,05/07/19 01:35:49 PM,11.32,10.16,11.32,99.7,,,,
15,05/07/19 01:45:49 PM,11.33,10.18,11.33,99.9,,,,
16,05/07/19 01:55:49 PM,11.32,10.18,11.32,99.8,,,,
17,05/07/19 02:05:49 PM,11.31,10.20,11.31,99.7,,,,
18,05/07/19 02:15:49 PM,11.31,10.20,11.31,99.7,,,,
19,05/07/19 02:25:49 PM,11.31,10.20,11.31,99.7,,,,
20,05/07/19 02:35:49 PM,11.30,10.22,11.30,99.7,,,,
21,05/07/19 02:45:49 PM,11.30,10.22,11.30,99.7,,,,
22,05/07/19 02:55:49 PM,11.30,10.22,11.30,99.7,,,,
23,05/07/19 03:05:49 PM,11.31,10.22,11.31,99.8,,,,
24,05/07/19 03:15:49 PM,11.31,10.24,11.31,99.8,,,,
25,05/07/19 03:25:49 PM,11.31,10.24,11.31,99.8,,,,
26,05/07/19 03:35:49 PM,11.32,10.24,11.32,99.9,,,,
27,05/07/19 03:45:49 PM,11.31,10.24,11.31,99.8,,,,
28,05/07/19 03:55:49 PM,11.31,10.22,11.31,99.8,,,,
29,05/07/19 04:05:49 PM,11.31,10.22,11.31,99.8,,,,
30,05/07/19 04:15:49 PM,11.30,10.20,11.30,99.7,,,,
31,05/07/19 04:25:49 PM,11.30,10.18,11.30,99.6,,,,
32,05/07/19 04:35:49 PM,11.32,10.18,11.32,99.8,,,,
33,05/07/19 04:45:49 PM,11.32,10.18,11.32,99.8,,,,
34,05/07/19 04:55:49 PM,11.33,10.18,11.33,99.9,,,,
35,05/07/19 05:05:49 PM,11.34,10.16,11.34,99.9,,,,
36,05/07/19 05:15:49 PM,11.33,10.18,11.33,99.9,,,,
37,05/07/19 05:25:49 PM,11.34,10.18,11.34,100.0,,,,
38,05/07/19 05:35:49 PM,11.34,10.18,11.34,100.0,,,,
39,05/07/19 05:45:49 PM,11.34,10.20,11.34,100.0,,,,
40,05/07/19 05:55:49 PM,11.34,10.22,11.34,100.1,,,,
41,05/07/19 06:05:49 PM,11.35,10.22,11.35,100.1,,,,
42,05/07/19 06:15:49 PM,11.34,10.24,11.34,100.1,,,,
43,05/07/19 06:25:49 PM,11.33,10.24,11.33,100.0,,,,
44,05/07/19 06:35:49 PM,11.33,10.22,11.33,100.0,,,,
45,05/07/19 06:45:49 PM,11.34,10.22,11.34,100.1,,,,
46,05/07/19 06:55:49 PM,11.33,10.20,11.33,99.9,,,,
47,05/07/19 07:05:49 PM,11.35,10.20,11.35,100.1,,,,
48,05/07/19 07:15:49 PM,11.34,10.20,11.34,100.0,,,,
49,05/07/19 07:25:49 PM,11.35,10.20,11.35,100.1,,,,
50,05/07/19 07:35:49 PM,11.34,10.18,11.34,100.0,,,,
51,05/07/19 07:45:49 PM,11.34,10.18,11.34,100.0,,,,
52,05/07/19 07:55:49 PM,11.34,10.16,11.34,99.9,,,,
53,05/07/19 08:05:49 PM,11.35,10.16,11.35,100.0,,,,
54,05/07/19 08:15:49 PM,11.33,10.14,11.33,99.8,,,,
55,05/07/19 08:25:49 PM,11.34,10.10,11.34,99.8,,,,
56,05/07/19 08:35:49 PM,11.33,10.08,11.33,99.6,,,,
57,05/07/19 08:45:49 PM,11.35,10.06,11.35,99.8,,,,
58,05/07/19 08:55:49 PM,11.33,10.02,11.33,99.5,,,,
59,05/07/19 09:05:49 PM,11.34,9.98,11.34,99.5,,,,
60,05/07/19 09:15:49 PM,11.32,9.96,11.32,99.3,,,,
61,05/07/19 09:25:49 PM,11.35,9.92,11.35,99.4,,,,
62,05/07/19 09:35:49 PM,11.34,9.90,11.34,99.3,,,,
63,05/07/19 09:45:49 PM,11.35,9.90,11.35,99.4,,,,
64,05/07/19 09:55:49 PM,11.36,9.88,11.36,99.4,,,,
65,05/07/19 10:05:49 PM,11.35,9.86,11.35,99.3,,,,
66,05/07/19 10:15:49 PM,11.37,9.86,11.37,99.5,,,,
67,05/07/19 10:25:49 PM,11.36,9.84,11.36,99.3,,,,
68,05/07/19 10:35:49 PM,11.37,9.82,11.37,99.4,,,,
69,05/07/19 10:45:49 PM,11.38,9.82,11.38,99.5,,,,
70,05/07/19 10:55:49 PM,11.36,9.80,11.36,99.2,,,,
71,05/07/19 11:05:49 PM,11.37,9.80,11.37,99.3,,,,
72,05/07/19 11:15:49 PM,11.36,9.78,11.36,99.2,,,,
73,05/07/19 11:25:49 PM,11.37,9.78,11.37,99.3,,,,
74,05/07/19 11:35:49 PM,11.38,9.76,11.38,99.3,,,,
75,05/07/19 11:45:49 PM,11.38,9.76,11.38,99.3,,,,
76,05/07/19 11:55:49 PM,11.37,9.74,11.37,99.2,,,,
77,05/08/19 12:05:49 AM,11.37,9.72,11.37,99.1,,,,
78,05/08/19 12:15:49 AM,11.36,9.70,11.36,99.0,,,,
79,05/08/19 12:25:49 AM,11.38,9.70,11.38,99.2,,,,
80,05/08/19 12:35:49 AM,11.38,9.68,11.38,99.1,,,,
81,05/08/19 12:45:49 AM,11.38,9.66,11.38,99.1,,,,
82,05/08/19 12:55:49 AM,11.39,9.66,11.39,99.2,,,,
83,05/08/19 01:05:49 AM,11.39,9.66,11.39,99.2,,,,
84,05/08/19 01:15:49 AM,11.39,9.64,11.39,99.1,,,,
85,05/08/19 01:25:49 AM,11.39,9.64,11.39,99.1,,,,
86,05/08/19 01:35:49 AM,11.39,9.66,11.39,99.2,,,,
87,05/08/19 01:45:49 AM,11.42,9.64,11.42,99.4,,,,
88,05/08/19 01:55:49 AM,11.38,9.66,11.38,99.1,,,,
89,05/08/19 02:05:49 AM,11.42,9.66,11.42,99.4,,,,
90,05/08/19 02:15:49 AM,11.41,9.66,11.41,99.3,,,,
91,05/08/19 02:25:49 AM,11.39,9.66,11.39,99.2,,,,
92,05/08/19 02:35:49 AM,11.38,9.68,11.38,99.1,,,,
93,05/08/19 02:45:49 AM,11.42,9.68,11.42,99.5,,,,
94,05/08/19 02:55:49 AM,11.44,9.70,11.44,99.7,,,,
95,05/08/19 03:05:49 AM,11.42,9.70,11.42,99.5,,,,
96,05/08/19 03:15:49 AM,11.43,9.72,11.43,99.7,,,,
97,05/08/19 03:25:49 AM,11.39,9.72,11.39,99.3,,,,
98,05/08/19 03:35:49 AM,11.39,9.74,11.39,99.4,,,,
99,05/08/19 03:45:49 AM,11.39,9.74,11.39,99.4,,,,
100,05/08/19 03:55:49 AM,11.41,9.72,11.41,99.5,,,,
101,05/08/19 04:05:49 AM,11.39,9.72,11.39,99.3,,,,
102,05/08/19 04:15:49 AM,11.42,9.72,11.42,99.6,,,,
103,05/08/19 04:25:49 AM,11.39,9.72,11.39,99.3,,,,
104,05/08/19 04:35:49 AM,11.42,9.72,11.42,99.6,,,,
105,05/08/19 04:45:49 AM,11.41,9.70,11.41,99.4,,,,
106,05/08/19 04:55:49 AM,11.41,9.70,11.41,99.4,,,,
107,05/08/19 05:05:49 AM,11.39,9.68,11.39,99.2,,,,
108,05/08/19 05:15:49 AM,11.41,9.66,11.41,99.3,,,,
109,05/08/19 05:25:49 AM,11.42,9.66,11.42,99.4,,,,
110,05/08/19 05:35:49 AM,11.42,9.64,11.42,99.4,,,,
111,05/08/19 05:45:49 AM,11.42,9.64,11.42,99.4,,,,
