"Plot Title: 04-11MAR19_20449374_Conductivity"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,03/04/19 09:21:30 AM,33041.7,28073.6,8.36,40856.0,26.1297,Logged,,,
2,03/04/19 09:31:30 AM,33041.7,28087.4,8.44,40792.7,26.0847,,,,
3,03/04/19 09:41:30 AM,33041.7,28087.4,8.44,40792.7,26.0847,,,,
4,03/04/19 09:51:30 AM,33041.7,28070.8,8.44,40768.8,26.0677,,,,
5,03/04/19 10:01:30 AM,33041.7,28087.4,8.45,40782.3,26.0773,,,,
6,03/04/19 10:11:30 AM,33041.7,28087.4,8.45,40782.3,26.0773,,,,
7,03/04/19 10:21:30 AM,33041.7,28081.9,8.45,40774.4,26.0717,,,,
8,03/04/19 10:31:30 AM,33041.7,28079.1,8.47,40749.6,26.0541,,,,
9,03/04/19 10:41:30 AM,33041.7,28065.3,8.48,40719.4,26.0327,,,,
10,03/04/19 10:51:30 AM,33041.7,28065.3,8.50,40698.7,26.0179,,,,
11,03/04/19 11:01:30 AM,33041.7,28070.8,8.52,40685.9,26.0089,,,,
12,03/04/19 11:11:30 AM,33041.7,28062.5,8.53,40663.6,25.9930,,,,
13,03/04/19 11:21:30 AM,33041.7,28084.6,8.57,40654.0,25.9862,,,,
14,03/04/19 11:31:30 AM,33041.7,28101.3,8.57,40678.0,26.0032,,,,
15,03/04/19 11:41:30 AM,33041.7,28101.3,8.58,40667.7,25.9959,,,,
16,03/04/19 11:51:30 AM,33041.7,28092.9,8.60,40635.0,25.9727,,,,
17,03/04/19 12:01:30 PM,33041.7,28129.0,8.60,40686.7,26.0094,,,,
18,03/04/19 12:11:30 PM,33041.7,28129.0,8.63,40655.7,25.9874,,,,
19,03/04/19 12:21:30 PM,33041.7,28123.4,8.63,40647.7,25.9817,,,,
20,03/04/19 12:31:30 PM,33041.7,28145.6,8.64,40669.2,25.9970,,,,
21,03/04/19 12:41:30 PM,33041.7,28151.2,8.65,40666.9,25.9954,,,,
22,03/04/19 12:51:30 PM,33041.7,28151.2,8.65,40666.9,25.9954,,,,
23,03/04/19 01:01:30 PM,33041.7,28156.7,8.66,40664.5,25.9936,,,,
24,03/04/19 01:11:30 PM,33041.7,28142.8,8.66,40644.6,25.9795,,,,
25,03/04/19 01:21:30 PM,33041.7,28181.7,8.67,40689.9,26.0117,,,,
26,03/04/19 01:31:30 PM,33041.7,28156.7,8.68,40643.8,25.9790,,,,
27,03/04/19 01:41:30 PM,33041.7,28167.8,8.70,40639.1,25.9756,,,,
28,03/04/19 01:51:30 PM,33041.7,28173.4,8.70,40647.1,25.9813,,,,
29,03/04/19 02:01:30 PM,33041.7,28173.4,8.70,40647.1,25.9813,,,,
30,03/04/19 02:11:30 PM,33041.7,28187.3,8.72,40646.4,25.9808,,,,
31,03/04/19 02:21:30 PM,33041.7,28165.0,8.72,40614.5,25.9582,,,,
32,03/04/19 02:31:30 PM,33041.7,28192.9,8.72,40654.4,25.9865,,,,
33,03/04/19 02:41:30 PM,33041.7,28178.9,8.72,40634.4,25.9723,,,,
34,03/04/19 02:51:30 PM,33041.7,28187.3,8.73,40636.1,25.9735,,,,
35,03/04/19 03:01:30 PM,33041.7,28170.6,8.73,40612.2,25.9565,,,,
36,03/04/19 03:11:30 PM,33041.7,28178.9,8.73,40624.1,25.9650,,,,
37,03/04/19 03:21:30 PM,33041.7,28201.2,8.73,40656.0,25.9876,,,,
38,03/04/19 03:31:30 PM,33041.7,28170.6,8.73,40612.2,25.9565,,,,
39,03/04/19 03:41:30 PM,33041.7,28187.3,8.73,40636.1,25.9735,,,,
40,03/04/19 03:51:30 PM,33041.7,28204.0,8.73,40660.0,25.9904,,,,
41,03/04/19 04:01:30 PM,33041.7,28204.0,8.73,40660.0,25.9904,,,,
42,03/04/19 04:11:30 PM,33041.7,28204.0,8.72,40670.3,25.9977,,,,
43,03/04/19 04:21:30 PM,33041.7,28195.6,8.73,40648.0,25.9819,,,,
44,03/04/19 04:31:30 PM,33041.7,28209.6,8.73,40668.0,25.9961,,,,
45,03/04/19 04:41:30 PM,33041.7,28195.6,8.72,40658.3,25.9892,,,,
46,03/04/19 04:51:30 PM,33041.7,28173.4,8.71,40636.8,25.9740,,,,
