"Plot Title: 20449374_Conductivity_FactoryCAL"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,12/03/18 01:01:30 PM,33041.7,30376.9,10.75,42530.5,Logged,,,
2,12/03/18 01:11:30 PM,33041.7,30351.7,10.76,42484.0,,,,
3,12/03/18 01:21:30 PM,33041.7,30358.0,10.78,42470.3,,,,
4,12/03/18 01:31:30 PM,33041.7,30358.0,10.78,42470.3,,,,
5,12/03/18 01:41:30 PM,33041.7,30351.7,10.80,42439.1,,,,
6,12/03/18 01:51:30 PM,33041.7,30329.7,10.81,42397.1,,,,
7,12/03/18 02:01:30 PM,33041.7,30367.4,10.82,42438.5,,,,
8,12/03/18 02:11:30 PM,33041.7,30367.4,10.82,42438.5,,,,
9,12/03/18 02:21:30 PM,33041.7,30364.3,10.83,42423.0,,,,
10,12/03/18 02:31:30 PM,33041.7,30367.4,10.84,42416.1,,,,
11,12/03/18 02:41:30 PM,33041.7,30383.2,10.84,42438.2,,,,
12,12/03/18 02:51:30 PM,33041.7,30383.2,10.84,42438.2,,,,
13,12/03/18 03:01:30 PM,33041.7,30402.1,10.85,42453.3,,,,
14,12/03/18 03:11:30 PM,33041.7,30411.6,10.85,42466.6,,,,
15,12/03/18 03:21:30 PM,33041.7,30402.1,10.86,42442.1,,,,
16,12/03/18 03:31:30 PM,33041.7,30411.6,10.86,42455.4,,,,
17,12/03/18 03:41:30 PM,33041.7,30402.1,10.86,42442.1,,,,
18,12/03/18 03:51:30 PM,33041.7,30392.7,10.86,42429.0,,,,
19,12/03/18 04:01:30 PM,33041.7,30430.5,10.88,42459.3,,,,
20,12/03/18 04:11:30 PM,33041.7,30414.7,10.88,42437.3,,,,
21,12/03/18 04:21:30 PM,33041.7,30417.9,10.88,42441.7,,,,
22,12/03/18 04:31:30 PM,33041.7,30392.7,10.86,42429.0,,,,
23,12/03/18 04:41:30 PM,33041.7,30405.3,10.86,42446.6,,,,
24,12/03/18 04:51:30 PM,33041.7,30421.1,10.86,42468.7,,,,
25,12/03/18 05:01:30 PM,33041.7,30430.5,10.86,42481.8,,,,
26,12/03/18 05:11:30 PM,33041.7,30402.1,10.85,42453.3,,,,
27,12/03/18 05:21:30 PM,33041.7,30392.7,10.86,42429.0,,,,
28,12/03/18 05:31:30 PM,33041.7,30421.1,10.86,42468.7,,,,
29,12/03/18 05:41:30 PM,33041.7,30402.1,10.85,42453.3,,,,
30,12/03/18 05:51:30 PM,33041.7,30402.1,10.84,42464.6,,,,
31,12/03/18 06:01:30 PM,33041.7,30367.4,10.84,42416.1,,,,
32,12/03/18 06:11:30 PM,33041.7,30402.1,10.84,42464.6,,,,
33,12/03/18 06:21:30 PM,33041.7,30383.2,10.83,42449.4,,,,
34,12/03/18 06:31:30 PM,33041.7,30376.9,10.83,42440.6,,,,
35,12/03/18 06:41:30 PM,33041.7,30395.8,10.82,42478.2,,,,
36,12/03/18 06:51:30 PM,33041.7,30332.8,10.82,42390.2,,,,
37,12/03/18 07:01:30 PM,33041.7,30386.4,10.80,42487.6,,,,
38,12/03/18 07:11:30 PM,33041.7,30358.0,10.80,42447.9,,,,
39,12/03/18 07:21:30 PM,33041.7,30358.0,10.77,42481.6,,,,
40,12/03/18 07:31:30 PM,33041.7,30370.6,10.77,42499.2,,,,
41,12/03/18 07:41:30 PM,33041.7,30361.1,10.77,42485.9,,,,
42,12/03/18 07:51:30 PM,33041.7,30342.3,10.76,42470.8,,,,
43,12/03/18 08:01:30 PM,33041.7,30370.6,10.75,42521.7,,,,
44,12/03/18 08:11:30 PM,33041.7,30386.4,10.74,42555.1,,,,
45,12/03/18 08:21:30 PM,33041.7,30336.0,10.74,42484.5,,,,
46,12/03/18 08:31:30 PM,33041.7,30370.6,10.73,42544.3,,,,
47,12/03/18 08:41:30 PM,33041.7,30336.0,10.73,42495.8,,,,
48,12/03/18 08:51:30 PM,33041.7,30351.7,10.73,42517.8,,,,
49,12/03/18 09:01:30 PM,33041.7,30336.0,10.73,42495.8,,,,
50,12/03/18 09:11:30 PM,33041.7,30336.0,10.72,42507.0,,,,
51,12/03/18 09:21:30 PM,33041.7,30326.5,10.73,42482.5,,,,
52,12/03/18 09:31:30 PM,33041.7,30307.7,10.72,42467.4,,,,
53,12/03/18 09:41:30 PM,33041.7,30361.1,10.72,42542.2,,,,
54,12/03/18 09:51:30 PM,33041.7,30336.0,10.72,42507.0,,,,
55,12/03/18 10:01:30 PM,33041.7,30336.0,10.72,42507.0,,,,
56,12/03/18 10:11:30 PM,33041.7,30361.1,10.72,42542.2,,,,
57,12/03/18 10:21:30 PM,33041.7,30339.1,10.72,42511.4,,,,
58,12/03/18 10:31:30 PM,33041.7,30288.9,10.73,42429.8,,,,
59,12/03/18 10:41:30 PM,33041.7,30358.0,10.74,42515.3,,,,
60,12/03/18 10:51:30 PM,33041.7,30342.3,10.74,42493.3,,,,
61,12/03/18 11:01:30 PM,33041.7,30336.0,10.74,42484.5,,,,
62,12/03/18 11:11:30 PM,33041.7,30336.0,10.75,42473.3,,,,
63,12/03/18 11:21:30 PM,33041.7,30307.7,10.76,42422.4,,,,
64,12/03/18 11:31:30 PM,33041.7,30307.7,10.76,42422.4,,,,
65,12/03/18 11:41:30 PM,33041.7,30326.5,10.76,42448.7,,,,
66,12/03/18 11:51:30 PM,33041.7,30298.3,10.76,42409.3,,,,
67,12/04/18 12:01:30 AM,33041.7,30298.3,10.76,42409.3,,,,
68,12/04/18 12:11:30 AM,33041.7,30282.6,10.76,42387.3,,,,
69,12/04/18 12:21:30 AM,33041.7,30307.7,10.75,42433.7,,,,
70,12/04/18 12:31:30 AM,33041.7,30288.9,10.75,42407.3,,,,
71,12/04/18 12:41:30 AM,33041.7,30292.0,10.74,42422.9,,,,
72,12/04/18 12:51:30 AM,33041.7,30298.3,10.74,42431.7,,,,
73,12/04/18 01:01:30 AM,33041.7,30273.2,10.73,42407.8,,,,
74,12/04/18 01:11:30 AM,33041.7,30301.4,10.73,42447.3,,,,
75,12/04/18 01:21:30 AM,33041.7,30301.4,10.74,42436.1,,,,
76,12/04/18 01:31:30 AM,33041.7,30288.9,10.73,42429.8,,,,
