"Plot Title: 19-25FEB19_20449374_Conductivity"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,02/19/19 10:11:30 AM,33041.7,28192.9,8.76,40613.2,25.9572,Logged,,,
2,02/19/19 10:21:30 AM,33041.7,28153.9,8.72,40598.7,25.9469,,,,
3,02/19/19 10:31:30 AM,33041.7,28112.3,8.71,40549.5,25.9120,,,,
4,02/19/19 10:41:30 AM,33041.7,28123.4,8.71,40565.3,25.9232,,,,
5,02/19/19 10:51:30 AM,33041.7,28140.1,8.71,40589.2,25.9402,,,,
6,02/19/19 11:01:30 AM,33041.7,28117.9,8.70,40567.8,25.9250,,,,
7,02/19/19 11:11:30 AM,33041.7,28140.1,8.71,40589.2,25.9402,,,,
8,02/19/19 11:21:30 AM,33041.7,28140.1,8.71,40589.2,25.9402,,,,
9,02/19/19 11:31:30 AM,33041.7,28165.0,8.72,40614.5,25.9582,,,,
10,02/19/19 11:41:30 AM,33041.7,28162.3,8.73,40600.4,25.9481,,,,
11,02/19/19 11:51:30 AM,33041.7,28148.4,8.73,40580.5,25.9340,,,,
12,02/19/19 12:01:30 PM,33041.7,28223.5,8.75,40667.2,25.9956,,,,
13,02/19/19 12:11:30 PM,33041.7,28198.4,8.75,40631.4,25.9701,,,,
14,02/19/19 12:21:30 PM,33041.7,28184.5,8.76,40601.2,25.9487,,,,
15,02/19/19 12:31:30 PM,33041.7,28198.4,8.76,40621.1,25.9628,,,,
16,02/19/19 12:41:30 PM,33041.7,28192.9,8.78,40592.7,25.9426,,,,
17,02/19/19 12:51:30 PM,33041.7,28192.9,8.79,40582.4,25.9353,,,,
18,02/19/19 01:01:30 PM,33041.7,28229.1,8.79,40634.0,25.9720,,,,
19,02/19/19 01:11:30 PM,33041.7,28198.4,8.79,40590.2,25.9409,,,,
20,02/19/19 01:21:30 PM,33041.7,28192.9,8.79,40582.4,25.9353,,,,
21,02/19/19 01:31:30 PM,33041.7,28184.5,8.79,40570.4,25.9268,,,,
22,02/19/19 01:41:30 PM,33041.7,28201.2,8.79,40594.2,25.9437,,,,
23,02/19/19 01:51:30 PM,33041.7,28198.4,8.78,40600.5,25.9482,,,,
24,02/19/19 02:01:30 PM,33041.7,28176.2,8.76,40589.4,25.9403,,,,
25,02/19/19 02:11:30 PM,33041.7,28170.6,8.78,40560.8,25.9200,,,,
26,02/19/19 02:21:30 PM,33041.7,28153.9,8.75,40567.8,25.9250,,,,
27,02/19/19 02:31:30 PM,33041.7,28095.7,8.74,40494.9,25.8733,,,,
28,02/19/19 02:41:30 PM,33041.7,28095.7,8.73,40505.2,25.8805,,,,
29,02/19/19 02:51:30 PM,33041.7,28073.6,8.71,40494.1,25.8727,,,,
30,02/19/19 03:01:30 PM,33041.7,28048.7,8.71,40458.5,25.8474,,,,
31,02/19/19 03:11:30 PM,33041.7,28068.1,8.71,40486.3,25.8671,,,,
32,02/19/19 03:21:30 PM,33041.7,28059.8,8.70,40484.7,25.8660,,,,
33,02/19/19 03:31:30 PM,33041.7,28098.5,8.70,40540.0,25.9053,,,,
34,02/19/19 03:41:30 PM,33041.7,28059.8,8.70,40484.7,25.8660,,,,
35,02/19/19 03:51:30 PM,33041.7,28073.6,8.70,40504.4,25.8800,,,,
36,02/19/19 04:01:30 PM,33041.7,28068.1,8.70,40496.5,25.8744,,,,
37,02/19/19 04:11:30 PM,33041.7,28084.6,8.70,40520.1,25.8911,,,,
38,02/19/19 04:21:30 PM,33041.7,28051.5,8.68,40493.3,25.8721,,,,
39,02/19/19 04:31:30 PM,33041.7,28073.6,8.70,40504.4,25.8800,,,,
40,02/19/19 04:41:30 PM,33041.7,28076.4,8.68,40529.0,25.8974,,,,
41,02/19/19 04:51:30 PM,33041.7,28090.2,8.67,40559.0,25.9187,,,,
42,02/19/19 05:01:30 PM,33041.7,28095.7,8.68,40556.6,25.9170,,,,
43,02/19/19 05:11:30 PM,33041.7,28104.0,8.68,40568.4,25.9254,,,,
44,02/19/19 05:21:30 PM,33041.7,28095.7,8.68,40556.6,25.9170,,,,
45,02/19/19 05:31:30 PM,33041.7,28126.2,8.68,40600.2,25.9480,,,,
46,02/19/19 05:41:30 PM,33041.7,28148.4,8.71,40601.1,25.9486,,,,
47,02/19/19 05:51:30 PM,33041.7,28148.4,8.73,40580.5,25.9340,,,,
48,02/19/19 06:01:30 PM,33041.7,28159.5,8.75,40575.8,25.9307,,,,
49,02/19/19 06:11:30 PM,33041.7,28212.4,8.79,40610.2,25.9551,,,,
50,02/19/19 06:21:30 PM,33041.7,28229.1,8.81,40613.5,25.9574,,,,
51,02/19/19 06:31:30 PM,33041.7,28273.8,8.83,40656.6,25.9881,,,,
52,02/19/19 06:41:30 PM,33041.7,28273.8,8.86,40625.8,25.9662,,,,
53,02/19/19 06:51:30 PM,33041.7,28287.8,8.87,40635.5,25.9730,,,,
54,02/19/19 07:01:30 PM,33041.7,28315.8,8.89,40654.8,25.9868,,,,
55,02/19/19 07:11:30 PM,33041.7,28315.8,8.90,40644.5,25.9795,,,,
56,02/19/19 07:21:30 PM,33041.7,28346.7,8.91,40678.2,26.0034,,,,
57,02/19/19 07:31:30 PM,33041.7,28386.0,8.93,40713.6,26.0285,,,,
58,02/19/19 07:41:30 PM,33041.7,28355.1,8.93,40669.6,25.9973,,,,
59,02/19/19 07:51:30 PM,33041.7,28360.7,8.94,40667.3,25.9957,,,,
60,02/19/19 08:01:30 PM,33041.7,28369.2,8.93,40689.7,26.0115,,,,
61,02/19/19 08:11:30 PM,33041.7,28366.3,8.93,40685.5,26.0086,,,,
62,02/19/19 08:21:30 PM,33041.7,28391.7,8.94,40711.4,26.0270,,,,
63,02/19/19 08:31:30 PM,33041.7,28383.2,8.93,40709.6,26.0257,,,,
64,02/19/19 08:41:30 PM,33041.7,28386.0,8.91,40734.1,26.0431,,,,
65,02/19/19 08:51:30 PM,33041.7,28360.7,8.91,40698.1,26.0175,,,,
66,02/19/19 09:01:30 PM,33041.7,28346.7,8.90,40688.5,26.0107,,,,
67,02/19/19 09:11:30 PM,33041.7,28338.2,8.89,40686.7,26.0094,,,,
68,02/19/19 09:21:30 PM,33041.7,28346.7,8.89,40698.8,26.0180,,,,
69,02/19/19 09:31:30 PM,33041.7,28341.0,8.88,40700.9,26.0195,,,,
70,02/19/19 09:41:30 PM,33041.7,28346.7,8.88,40709.1,26.0253,,,,
71,02/19/19 09:51:30 PM,33041.7,28332.6,8.88,40689.0,26.0111,,,,
72,02/19/19 10:01:30 PM,33041.7,28338.2,8.87,40707.2,26.0240,,,,
73,02/19/19 10:11:30 PM,33041.7,28324.2,8.87,40687.3,26.0099,,,,
