"Plot Title: 20449374_ConductivityLogger"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,11/19/18 09:51:30 AM,33041.7,30717.2,11.00,42.0,0.0266,Logged,,,
2,11/19/18 10:01:30 AM,33041.7,30717.2,11.00,42.0,0.0266,,,,
3,11/19/18 10:11:30 AM,33041.7,30726.8,11.00,42.1,0.0266,,,,
4,11/19/18 10:21:30 AM,33041.7,30710.7,11.01,42.0,0.0265,,,,
5,11/19/18 10:31:30 AM,33041.7,30726.8,11.03,42.0,0.0265,,,,
6,11/19/18 10:41:30 AM,33041.7,30707.5,11.03,42.0,0.0265,,,,
7,11/19/18 10:51:30 AM,33041.7,30697.9,11.04,42.0,0.0265,,,,
8,11/19/18 11:01:30 AM,33041.7,30736.4,11.05,42.0,0.0265,,,,
9,11/19/18 11:11:30 AM,33041.7,30746.1,11.06,42.0,0.0265,,,,
10,11/19/18 11:21:30 AM,33041.7,30726.8,11.06,42.0,0.0265,,,,
11,11/19/18 11:31:30 AM,33041.7,30752.5,11.08,42.0,0.0265,,,,
12,11/19/18 11:41:30 AM,33041.7,30742.8,11.09,42.0,0.0265,,,,
13,11/19/18 11:51:30 AM,33041.7,30752.5,11.11,42.0,0.0265,,,,
14,11/19/18 12:01:30 PM,33041.7,30781.4,11.12,42.0,0.0265,,,,
15,11/19/18 12:11:30 PM,33041.7,30781.4,11.14,42.0,0.0265,,,,
16,11/19/18 12:21:30 PM,33041.7,30778.2,11.15,42.0,0.0265,,,,
17,11/19/18 12:31:30 PM,33041.7,30739.6,11.15,41.9,0.0265,,,,
18,11/19/18 12:41:30 PM,33041.7,30749.3,11.16,41.9,0.0265,,,,
19,11/19/18 12:51:30 PM,33041.7,30778.2,11.17,41.9,0.0265,,,,
20,11/19/18 01:01:30 PM,33041.7,30794.3,11.20,41.9,0.0265,,,,
21,11/19/18 01:11:30 PM,33041.7,30807.2,11.20,42.0,0.0265,,,,
22,11/19/18 01:21:30 PM,33041.7,30768.6,11.20,41.9,0.0265,,,,
23,11/19/18 01:31:30 PM,33041.7,30775.0,11.21,41.9,0.0265,,,,
24,11/19/18 01:41:30 PM,33041.7,30816.9,11.21,42.0,0.0265,,,,
25,11/19/18 01:51:30 PM,33041.7,30804.0,11.22,41.9,0.0265,,,,
26,11/19/18 02:01:30 PM,33041.7,30823.4,11.22,42.0,0.0265,,,,
27,11/19/18 02:11:30 PM,33041.7,30820.1,11.23,41.9,0.0265,,,,
28,11/19/18 02:21:30 PM,33041.7,30794.3,11.24,41.9,0.0265,,,,
29,11/19/18 02:31:30 PM,33041.7,30823.4,11.24,41.9,0.0265,,,,
30,11/19/18 02:41:30 PM,33041.7,30852.4,11.24,42.0,0.0265,,,,
31,11/19/18 02:51:30 PM,33041.7,30842.7,11.26,41.9,0.0265,,,,
32,11/19/18 03:01:30 PM,33041.7,30836.3,11.26,41.9,0.0265,,,,
33,11/19/18 03:11:30 PM,33041.7,30852.4,11.27,41.9,0.0265,,,,
34,11/19/18 03:21:30 PM,33041.7,30846.0,11.27,41.9,0.0265,,,,
35,11/19/18 03:31:30 PM,33041.7,30842.7,11.28,41.9,0.0265,,,,
36,11/19/18 03:41:30 PM,33041.7,30852.4,11.27,41.9,0.0265,,,,
37,11/19/18 03:51:30 PM,33041.7,30881.5,11.27,42.0,0.0265,,,,
38,11/19/18 04:01:30 PM,33041.7,30849.2,11.28,41.9,0.0265,,,,
39,11/19/18 04:11:30 PM,33041.7,30849.2,11.28,41.9,0.0265,,,,
40,11/19/18 04:21:30 PM,33041.7,30878.3,11.28,42.0,0.0265,,,,
41,11/19/18 04:31:30 PM,33041.7,30858.9,11.29,41.9,0.0265,,,,
42,11/19/18 04:41:30 PM,33041.7,30839.5,11.29,41.9,0.0265,,,,
43,11/19/18 04:51:30 PM,33041.7,30858.9,11.29,41.9,0.0265,,,,
44,11/19/18 05:01:30 PM,33041.7,30846.0,11.29,41.9,0.0265,,,,
45,11/19/18 05:11:30 PM,33041.7,30875.1,11.29,41.9,0.0265,,,,
46,11/19/18 05:21:30 PM,33041.7,30875.1,11.30,41.9,0.0265,,,,
47,11/19/18 05:31:30 PM,33041.7,30894.5,11.30,42.0,0.0265,,,,
48,11/19/18 05:41:30 PM,33041.7,30888.0,11.30,42.0,0.0265,,,,
49,11/19/18 05:51:30 PM,33041.7,30897.7,11.29,42.0,0.0265,,,,
50,11/19/18 06:01:30 PM,33041.7,30865.3,11.29,41.9,0.0265,,,,
51,11/19/18 06:11:30 PM,33041.7,30862.1,11.28,41.9,0.0265,,,,
52,11/19/18 06:21:30 PM,33041.7,30875.1,11.28,42.0,0.0265,,,,
53,11/19/18 06:31:30 PM,33041.7,30884.8,11.28,42.0,0.0265,,,,
54,11/19/18 06:41:30 PM,33041.7,30868.6,11.27,42.0,0.0265,,,,
55,11/19/18 06:51:30 PM,33041.7,30858.9,11.26,42.0,0.0265,,,,
56,11/19/18 07:01:30 PM,33041.7,30878.3,11.24,42.0,0.0265,,,,
57,11/19/18 07:11:30 PM,33041.7,30858.9,11.24,42.0,0.0265,,,,
58,11/19/18 07:21:30 PM,33041.7,30878.3,11.23,42.0,0.0265,,,,
59,11/19/18 07:31:30 PM,33041.7,30852.4,11.23,42.0,0.0265,,,,
60,11/19/18 07:41:30 PM,33041.7,30849.2,11.22,42.0,0.0265,,,,
61,11/19/18 07:51:30 PM,33041.7,30810.4,11.21,41.9,0.0265,,,,
62,11/19/18 08:01:30 PM,33041.7,30794.3,11.22,41.9,0.0265,,,,
63,11/19/18 08:11:30 PM,33041.7,30823.4,11.22,41.9,0.0265,,,,
64,11/19/18 08:21:30 PM,33041.7,30823.4,11.23,41.9,0.0265,,,,
65,11/19/18 08:31:30 PM,33041.7,30829.8,11.23,41.9,0.0265,,,,
66,11/19/18 08:41:30 PM,33041.7,30800.8,11.24,41.9,0.0265,,,,
67,11/19/18 08:51:30 PM,33041.7,30775.0,11.26,41.8,0.0265,,,,
68,11/19/18 09:01:30 PM,33041.7,30781.4,11.26,41.8,0.0265,,,,
69,11/19/18 09:11:30 PM,33041.7,30755.7,11.27,41.8,0.0265,,,,
70,11/19/18 09:21:30 PM,33041.7,30784.7,11.27,41.8,0.0265,,,,
71,11/19/18 09:31:30 PM,33041.7,30746.1,11.28,41.8,0.0264,,,,
72,11/19/18 09:41:30 PM,33041.7,30749.3,11.29,41.8,0.0264,,,,
73,11/19/18 09:51:30 PM,33041.7,30765.4,11.30,41.8,0.0264,,,,
74,11/19/18 10:01:30 PM,33041.7,30765.4,11.30,41.8,0.0264,,,,
75,11/19/18 10:11:30 PM,33041.7,30765.4,11.31,41.8,0.0264,,,,
76,11/19/18 10:21:30 PM,33041.7,30755.7,11.32,41.7,0.0264,,,,
77,11/19/18 10:31:30 PM,33041.7,30736.4,11.32,41.7,0.0264,,,,
78,11/19/18 10:41:30 PM,33041.7,30771.8,11.32,41.8,0.0264,,,,
79,11/19/18 10:51:30 PM,33041.7,30784.7,11.32,41.8,0.0264,,,,
80,11/19/18 11:01:30 PM,33041.7,30765.4,11.35,41.7,0.0264,,,,
81,11/19/18 11:11:30 PM,33041.7,30791.1,11.35,41.8,0.0264,,,,
82,11/19/18 11:21:30 PM,33041.7,30781.4,11.35,41.7,0.0264,,,,
83,11/19/18 11:31:30 PM,33041.7,30778.2,11.35,41.7,0.0264,,,,
84,11/19/18 11:41:30 PM,33041.7,30807.2,11.35,41.8,0.0264,,,,
85,11/19/18 11:51:30 PM,33041.7,30797.6,11.35,41.8,0.0264,,,,
86,11/20/18 12:01:30 AM,33041.7,30800.8,11.35,41.8,0.0264,,,,
87,11/20/18 12:11:30 AM,33041.7,30800.8,11.34,41.8,0.0264,,,,
88,11/20/18 12:21:30 AM,33041.7,30791.1,11.32,41.8,0.0264,,,,
89,11/20/18 12:31:30 AM,33041.7,30781.4,11.32,41.8,0.0264,,,,
90,11/20/18 12:41:30 AM,33041.7,30813.7,11.31,41.8,0.0265,,,,
91,11/20/18 12:51:30 AM,33041.7,30797.6,11.31,41.8,0.0265,,,,
92,11/20/18 01:01:30 AM,33041.7,30762.1,11.29,41.8,0.0264,,,,
93,11/20/18 01:11:30 AM,33041.7,30794.3,11.29,41.8,0.0265,,,,
94,11/20/18 01:21:30 AM,33041.7,30800.8,11.27,41.8,0.0265,,,,
