"Plot Title: 20449374_Conductivity"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","High Range, μS/cm (LGR S/N: 20449374, SEN S/N: 20449374)","Temp, °C (LGR S/N: 20449374, SEN S/N: 20449374)","Specific Conductance, μS/cm (LGR S/N: 20449374)","Salinity, ppt (LGR S/N: 20449374)","Coupler Detached (LGR S/N: 20449374)","Coupler Attached (LGR S/N: 20449374)","Stopped (LGR S/N: 20449374)","End Of File (LGR S/N: 20449374)"
1,11/26/18 01:11:30 PM,33041.7,30901.0,11.62,42.1,0.0266,Logged,,,
2,11/26/18 01:21:30 PM,33041.7,30888.0,11.62,42.0,0.0266,,,,
3,11/26/18 01:31:30 PM,33041.7,30897.7,11.61,42.1,0.0266,,,,
4,11/26/18 01:41:30 PM,33041.7,30891.2,11.61,42.1,0.0266,,,,
5,11/26/18 01:51:30 PM,33041.7,30871.8,11.61,42.0,0.0265,,,,
6,11/26/18 02:01:30 PM,33041.7,30862.1,11.60,42.0,0.0265,,,,
7,11/26/18 02:11:30 PM,33041.7,30871.8,11.60,42.0,0.0266,,,,
8,11/26/18 02:21:30 PM,33041.7,30875.1,11.60,42.0,0.0266,,,,
9,11/26/18 02:31:30 PM,33041.7,30910.7,11.60,42.1,0.0266,,,,
10,11/26/18 02:41:30 PM,33041.7,30855.6,11.60,42.0,0.0265,,,,
11,11/26/18 02:51:30 PM,33041.7,30868.6,11.60,42.0,0.0266,,,,
12,11/26/18 03:01:30 PM,33041.7,30846.0,11.59,42.0,0.0265,,,,
13,11/26/18 03:11:30 PM,33041.7,30839.5,11.58,42.0,0.0265,,,,
14,11/26/18 03:21:30 PM,33041.7,30810.4,11.58,42.0,0.0265,,,,
15,11/26/18 03:31:30 PM,33041.7,30820.1,11.57,42.0,0.0265,,,,
16,11/26/18 03:41:30 PM,33041.7,30810.4,11.55,42.0,0.0265,,,,
17,11/26/18 03:51:30 PM,33041.7,30784.7,11.54,42.0,0.0265,,,,
18,11/26/18 04:01:30 PM,33041.7,30781.4,11.54,42.0,0.0265,,,,
19,11/26/18 04:11:30 PM,33041.7,30781.4,11.53,42.0,0.0265,,,,
20,11/26/18 04:21:30 PM,33041.7,30784.7,11.53,42.0,0.0265,,,,
21,11/26/18 04:31:30 PM,33041.7,30791.1,11.54,42.0,0.0265,,,,
22,11/26/18 04:41:30 PM,33041.7,30794.3,11.54,42.0,0.0265,,,,
23,11/26/18 04:51:30 PM,33041.7,30800.8,11.53,42.0,0.0265,,,,
24,11/26/18 05:01:30 PM,33041.7,30765.4,11.54,42.0,0.0265,,,,
25,11/26/18 05:11:30 PM,33041.7,30794.3,11.53,42.0,0.0265,,,,
26,11/26/18 05:21:30 PM,33041.7,30794.3,11.53,42.0,0.0265,,,,
27,11/26/18 05:31:30 PM,33041.7,30784.7,11.52,42.0,0.0265,,,,
28,11/26/18 05:41:30 PM,33041.7,30800.8,11.53,42.0,0.0265,,,,
29,11/26/18 05:51:30 PM,33041.7,30775.0,11.52,42.0,0.0265,,,,
30,11/26/18 06:01:30 PM,33041.7,30784.7,11.52,42.0,0.0265,,,,
31,11/26/18 06:11:30 PM,33041.7,30765.4,11.52,42.0,0.0265,,,,
32,11/26/18 06:21:30 PM,33041.7,30775.0,11.52,42.0,0.0265,,,,
33,11/26/18 06:31:30 PM,33041.7,30810.4,11.53,42.0,0.0266,,,,
34,11/26/18 06:41:30 PM,33041.7,30800.8,11.53,42.0,0.0265,,,,
35,11/26/18 06:51:30 PM,33041.7,30794.3,11.54,42.0,0.0265,,,,
36,11/26/18 07:01:30 PM,33041.7,30846.0,11.55,42.1,0.0266,,,,
37,11/26/18 07:11:30 PM,33041.7,30820.1,11.55,42.0,0.0265,,,,
38,11/26/18 07:21:30 PM,33041.7,30846.0,11.55,42.1,0.0266,,,,
39,11/26/18 07:31:30 PM,33041.7,30836.3,11.57,42.0,0.0265,,,,
40,11/26/18 07:41:30 PM,33041.7,30865.3,11.58,42.1,0.0266,,,,
41,11/26/18 07:51:30 PM,33041.7,30846.0,11.57,42.0,0.0266,,,,
42,11/26/18 08:01:30 PM,33041.7,30826.6,11.57,42.0,0.0265,,,,
43,11/26/18 08:11:30 PM,33041.7,30826.6,11.58,42.0,0.0265,,,,
44,11/26/18 08:21:30 PM,33041.7,30875.1,11.58,42.1,0.0266,,,,
45,11/26/18 08:31:30 PM,33041.7,30846.0,11.58,42.0,0.0266,,,,
46,11/26/18 08:41:30 PM,33041.7,30810.4,11.58,42.0,0.0265,,,,
47,11/26/18 08:51:30 PM,33041.7,30875.1,11.58,42.1,0.0266,,,,
48,11/26/18 09:01:30 PM,33041.7,30871.8,11.58,42.1,0.0266,,,,
49,11/26/18 09:11:30 PM,33041.7,30901.0,11.59,42.1,0.0266,,,,
50,11/26/18 09:21:30 PM,33041.7,30852.4,11.59,42.0,0.0266,,,,
51,11/26/18 09:31:30 PM,33041.7,30881.5,11.59,42.1,0.0266,,,,
52,11/26/18 09:41:30 PM,33041.7,30881.5,11.59,42.1,0.0266,,,,
53,11/26/18 09:51:30 PM,33041.7,30881.5,11.59,42.1,0.0266,,,,
54,11/26/18 10:01:30 PM,33041.7,30930.1,11.60,42.1,0.0266,,,,
55,11/26/18 10:11:30 PM,33041.7,30897.7,11.60,42.1,0.0266,,,,
56,11/26/18 10:21:30 PM,33041.7,30930.1,11.60,42.1,0.0266,,,,
57,11/26/18 10:31:30 PM,33041.7,30901.0,11.59,42.1,0.0266,,,,
58,11/26/18 10:41:30 PM,33041.7,30910.7,11.58,42.1,0.0266,,,,
