#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)"
1,2/19/19 10:15,11.45,9,0,0
2,2/19/19 10:25,11.61,8.7,0,0
3,2/19/19 10:35,11.66,8.62,0,0
4,2/19/19 10:45,11.67,8.6,0,0
5,2/19/19 10:55,11.65,8.58,0,0
6,2/19/19 11:05,11.66,8.58,0,0
7,2/19/19 11:15,11.65,8.58,0,0
8,2/19/19 11:25,11.67,8.58,0,0
9,2/19/19 11:35,11.66,8.6,0,0
10,2/19/19 11:45,11.65,8.62,0,0
11,2/19/19 11:55,11.65,8.62,0,0
12,2/19/19 12:05,11.63,8.64,0,0
13,2/19/19 12:15,11.65,8.64,0,0
14,2/19/19 12:25,11.65,8.66,0,0
15,2/19/19 12:35,11.66,8.66,0,0
16,2/19/19 12:45,11.65,8.66,0,0
17,2/19/19 12:55,11.65,8.66,0,0
18,2/19/19 13:05,11.64,8.66,0,0
19,2/19/19 13:15,11.65,8.66,0,0
20,2/19/19 13:25,11.65,8.68,0,0
21,2/19/19 13:35,11.65,8.68,0,0
22,2/19/19 13:45,11.65,8.68,0,0
23,2/19/19 13:55,11.64,8.66,0,0
24,2/19/19 14:05,11.65,8.66,0,0
25,2/19/19 14:15,11.65,8.66,0,0
26,2/19/19 14:25,11.64,8.64,0,0
27,2/19/19 14:35,11.65,8.64,0,0
28,2/19/19 14:45,11.64,8.62,0,0
29,2/19/19 14:55,11.64,8.6,0,0
30,2/19/19 15:05,11.65,8.58,0,0
31,2/19/19 15:15,11.64,8.58,0,0
32,2/19/19 15:25,11.64,8.58,0,0
33,2/19/19 15:35,11.62,8.58,0,0
34,2/19/19 15:45,11.62,8.58,0,0
35,2/19/19 15:55,11.63,8.58,0,0
36,2/19/19 16:05,11.63,8.58,0,0
37,2/19/19 16:15,11.62,8.58,0,0
38,2/19/19 16:25,11.62,8.58,0,0
39,2/19/19 16:35,11.63,8.56,0,0
40,2/19/19 16:45,11.61,8.56,0,0
41,2/19/19 16:55,11.61,8.56,0,0
42,2/19/19 17:05,11.6,8.56,0,0
43,2/19/19 17:15,11.59,8.56,0,0
44,2/19/19 17:25,11.59,8.56,0,0
45,2/19/19 17:35,11.59,8.58,0,0
46,2/19/19 17:45,11.57,8.6,0,0
47,2/19/19 17:55,11.55,8.62,0,0
48,2/19/19 18:05,11.54,8.64,0,0
49,2/19/19 18:15,11.54,8.66,0,0
50,2/19/19 18:25,11.51,8.7,0,0
51,2/19/19 18:35,11.5,8.72,0,0
52,2/19/19 18:45,11.49,8.74,0,0
53,2/19/19 18:55,11.5,8.76,0,0
54,2/19/19 19:05,11.48,8.76,0,0
55,2/19/19 19:15,11.46,8.78,0,0
