"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
1,11/19/18 09:45:49 AM,10.88,11.24,0.00,0.0,,,
2,11/19/18 09:55:49 AM,11.02,11.02,0.00,0.0,,,
3,11/19/18 10:05:49 AM,11.04,11.00,0.00,0.0,,,
4,11/19/18 10:15:49 AM,11.05,11.00,0.00,0.0,,,
5,11/19/18 10:25:49 AM,11.07,11.00,0.00,0.0,,,
6,11/19/18 10:35:49 AM,11.07,11.00,0.00,0.0,,,
7,11/19/18 10:45:49 AM,11.08,11.00,0.00,0.0,,,
8,11/19/18 10:55:49 AM,11.07,11.02,0.00,0.0,,,
9,11/19/18 11:05:49 AM,11.07,11.02,0.00,0.0,,,
10,11/19/18 11:15:49 AM,11.06,11.04,0.00,0.0,,,
11,11/19/18 11:25:49 AM,11.07,11.04,0.00,0.0,,,
12,11/19/18 11:35:49 AM,11.07,11.06,0.00,0.0,,,
13,11/19/18 11:45:49 AM,11.06,11.08,0.00,0.0,,,
14,11/19/18 11:55:49 AM,11.05,11.08,0.00,0.0,,,
15,11/19/18 12:05:49 PM,11.06,11.10,0.00,0.0,,,
16,11/19/18 12:15:49 PM,11.04,11.12,0.00,0.0,,,
17,11/19/18 12:25:49 PM,11.05,11.12,0.00,0.0,,,
18,11/19/18 12:35:49 PM,11.05,11.14,0.00,0.0,,,
19,11/19/18 12:45:49 PM,11.04,11.14,0.00,0.0,,,
20,11/19/18 12:55:49 PM,11.04,11.16,0.00,0.0,,,
21,11/19/18 01:05:49 PM,11.03,11.16,0.00,0.0,,,
22,11/19/18 01:15:49 PM,11.03,11.18,0.00,0.0,,,
23,11/19/18 01:25:49 PM,11.03,11.18,0.00,0.0,,,
24,11/19/18 01:35:49 PM,11.03,11.20,0.00,0.0,,,
25,11/19/18 01:45:49 PM,11.02,11.20,0.00,0.0,,,
26,11/19/18 01:55:49 PM,11.02,11.20,0.00,0.0,,,
27,11/19/18 02:05:49 PM,11.02,11.20,0.00,0.0,,,
28,11/19/18 02:15:49 PM,11.03,11.22,0.00,0.0,,,
29,11/19/18 02:25:49 PM,11.01,11.22,0.00,0.0,,,
30,11/19/18 02:35:49 PM,11.02,11.22,0.00,0.0,,,
31,11/19/18 02:45:49 PM,11.01,11.24,0.00,0.0,,,
32,11/19/18 02:55:49 PM,11.00,11.24,0.00,0.0,,,
33,11/19/18 03:05:49 PM,11.00,11.24,0.00,0.0,,,
34,11/19/18 03:15:49 PM,11.01,11.24,0.00,0.0,,,
35,11/19/18 03:25:49 PM,11.01,11.24,0.00,0.0,,,
36,11/19/18 03:35:49 PM,11.00,11.26,0.00,0.0,,,
37,11/19/18 03:45:49 PM,10.99,11.26,0.00,0.0,,,
38,11/19/18 03:55:49 PM,10.99,11.26,0.00,0.0,,,
39,11/19/18 04:05:49 PM,11.00,11.26,0.00,0.0,,,
40,11/19/18 04:15:49 PM,11.00,11.26,0.00,0.0,,,
41,11/19/18 04:25:49 PM,10.98,11.26,0.00,0.0,,,
42,11/19/18 04:35:49 PM,10.96,11.26,0.00,0.0,,,
43,11/19/18 04:45:49 PM,10.94,11.26,0.00,0.0,,,
44,11/19/18 04:55:49 PM,10.90,11.28,0.00,0.0,,,
45,11/19/18 05:05:49 PM,10.89,11.28,0.00,0.0,,,
46,11/19/18 05:15:49 PM,10.89,11.28,0.00,0.0,,,
47,11/19/18 05:25:49 PM,10.86,11.28,0.00,0.0,,,
48,11/19/18 05:35:49 PM,10.86,11.28,0.00,0.0,,,
49,11/19/18 05:45:49 PM,10.84,11.28,0.00,0.0,,,
50,11/19/18 05:55:49 PM,10.83,11.28,0.00,0.0,,,
51,11/19/18 06:05:49 PM,10.83,11.28,0.00,0.0,,,
52,11/19/18 06:15:49 PM,10.84,11.26,0.00,0.0,,,
53,11/19/18 06:25:49 PM,10.83,11.26,0.00,0.0,,,
54,11/19/18 06:35:49 PM,10.83,11.26,0.00,0.0,,,
55,11/19/18 06:45:49 PM,10.85,11.24,0.00,0.0,,,
56,11/19/18 06:55:49 PM,10.84,11.24,0.00,0.0,,,
57,11/19/18 07:05:49 PM,10.84,11.24,0.00,0.0,,,
58,11/19/18 07:15:49 PM,10.84,11.22,0.00,0.0,,,
59,11/19/18 07:25:49 PM,10.85,11.22,0.00,0.0,,,
60,11/19/18 07:35:49 PM,10.84,11.22,0.00,0.0,,,
61,11/19/18 07:45:49 PM,10.84,11.20,0.00,0.0,,,
62,11/19/18 07:55:49 PM,10.85,11.20,0.00,0.0,,,
63,11/19/18 08:05:49 PM,10.85,11.20,0.00,0.0,,,
64,11/19/18 08:15:49 PM,10.84,11.20,0.00,0.0,,,
65,11/19/18 08:25:49 PM,10.84,11.22,0.00,0.0,,,
66,11/19/18 08:35:49 PM,10.85,11.22,0.00,0.0,,,
67,11/19/18 08:45:49 PM,10.86,11.22,0.00,0.0,,,
68,11/19/18 08:55:49 PM,10.84,11.24,0.00,0.0,,,
69,11/19/18 09:05:49 PM,10.82,11.24,0.00,0.0,,,
70,11/19/18 09:15:49 PM,10.83,11.24,0.00,0.0,,,
71,11/19/18 09:25:49 PM,10.83,11.26,0.00,0.0,,,
72,11/19/18 09:35:49 PM,10.80,11.26,0.00,0.0,,,
73,11/19/18 09:45:49 PM,10.82,11.26,0.00,0.0,,,
74,11/19/18 09:55:49 PM,10.82,11.28,0.00,0.0,,,
75,11/19/18 10:05:49 PM,10.80,11.28,0.00,0.0,,,
76,11/19/18 10:15:49 PM,10.82,11.30,0.00,0.0,,,
77,11/19/18 10:25:49 PM,10.82,11.30,0.00,0.0,,,
78,11/19/18 10:35:49 PM,10.80,11.30,0.00,0.0,,,
79,11/19/18 10:45:49 PM,10.79,11.32,0.00,0.0,,,
80,11/19/18 10:55:49 PM,10.82,11.32,0.00,0.0,,,
81,11/19/18 11:05:49 PM,10.82,11.32,0.00,0.0,,,
82,11/19/18 11:15:49 PM,10.79,11.32,0.00,0.0,,,
83,11/19/18 11:25:49 PM,10.79,11.32,0.00,0.0,,,
84,11/19/18 11:35:49 PM,10.79,11.32,0.00,0.0,,,
85,11/19/18 11:45:49 PM,10.79,11.32,0.00,0.0,,,
86,11/19/18 11:55:49 PM,10.80,11.32,0.00,0.0,,,
87,11/20/18 12:05:49 AM,10.82,11.32,0.00,0.0,,,
88,11/20/18 12:15:49 AM,10.79,11.32,0.00,0.0,,,
