experiment,unit,unit_number,date,pH,temp
Juvenile,Tank,4,08/28/18,7.22,12.4
Juvenile,Tank,4,08/29/18,7.22,12.5
Juvenile,Tank,4,08/30/18,7.2,12.5
Juvenile,Tank,4,08/31/18,7.21,12.8
Juvenile,Tank,4,09/04/18,7.22,12.6
Juvenile,Tank,4,09/05/18,7.21,12.6
Juvenile,Tank,4,09/06/18,7.21,12.8
Juvenile,Tank,4,09/07/18,7.21,12.8
Juvenile,Tank,4,09/10/18,7.21,15.6
Juvenile,Tank,4,09/11/18,14,10
Juvenile,Tank,4,09/12/18,7.22,13.62
Juvenile,Tank,4,09/13/18,7.2,13.3
Juvenile,Tank,4,09/14/18,7.23,12.9
Juvenile,Tank,4,09/15/18,7.23,12.7
Juvenile,Tank,4,09/18/18,7.23,12.3
Juvenile,Tank,4,09/19/18,7.21,12.2
Juvenile,Tank,4,09/20/18,7.19,12.4
Juvenile,Tank,4,09/21/18,7.2,14.9
Juvenile,Tank,4,09/23/18,7.22,13
Juvenile,Tank,4,09/24/18,7.22,12.6
Juvenile,Tank,4,09/25/18,7.2,12.5
Juvenile,Tank,4,09/26/18,7.22,12.4
Juvenile,Tank,4,09/27/18,7.22,12.6
Juvenile,Tank,4,09/29/18,7.2,12.6
Juvenile,Tank,4,10/01/18,7.21,12.8
Juvenile,Tank,4,10/02/18,7.22,12.8
Juvenile,Tank,4,10/03/18,7.2,12.8
Juvenile,Tank,4,10/04/18,7.23,12.5
Juvenile,Tank,4,10/05/18,7.21,12.3
Juvenile,Tank,4,10/06/18,7.21,12.4
Juvenile,Tank,4,10/08/18,7.19,12.4
Juvenile,Tank,4,10/09/18,7.43,12.4
Juvenile,Tank,4,10/10/18,7.2,12.4
Juvenile,Tank,4,10/11/18,7.22,12.3
Juvenile,Tank,4,10/12/18,7.21,12.4
Juvenile,Tank,4,10/13/18,7.22,12.3
Juvenile,Tank,4,10/15/18,7.2,12.1
Juvenile,Tank,4,10/16/18,7.21,12.2
Juvenile,Tank,4,10/17/18,7.21,12.2
Juvenile,Tank,4,10/18/18,7.21,12.2
Juvenile,Tank,4,10/21/18,7.2,12.3
Juvenile,Tank,4,10/22/18,7.2,12.2
Juvenile,Tank,4,10/23/18,7.21,12.1
Juvenile,Tank,4,10/24/18,7.21,12.4
Juvenile,Tank,4,10/25/18,7.21,12.4
Juvenile,Tank,4,10/26/18,7.21,12.4
Juvenile,Tank,4,10/27/18,7.22,12.3
Juvenile,Tank,4,10/28/18,7.21,12.3
Juvenile,Tank,4,10/29/18,7.21,12.1
Juvenile,Tank,4,10/30/18,7.18,12.1
Juvenile,Tank,4,10/31/18,7.21,12.1
Juvenile,Tank,4,11/01/18,7.21,12.2
Juvenile,Tank,4,11/02/18,7.24,12.2
Juvenile,Tank,4,11/03/18,7.23,12.1
Juvenile,Tank,4,11/04/18,7.19,12.1
Juvenile,Tank,4,11/05/18,7.23,12
Juvenile,Tank,4,11/06/18,7.23,12
Juvenile,Tank,4,11/07/18,7.27,11.8
Juvenile,Tank,4,11/09/18,7.22,11.7
Juvenile,Tank,4,11/11/18,7.21,11.5
Juvenile,Tank,4,11/12/18,7.22,11.3
Juvenile,Tank,4,11/14/18,7.18,11.3
Juvenile,Tank,4,11/15/18,7.25,11.4
Juvenile,Tank,4,11/16/18,7.25,11.3
Juvenile,Tank,4,11/17/18,7.2,11.2
Juvenile,Tank,4,11/18/18,7.21,11.1
Juvenile,Tank,4,11/20/18,7.19,11.2
Juvenile,Tank,4,11/21/18,7.2,11.4
Juvenile,Tank,4,11/22/18,7.22,11.3
Juvenile,Tank,4,11/23/18,7.21,11.3
Juvenile,Tank,4,11/24/18,7.19,11.2
Juvenile,Tank,4,11/25/18,7.2,11.2
Juvenile,Tank,4,11/26/18,7.17,11.6
Juvenile,Tank,4,11/27/18,7.23,11.4
Juvenile,Tank,4,11/28/18,7.22,11.3
Juvenile,Tank,4,11/29/18,7.23,11.2
Juvenile,Tank,4,11/30/18,7.23,11.3
Juvenile,Tank,4,12/01/18,7.15,11.2
Juvenile,Tank,4,12/02/18,7.23,11.2
Juvenile,Tank,4,12/03/18,7.19,10.9
Juvenile,Tank,4,12/04/18,7.31,10.9
Juvenile,Tank,4,12/05/18,7.16,10.6
Juvenile,Tank,4,12/06/18,7.2,10.6
Juvenile,Tank,4,12/08/18,7.19,10.5
Juvenile,Tank,4,12/09/18,7.21,10.3
Juvenile,Tank,4,12/10/18,7.19,10.4
Juvenile,Tank,4,12/11/18,7.24,10.2
Juvenile,Tank,4,12/12/18,7.2,10.2
Juvenile,Tank,4,12/13/18,7.19,10.7
Juvenile,Tank,4,12/14/18,7.37,10.6
Juvenile,Tank,4,12/15/18,7.21,10.3
Juvenile,Tank,4,12/16/18,7.19,10.5
Juvenile,Tank,4,12/17/18,7.19,10.4
Juvenile,Tank,4,12/18/18,7.2,10.5
Juvenile,Tank,4,12/19/18,7.18,10.3
Juvenile,Tank,4,12/20/18,7.18,10.4
Juvenile,Tank,4,12/21/18,7.2,10.1
Juvenile,Tank,4,12/22/18,7.21,10.3
Juvenile,Tank,4,12/23/18,7.22,10.4
Juvenile,Tank,4,12/24/18,7.22,10.2
Juvenile,Tank,4,12/26/18,7.22,10.1
Juvenile,Tank,4,12/28/18,7.21,9.8
Juvenile,Tank,4,12/29/18,7.22,9.8
Juvenile,Tank,4,12/30/18,7.21,9.4
Juvenile,Tank,4,12/31/18,7.23,9.3
Juvenile,Tank,4,01/02/19,7.21,9.5
Juvenile,Tank,4,01/03/19,7.22,9.3
Juvenile,Tank,4,01/04/19,7.22,9.4
Juvenile,Tank,4,01/05/19,7.22,9.4
Juvenile,Tank,4,01/06/19,7.22,9.4
Juvenile,Tank,4,01/07/19,7.22,9.3
Juvenile,Tank,4,01/08/19,7.22,9.3
Juvenile,Tank,4,01/09/19,7.22,9.5
Juvenile,Tank,4,01/10/19,7.21,9.5
Juvenile,Tank,4,01/11/19,7.22,9.4
Juvenile,Tank,4,01/12/19,7.22,9.4
Juvenile,Tank,4,01/13/19,7.21,9.3
Juvenile,Tank,4,01/14/19,7.22,9.2
Juvenile,Tank,4,01/15/19,7.22,9
Juvenile,Tank,4,01/16/19,7.22,9
Juvenile,Tank,4,01/17/19,7.22,9.1
Juvenile,Tank,4,01/18/19,7.21,9.3
Juvenile,Tank,4,01/19/19,7.21,9.1
Juvenile,Tank,4,01/20/19,7.21,9.1
Juvenile,Tank,4,01/21/19,7.22,9.3
Juvenile,Tank,4,01/22/19,7.22,9.3
Juvenile,Tank,4,01/23/19,7.22,9.3
Juvenile,Tank,4,01/24/19,7.21,9.2
Juvenile,Tank,4,01/25/19,7.21,9.1
Juvenile,Tank,4,01/26/19,7.22,9.1
Juvenile,Tank,4,01/27/19,7.22,9.1
Juvenile,Tank,4,01/28/19,7.23,9.1
Juvenile,Tank,4,01/29/19,7.22,9.1
Juvenile,Tank,4,01/30/19,7.22,9
Juvenile,Tank,4,01/31/19,7.22,9.3
Juvenile,Tank,4,02/01/19,7.22,9.3
Juvenile,Tank,4,02/03/19,7.21,8.9
Juvenile,Tank,4,02/04/19,7.21,8.6
Juvenile,Tank,4,02/05/19,7.22,8.8
Juvenile,Tank,4,02/06/19,7.21,8.8
Juvenile,Tank,4,02/07/19,7.21,8.5
Juvenile,Tank,4,02/08/19,7.22,8.5
Juvenile,Tank,4,02/11/19,7.2,8.7
Juvenile,Tank,4,02/12/19,7.23,8.8
Juvenile,Tank,4,02/13/19,7.21,8.2
Juvenile,Tank,4,02/14/19,7.24,8.2
Juvenile,Tank,4,02/15/19,7.16,8.8
Juvenile,Tank,4,02/16/19,7.11,8.6
Juvenile,Tank,4,02/17/19,7.18,8.3
Juvenile,Tank,4,02/18/19,7.17,8.6
Juvenile,Tank,4,02/19/19,7.16,8.6
Juvenile,Tank,4,02/20/19,7.12,8.4
Juvenile,Tank,4,02/21/19,7.12,8.5
Juvenile,Tank,4,02/22/19,7.23,8.6
Juvenile,Tank,4,02/23/19,7.23,8.7
Juvenile,Tank,4,02/24/19,7.22,8.5
Juvenile,Tank,4,02/25/19,7.19,8.4
Juvenile,Tank,4,02/26/19,7.2,8.5
Juvenile,Tank,4,02/27/19,7.21,8.5
Juvenile,Tank,4,03/01/19,7.2,8.6
Juvenile,Tank,4,03/02/19,7.09,8.4
Juvenile,Tank,4,03/03/19,7.16,8.4
Juvenile,Tank,4,03/04/19,7.14,7.9
Juvenile,Tank,4,03/05/19,7.17,8.4
Juvenile,Tank,4,03/06/19,7.17,8.1
Juvenile,Tank,4,03/07/19,7.05,8.5
Juvenile,Tank,4,03/08/19,7.15,8.1
Juvenile,Tank,4,03/09/19,7.18,7.8
Juvenile,Tank,4,03/10/19,7.2,7.7
Juvenile,Tank,4,03/12/19,7.19,8.1
Juvenile,Tank,4,03/13/19,7.12,8.1
Juvenile,Tank,4,03/14/19,7.07,8.7
Juvenile,Tank,4,03/15/19,7.2,8.7
Juvenile,Tank,4,03/16/19,7.21,8.4
Juvenile,Tank,4,03/17/19,7.19,8.7
Juvenile,Tank,4,03/18/19,7.23,8.7
Juvenile,Tank,4,03/19/19,7.21,8.9
Juvenile,Tank,4,03/20/19,7.19,8.6
Juvenile,Tank,4,03/22/19,7.24,8.5
Juvenile,Tank,4,03/23/19,7.23,8.6
Juvenile,Tank,4,03/24/19,7.21,8.8
Juvenile,Tank,4,03/25/19,7.2,9
Juvenile,Tank,4,03/26/19,7.21,8.5
Juvenile,Tank,4,03/27/19,7.19,8.4
Juvenile,Tank,4,03/28/19,7.14,8.6
Juvenile,Tank,4,03/29/19,7.18,8.6
Juvenile,Tank,4,03/30/19,7.25,8.7
Juvenile,Tank,4,03/31/19,7.24,8.8
Juvenile,Tank,4,04/01/19,7.24,8.7
Juvenile,Tank,4,04/02/19,7.23,8.6
Juvenile,Tank,4,04/03/19,7.24,8.8
Juvenile,Tank,4,04/04/19,7.31,9.1
Juvenile,Tank,4,04/05/19,7.37,9.4
Juvenile,Tank,4,04/06/19,7.23,9.3
Juvenile,Tank,4,04/07/19,7.22,9.3
Juvenile,Tank,4,04/08/19,7.2,8.9
Juvenile,Tank,4,04/10/19,7.19,8.8
Juvenile,Tank,4,04/11/19,7.24,8.9
Juvenile,Tank,4,04/12/19,7.2,9
Juvenile,Tank,4,04/13/19,7.17,8.9
Juvenile,Tank,4,04/17/19,7.22,9.4
Juvenile,Tank,4,04/18/19,7.1,9.6
Juvenile,Tank,4,04/19/19,7.2,9.5
Juvenile,Tank,4,04/20/19,7.1,9.1
Juvenile,Tank,4,04/21/19,7.21,9.2
Juvenile,Tank,4,04/22/19,7.14,9.3
Juvenile,Tank,4,04/23/19,7.21,9.5
Juvenile,Tank,4,04/24/19,7.18,9.4
Juvenile,Tank,4,04/25/19,7.13,9.3
Juvenile,Tank,4,04/26/19,7.24,9.7
Juvenile,Tank,4,04/27/19,7.04,9.4
Juvenile,Tank,4,04/28/19,7.18,9.7
Juvenile,Tank,4,04/29/19,7.09,9.4
Juvenile,Tank,4,04/30/19,7.21,9.4
Juvenile,Tank,4,05/01/19,7.14,9.2
Juvenile,Tank,4,05/02/19,7.18,9.5
Juvenile,Tank,4,05/03/19,7.14,9.5
Juvenile,Tank,4,05/04/19,7.29,10
Juvenile,Tank,4,05/05/19,7.18,10
Juvenile,Tank,4,05/06/19,7.11,10.4
Juvenile,Tank,4,05/07/19,7.13,10
Juvenile,Tank,4,05/08/19,7.1,10.5
Juvenile,Tank,4,05/09/19,7.23,9.9
Juvenile,Tank,4,05/10/19,7.17,10.4
Juvenile,Tank,4,05/11/19,7.16,10.2
Juvenile,Tank,4,05/12/19,7.19,10
Juvenile,Tank,4,05/13/19,7.11,10.2
Juvenile,Tank,4,05/15/19,7.26,10.5
Juvenile,Tank,4,05/16/19,7.15,10.4
Juvenile,Tank,4,05/17/19,7.19,10.4
Juvenile,Tank,4,05/18/19,7.28,10.4
Juvenile,Tank,4,05/19/19,7.17,10.2
Juvenile,Tank,4,05/20/19,7.17,10
Juvenile,Tank,4,05/21/19,7.19,10.1
Juvenile,Tank,4,05/22/19,7.2,10.2
Juvenile,Tank,4,05/23/19,7.17,11.1
Juvenile,Tank,4,05/24/19,7.2,10.4
Juvenile,Tank,4,05/25/19,7.22,10.5
Juvenile,Tank,4,05/26/19,7.17,10.5
Juvenile,Tank,4,05/27/19,7.23,10.5
Juvenile,Tank,4,05/28/19,7.18,10.6
Juvenile,Tank,4,05/29/19,7.21,11
Juvenile,Tank,4,05/30/19,7.25,11
Juvenile,Tank,4,05/31/19,7.23,10.6
Juvenile,Tank,4,06/01/19,7.09,10.8
Juvenile,Tank,4,06/02/19,7.25,10.7
Juvenile,Tank,4,06/03/19,7.17,11.1
Juvenile,Tank,4,06/04/19,7.28,10.8
Juvenile,Tank,4,06/05/19,7.09,10.7
Juvenile,Tank,4,06/06/19,7.21,10.8
Juvenile,Tank,4,06/07/19,7.05,10.8
Juvenile,Tank,4,06/08/19,7.2,10.9
Juvenile,Tank,4,06/09/19,7.27,11.2
Juvenile,Tank,4,06/10/19,7.22,11
Juvenile,Tank,4,06/11/19,7.21,11.3
Juvenile,Tank,4,06/12/19,7.19,11.2
Juvenile,Tank,4,06/13/19,7.21,11.3
Juvenile,Tank,4,06/14/19,7.25,11.4
Juvenile,Tank,4,06/16/19,7.04,11.7
Juvenile,Tank,4,06/17/19,7.09,11.06
Juvenile,Tank,4,06/18/19,7.4,11.14
Juvenile,Tank,4,06/19/19,7.08,11.7
Juvenile,Tank,4,06/20/19,7.08,11.7
Juvenile,Tank,4,06/21/19,7.2,11.4
Juvenile,Tank,4,06/22/19,7.22,11.7
Juvenile,Tank,4,06/23/19,7.22,11.5
Juvenile,Tank,4,06/24/19,7.22,11.5
Juvenile,Tank,4,06/25/19,7.21,11.7
Juvenile,Tank,4,07/01/19,7.13,12
Juvenile,Tank,4,07/02/19,7.16,11.5
Juvenile,Tank,4,07/03/19,7.09,11.7
Juvenile,Tank,4,07/06/19,7.05,12
Juvenile,Tank,4,07/07/19,7.25,12.2
Juvenile,Tank,4,07/08/19,7.06,11.3
Juvenile,Tank,4,07/09/19,7.23,12
Juvenile,Tank,4,07/10/19,7.2,12.5
Juvenile,Tank,4,07/11/19,7.08,12.2
