dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
17,Juvenile,Tank,1,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.520082791,7.525066461,0,0.03,0.11,1.01,0.73,0.1,0.696078431,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.688536045,0.01
20,Juvenile,Tank,1,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.512750881,7.517851733,-0.03,-0.04,0.05,0.51,0.33,0.05,0.685185185,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.677583301,0
19,Juvenile,Tank,2,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.024614638,7.043896229,-0.01,0.02,0.1,0.83,0.23,0.11,0.240963855,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.230935676,-0.01
21,Juvenile,Tank,2,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.014923071,7.034669566,-0.04,-0.01,0.07,0.68,0.16,0.07,0.236111111,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.226056426,0
1,Juvenile,Tank,3,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.50319058,7.508447109,-0.07,-0.04,0.05,0.66,0.45,0.05,0.671232877,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.663554786,0
2,Juvenile,Tank,3,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.500019181,7.505328083,-0.05,-0.03,0.06,0.64,0.43,0.06,0.666666667,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.658963636,0
7,Juvenile,Tank,4,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.584864218,7.588890824,0,0.02,0.1,0,0,0,0.8,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.793025224,0.1
8,Juvenile,Tank,4,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.183727679,7.196635921,0,0.02,0.1,0.78,0.29,0.11,0.337662338,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.328162316,-0.01
10,Juvenile,Tank,5,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.516326304,7.521369776,-0.03,-0.02,0.07,0.82,0.57,0.08,0.69047619,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.682903205,-0.01
16,Juvenile,Tank,5,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.520165667,7.525148024,-0.02,0.01,0.09,0.77,0.56,0.09,0.696202532,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.688660823,0
12,Juvenile,Tank,6,,,11:00 AM,4-Dec-18,25,30.53,0.00095,7.078583561,7.095449243,-0.03,0,0.08,0.98,0.28,0.09,0.27,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.260130413,-0.01
14,Juvenile,Tank,6,,,11:00 AM,4-Dec-18,25,30.53,0.00095,6.998784988,7.019327808,-0.03,-0.02,0.06,0.9,0.2,0.07,0.22826087,8.014996433,0.0069,2.222,0.133,11.94137039,-5.749375923,0.218163307,-0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
