dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
8,Juvenile,Tank,1,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.622803815,7.626337169,-0.028,-0.028,0.059,0.527,0.453,0.059,0.866666667,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.860056018,0
15,Juvenile,Tank,1,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.617505076,7.621105941,-0.01,-0.025,0.057,0.561,0.463,0.048,0.856896552,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.850232539,0.009
12,Juvenile,Tank,2,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.103799402,7.11965351,-0.027,-0.034,0.053,0.694,0.194,0.085,0.284470247,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.274679695,-0.032
19,Juvenile,Tank,2,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.106833204,7.122566542,-0.018,-0.027,0.057,0.708,0.183,0.06,0.286307054,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.276526535,-0.003
6,Juvenile,Tank,3,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.6156056,7.619230857,-0.03,-0.036,0.05,0.584,0.488,0.05,0.853420195,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.846737195,0
20,Juvenile,Tank,3,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.616523495,7.620136953,-0.012,-0.02,0.066,0.548,0.459,0.067,0.85509839,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.848424556,-0.001
10,Juvenile,Tank,4,,,11:00 AM,11-Sep-18,25,30.26,0.00095,6.875530337,6.903207546,-0.024,-0.037,0.045,0.715,0.11,0.065,0.176634214,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.166254672,-0.02
14,Juvenile,Tank,4,,,11:00 AM,11-Sep-18,25,30.26,0.00095,6.834644963,6.865128115,-0.032,-0.039,0.046,0.657,0.078,0.052,0.162518302,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.15206166,-0.006
16,Juvenile,Tank,5,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.621470174,7.625020447,-0.008,-0.023,0.059,0.565,0.473,0.065,0.864197531,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.857573396,-0.006
17,Juvenile,Tank,5,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.621517867,7.625067534,-0.015,-0.027,0.057,0.548,0.46,0.06,0.864285714,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.857662061,-0.003
11,Juvenile,Tank,6,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.054897808,7.072813987,-0.018,-0.029,0.054,0.714,0.161,0.057,0.256515775,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.246572539,-0.003
21,Juvenile,Tank,6,,,11:00 AM,11-Sep-18,25,30.26,0.00095,7.045262054,7.063611321,-0.033,-0.04,0.046,0.706,0.148,0.049,0.251358696,8.015566133,0.0069,2.222,0.133,11.94137039,-5.749375923,0.241387292,-0.003
