dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
9,Juvenile,Tank,1,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.606717878,7.610488038,-0.0400,-0.0100,0.0800,0.5700,0.5000,0.0900,0.833333333,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.826540621,-0.01
4,Juvenile,Tank,1,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.603113062,7.606930939,0,0.02,0.11,0.53,0.46,0.12,0.826923077,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.820095352,-0.01
10,Juvenile,Tank,2,,,11:00 AM,23-Apr-19,25,29.2,0.00095,6.944588225,6.968178869,-0.01,0.01,0.1,0.73,0.16,0.1,0.202702703,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.192465544,0
11,Juvenile,Tank,2,,,11:00 AM,23-Apr-19,25,29.2,0.00095,6.957788845,6.980639718,-0.03,-0.01,0.08,0.68,0.13,0.07,0.208333333,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.198126929,0.01
12,Juvenile,Tank,3,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.610041216,7.613767717,-0.04,-0.01,0.08,0.52,0.46,0.08,0.839285714,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.832525513,0
7,Juvenile,Tank,3,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.625040415,7.628573769,-0.03,0,0.09,0.56,0.51,0.08,0.866666667,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.860056018,0.01
5,Juvenile,Tank,4,,,11:00 AM,23-Apr-19,25,29.2,0.00095,6.923455197,6.948275097,-0.04,-0.02,0.08,0.62,0.1,0.07,0.194029851,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.183745322,0.01
6,Juvenile,Tank,4,,,11:00 AM,23-Apr-19,25,29.2,0.00095,6.959223065,6.981994832,-0.01,0.01,0.1,0.65,0.14,0.09,0.208955224,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.198752216,0.01
8,Juvenile,Tank,5,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.603113062,7.606930939,0,0.02,0.11,0.49,0.42,0.08,0.826923077,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.820095352,0.03
3,Juvenile,Tank,5,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.39743801,7.404714196,0,0.02,0.11,0.63,0.35,0.1,0.53125,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.522807336,0.01
1,Juvenile,Tank,6,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.065110653,7.082675192,-0.02,0,0.09,0.68,0.19,0.1,0.260869565,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.250950109,-0.01
2,Juvenile,Tank,6,,,11:00 AM,23-Apr-19,25,29.2,0.00095,7.076533458,7.093605014,0.03,0.04,0.12,1.19,0.35,0.12,0.267241379,8.017802733,0.0069,2.222,0.133,11.94137039,-5.749375923,0.257356725,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
