Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,ProbeType
3,Juvenile,Tank,2,,,11:00 AM,10-Aug-19,25,28.8,orion
8,Juvenile,Tank,3,,,11:00 AM,10-Aug-19,25,28.8,orion
14,Juvenile,Tank,5,,,11:00 AM,10-Aug-19,25,28.8,orion
15,Juvenile,Tank,6,,,11:00 AM,10-Aug-19,25,28.8,orion
19,Juvenile,Tank,1,,,11:00 AM,10-Aug-19,25,28.8,orion
20,Juvenile,Tank,4,,,11:00 AM,10-Aug-19,25,28.8,orion
20,Juvenile,Tank,A,,,11:00 AM,13-Aug-19,25,28.27,orion
20,Juvenile,Tank,B,,,11:00 AM,13-Aug-19,25,28.27,orion
20,Juvenile,Tank,C,,,11:00 AM,13-Aug-19,25,28.27,orion
20,Juvenile,Tank,D,,,11:00 AM,13-Aug-19,25,28.27,orion
1,Juvenile,Tank,5,,,11:00 AM,29-Aug-18,25,29.99,orion
2,Juvenile,Tank,2,,,11:00 AM,29-Aug-18,25,29.99,orion
3,Juvenile,Tank,4,,,11:00 AM,29-Aug-18,25,29.99,orion
8,Juvenile,Tank,6,,,11:00 AM,29-Aug-18,25,29.99,orion
17,Juvenile,Tank,1,,,11:00 AM,29-Aug-18,25,29.99,orion
20,Juvenile,Tank,3,,,11:00 AM,29-Aug-18,25,29.99,orion
8,Juvenile,Tank,1,,,11:00 AM,11-Sep-18,25,30.26,orion
15,Juvenile,Tank,1,,,11:00 AM,11-Sep-18,25,30.26,orion
12,Juvenile,Tank,2,,,11:00 AM,11-Sep-18,25,30.26,orion
19,Juvenile,Tank,2,,,11:00 AM,11-Sep-18,25,30.26,orion
6,Juvenile,Tank,3,,,11:00 AM,11-Sep-18,25,30.26,orion
20,Juvenile,Tank,3,,,11:00 AM,11-Sep-18,25,30.26,orion
10,Juvenile,Tank,4,,,11:00 AM,11-Sep-18,25,30.26,orion
14,Juvenile,Tank,4,,,11:00 AM,11-Sep-18,25,30.26,orion
16,Juvenile,Tank,5,,,11:00 AM,11-Sep-18,25,30.26,orion
17,Juvenile,Tank,5,,,11:00 AM,11-Sep-18,25,30.26,orion
11,Juvenile,Tank,6,,,11:00 AM,11-Sep-18,25,30.26,orion
21,Juvenile,Tank,6,,,11:00 AM,11-Sep-18,25,30.26,orion
,Juvenile,Tank,1,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,2,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,3,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,4,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,5,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,6,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,1,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,2,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,3,,,11:00 AM,19-Sep-18,25,30.31,orion
,Juvenile,Tank,4,,,11:00 AM,19-Sep-18,25,30.31,orion
