dye batch 5_10_A,,,,,,,,,,,,,Sample,,,Sample & dye,,,,,Constants,,,Dye correction,,,Difference in 730s
Spec Bag,Experiment,Unit,Unit ID,ID_1,ID_2,Time Collected,Date,Temperature C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
1,Juvenile,Tank,1,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.538405835,7.543177804,-0.02,0,0.09,0.58,0.43,0.09,0.716666667,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.709236732,0
2,Juvenile,Tank,1,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.517519481,7.522620333,-0.06,-0.04,0.05,0.49,0.34,0.06,0.685185185,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.677583301,-0.01
3,Juvenile,Tank,2,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.113611908,7.129243182,0.02,0.03,0.11,0.69,0.23,0.12,0.287878788,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.278106853,-0.01
4,Juvenile,Tank,2,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.102629496,7.11869931,-0.05,-0.04,0.04,0.6,0.15,0.05,0.28125,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.27144186,-0.01
5,Juvenile,Tank,3,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.500834062,7.506208773,-0.02,0.01,0.09,0.58,0.41,0.1,0.661016949,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.65328306,-0.01
6,Juvenile,Tank,3,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.524073894,7.529069901,0,0.01,0.1,0.61,0.44,0.12,0.694915254,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.687366515,-0.02
7,Juvenile,Tank,4,,,11:00 AM,9-Oct-18,25,28.27,0.00095,6.890447325,6.91742877,0.09,0.1,0.18,0.92,0.34,0.29,0.180555556,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.170197431,-0.11
8,Juvenile,Tank,4,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.011074595,7.031242802,0.01,0.03,0.12,0.82,0.31,0.24,0.231884058,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.221806285,-0.12
9,Juvenile,Tank,5,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.504787781,7.510096683,-0.02,0.02,0.11,0.59,0.43,0.12,0.666666667,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.658963636,-0.01
10,Juvenile,Tank,5,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.521386245,7.52642506,-0.04,-0.01,0.08,0.52,0.38,0.09,0.690909091,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.68333847,-0.01
11,Juvenile,Tank,6,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.018039117,7.037865872,-0.02,0.01,0.1,0.74,0.25,0.18,0.235294118,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.22523497,-0.08
12,Juvenile,Tank,6,,,11:00 AM,9-Oct-18,25,28.27,0.00095,7.032259089,7.051404611,-0.02,0.01,0.1,0.65,0.18,0.11,0.242424242,8.019765033,0.0069,2.222,0.133,11.94137039,-5.749375923,0.232404039,-0.01
